actor,place_of_death,date_of_death,cause_of_death,nb_women,nb_children,nb_civilians,nb_noncivilians
International coalition forces,Aleppo,2014-12-28,Warplane shelling,12,3,301,31
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-08-14,Kidnapping - Execution,3,3,282,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-02-14,Kidnapping - Execution,0,6,147,12
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-08,Kidnapping - Execution,0,6,141,84
Armed opposition groups,Homs,2014-10-01,Explosion,2,98,126,0
Syrian government and affiliated militias,Aleppo,2014-12-25,Warplane shelling,6,27,120,6
Syrian government and affiliated militias,Aleppo,2014-12-01,Shooting,0,0,120,0
Armed opposition groups,Unknown,2014-07-29,Shooting,0,0,96,0
Armed opposition groups,Unknown,2014-07-13,Shooting,0,0,88,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-03-11,Kidnapping - Execution,0,6,80,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-04-10,Shooting,0,0,77,87
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-03-01,Kidnapping - Execution,6,3,70,51
Syrian government and affiliated militias,Daraa,2014-11-30,Warplane shelling,18,12,69,0
Syrian government and affiliated militias,Homs,2014-12-16,Warplane shelling,6,9,66,0
Armed opposition groups,Unknown,2014-07-19,Shooting,0,0,64,0
Syrian government and affiliated militias,Damascus Suburbs,2014-10-17,Shooting,0,21,62,12
Syrian government and affiliated militias,Aleppo,2014-06-14,Warplane shelling,9,6,57,0
Syrian government and affiliated militias,Damascus Suburbs,2014-10-16,Warplane shelling,3,6,55,3
Syrian government and affiliated militias,Damascus Suburbs,2014-04-13,Warplane shelling,15,12,50,3
Armed opposition groups,Aleppo,2014-04-27,Shooting,2,8,50,0
Syrian government and affiliated militias,Damascus Suburbs,2014-04-06,Shooting,6,15,48,9
Armed opposition groups,Quneitra,2014-10-23,Shooting,0,0,48,0
Armed opposition groups,Tartous,2014-08-26,Shooting,0,0,46,0
Syrian government and affiliated militias,Aleppo,2014-11-18,Warplane shelling,9,15,46,0
Syrian government and affiliated militias,Damascus Suburbs,2014-03-19,Warplane shelling,3,9,45,9
Syrian government and affiliated militias,Aleppo,2014-04-04,Warplane shelling,3,0,45,0
Armed opposition groups,Damascus,2014-04-29,Shelling,2,34,44,0
Not identified,Idlib,2014-09-15,Other,0,43,43,0
Syrian government and affiliated militias,Daraa,2014-11-20,Shooting,3,9,42,18
Armed opposition groups,Aleppo,2014-05-17,Shelling,8,18,42,0
Armed opposition groups,Unknown,2014-05-08,Shooting,0,0,42,0
Armed opposition groups,Unknown,2014-09-23,Shooting,0,0,42,0
Syrian government and affiliated militias,Damascus Suburbs,2014-12-08,Warplane shelling,0,6,42,0
Syrian government and affiliated militias,Idlib,2014-12-16,Shooting,9,0,40,6
Armed opposition groups,Homs,2014-04-30,Explosion,4,14,40,0
Armed opposition groups,Unknown,2014-08-03,Shooting,0,0,40,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-02-13,Field Execution,0,3,39,28
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-05-30,Kidnapping - Execution,3,9,39,3
Syrian government and affiliated militias,Aleppo,2014-11-30,Shelling,0,0,39,0
Syrian government and affiliated militias,Daraa,2014-12-16,Field Execution,18,15,39,0
Armed opposition groups,Homs,2014-07-19,Shooting,0,0,38,0
Armed opposition groups,Unknown,2014-08-26,Shooting,0,0,38,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-05-16,Explosion,0,3,36,6
Syrian government and affiliated militias,Damascus Suburbs,2014-06-28,Explosion,6,15,36,3
Armed opposition groups,Aleppo,2014-04-17,Shelling,8,4,36,0
Armed opposition groups,Sweida,2014-11-07,Shooting,0,0,36,0
Armed opposition groups,Unknown,2014-08-01,Shooting,0,0,36,0
Armed opposition groups,Unknown,2014-09-08,Shooting,0,0,36,0
Syrian government and affiliated militias,Aleppo,2014-05-09,Warplane shelling,6,29,35,0
Armed opposition groups,Other Nationalities,2014-09-16,Shooting,0,0,34,0
Armed opposition groups,Tartous,2014-04-11,Shooting,0,0,34,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-06,Kidnapping - Execution,0,6,33,42
Not identified,Aleppo,2014-01-15,Explosion,3,0,33,3
Syrian government and affiliated militias,Aleppo,2014-03-24,Warplane shelling,0,6,33,0
Syrian government and affiliated militias,Aleppo,2014-06-13,Warplane shelling,12,12,33,0
Syrian government and affiliated militias,Hama,2014-03-21,Warplane shelling,15,15,33,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-13,Field Execution,0,0,32,30
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-26,Shooting,0,0,32,9
Armed opposition groups,Tartous,2014-02-20,Shooting,0,0,32,0
Armed opposition groups,Unknown,2014-11-26,Shooting,0,0,32,0
Syrian government and affiliated militias,Aleppo,2014-03-09,Warplane shelling,0,3,31,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-09,Shooting,0,6,30,68
The organization of the Islamic State in Iraq and the Levant - ISIS,Idlib,2014-01-06,Kidnapping - Torture - Execution,0,6,30,21
Syrian government and affiliated militias,Idlib,2014-03-07,Warplane shelling,0,2,30,3
Armed opposition groups,Aleppo,2014-02-06,Shooting,0,0,30,0
Armed opposition groups,Sweida,2014-08-16,Shooting,0,0,30,0
Armed opposition groups,Unknown,2014-10-07,Field Execution,0,0,30,0
Syrian government and affiliated militias,Damascus Suburbs,2014-11-13,Warplane shelling,3,12,30,0
Syrian government and affiliated militias,Aleppo,2014-04-24,Warplane shelling,0,14,29,0
Armed opposition groups,Aleppo,2014-05-30,Shelling,6,10,28,0
Armed opposition groups,Idlib,2014-06-30,Shelling,8,6,28,0
Armed opposition groups,Tartous,2014-04-12,Shooting,0,0,28,0
Armed opposition groups,Tartous,2014-08-02,Shooting,0,0,28,0
Armed opposition groups,Unknown,2014-06-16,Shooting,0,0,28,0
Armed opposition groups,Unknown,2014-11-16,Field Execution,0,0,28,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-12,Shooting,3,0,27,45
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-28,Shooting,0,0,27,21
Syrian government and affiliated militias,Damascus Suburbs,2014-03-07,Warplane shelling,0,0,27,6
Syrian government and affiliated militias,Aleppo,2014-04-02,Warplane shelling,0,0,27,0
Syrian government and affiliated militias,Damascus Suburbs,2014-03-18,Other,0,15,27,0
Syrian government and affiliated militias,Deir Ezzor,2014-08-26,Warplane shelling,0,0,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-02-21,Kidnapping - Execution,12,0,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-05-16,Kidnapping - Execution,0,0,27,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-07,Shooting,3,0,26,30
Armed opposition groups,Hasakeh,2014-06-14,Explosion,4,0,26,0
Syrian government and affiliated militias,Damascus Suburbs,2014-04-04,Shooting,0,9,25,27
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-17,Shooting,3,0,24,42
Syrian government and affiliated militias,Damascus Suburbs,2014-04-02,Shooting,3,6,24,36
The organization of the Islamic State in Iraq and the Levant - ISIS,Idlib,2014-01-20,Explosion,0,0,24,19
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-09-20,Field Execution,0,0,24,9
Syrian government and affiliated militias,Damascus Suburbs,2014-12-26,Warplane shelling,0,6,24,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-23,Shooting,18,3,24,3
Armed opposition groups,Daraa,2014-05-23,Shooting,4,0,24,0
Armed opposition groups,Idlib,2014-04-07,Shelling,2,0,24,0
Armed opposition groups,Lattakia,2014-03-28,Shooting,0,0,24,0
Armed opposition groups,Tartous,2014-01-30,Shooting,0,0,24,0
Armed opposition groups,Unknown,2014-04-11,Shooting,0,0,24,0
Not identified,Aleppo,2014-02-07,Shelling,0,0,24,0
Syrian government and affiliated militias,Daraa,2014-03-07,Warplane shelling,12,6,24,0
Syrian government and affiliated militias,Homs,2014-04-03,Warplane shelling,3,6,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-08-13,Field Execution,0,0,24,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Hasakeh,2014-03-11,Explosion,9,0,24,0
Armed opposition groups,Idlib,2014-06-15,Shelling,6,12,22,0
Armed opposition groups,Lattakia,2014-04-29,Shooting,0,0,22,0
Armed opposition groups,Tartous,2014-02-02,Shooting,0,0,22,0
Armed opposition groups,Tartous,2014-04-29,Shooting,0,0,22,0
Armed opposition groups,Tartous,2014-05-03,Shooting,0,0,22,0
Armed opposition groups,Tartous,2014-07-19,Shooting,0,0,22,0
Armed opposition groups,Unknown,2014-03-21,Shooting,0,0,22,0
Armed opposition groups,Unknown,2014-05-25,Explosion,0,0,22,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-11,Kidnapping - Torture - Execution,0,0,21,40
Syrian government and affiliated militias,Damascus Suburbs,2014-06-24,Shooting,0,12,21,12
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-20,Shooting,9,0,21,12
Syrian government and affiliated militias,Damascus Suburbs,2014-04-20,Shelling,0,0,21,6
Syrian government and affiliated militias,Damascus Suburbs,2014-03-21,Shooting,3,15,21,3
Syrian government and affiliated militias,Damascus Suburbs,2014-06-25,Shooting,0,6,21,3
Not identified,Idlib,2014-02-06,Warplane shelling,6,3,21,0
Syrian government and affiliated militias,Damascus Suburbs,2014-06-22,Warplane shelling,0,9,21,0
Syrian government and affiliated militias,Daraa,2014-12-31,Warplane shelling,9,6,21,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-03-08,Kidnapping - Torture - Execution,0,0,21,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-11-11,Shelling,0,8,20,6
Armed opposition groups,Damascus,2014-09-07,Shelling,0,0,20,0
Armed opposition groups,Hama,2014-09-08,Shooting,0,0,20,0
Armed opposition groups,Quneitra,2014-04-07,Shooting,0,0,20,0
Armed opposition groups,Tartous,2014-02-17,Shooting,0,0,20,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-18,Shooting,1,3,19,45
Syrian government and affiliated militias,Daraa,2014-05-11,Warplane shelling,3,3,19,3
Syrian government and affiliated militias,Idlib,2014-03-20,Shelling,0,0,19,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-10,Shooting,0,0,18,87
The organization of the Islamic State in Iraq and the Levant - ISIS,Idlib,2014-07-19,Shooting,0,0,18,82
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-04-30,Shooting,0,0,18,18
International coalition forces,Idlib,2014-09-23,Warplane shelling,4,10,18,14
Syrian government and affiliated militias,Damascus Suburbs,2014-06-10,Warplane shelling,3,12,18,3
Syrian government and affiliated militias,Damascus Suburbs,2014-12-04,Warplane shelling,3,9,18,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-02-11,Field Execution,0,3,18,3
Armed opposition groups,Aleppo,2014-04-01,Shooting,4,4,18,0
Armed opposition groups,Aleppo,2014-05-06,Shelling,6,2,18,0
Armed opposition groups,Damascus,2014-08-03,Shelling,2,2,18,0
Armed opposition groups,Hama,2014-07-29,Shooting,0,0,18,0
Armed opposition groups,Lattakia,2014-03-03,Shooting,0,0,18,0
Armed opposition groups,Lattakia,2014-03-24,Shelling,4,0,18,0
Armed opposition groups,Lattakia,2014-04-08,Shooting,0,0,18,0
Armed opposition groups,Lattakia,2014-08-02,Shooting,0,0,18,0
Armed opposition groups,Lattakia,2014-10-04,Shooting,0,0,18,0
Armed opposition groups,Other Nationalities,2014-03-08,Shooting,0,0,18,0
Armed opposition groups,Other Nationalities,2014-10-12,Shooting,0,0,18,0
Armed opposition groups,Tartous,2014-02-08,Shooting,0,0,18,0
Armed opposition groups,Tartous,2014-04-27,Shooting,0,0,18,0
Armed opposition groups,Tartous,2014-04-28,Shooting,0,0,18,0
Armed opposition groups,Tartous,2014-05-19,Shooting,0,0,18,0
Armed opposition groups,Tartous,2014-08-27,Shooting,0,0,18,0
Armed opposition groups,Tartous,2014-09-02,Shooting,0,0,18,0
Armed opposition groups,Unknown,2014-04-18,Shooting,0,0,18,0
Armed opposition groups,Unknown,2014-05-16,Shooting,0,0,18,0
Armed opposition groups,Unknown,2014-09-09,Shooting,0,0,18,0
Armed opposition groups,Unknown,2014-12-16,Shooting,0,0,18,0
Not identified,Aleppo,2014-01-03,Shooting,0,0,18,0
Not identified,Aleppo,2014-01-28,Shooting,6,6,18,0
Not identified,Aleppo,2014-02-26,Shelling,0,0,18,0
Syrian government and affiliated militias,Damascus Suburbs,2014-11-17,Warplane shelling,0,9,18,0
Syrian government and affiliated militias,Damascus Suburbs,2014-12-23,Shooting,0,9,18,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-03-03,Kidnapping - Execution,0,0,18,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-08-18,Shooting,0,0,18,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Raqqa,2014-11-16,Field Execution,0,0,18,0
Syrian government and affiliated militias,Daraa,2014-05-12,Shooting,11,0,17,3
Syrian government and affiliated militias,Damascus Suburbs,2014-06-11,Shelling,6,6,16,3
Armed opposition groups,Aleppo,2014-03-20,Shelling,4,2,16,0
Armed opposition groups,Aleppo,2014-06-27,Field Execution,0,0,16,0
Armed opposition groups,Aleppo,2014-11-11,Shelling,0,6,16,0
Armed opposition groups,Hama,2014-01-10,Shelling,6,10,16,0
Armed opposition groups,Homs,2014-08-26,Shooting,0,0,16,0
Armed opposition groups,Lattakia,2014-01-20,Explosion,0,0,16,0
Armed opposition groups,Lattakia,2014-03-29,Shooting,0,0,16,0
Armed opposition groups,Lattakia,2014-04-12,Shooting,0,0,16,0
Armed opposition groups,Lattakia,2014-05-06,Shooting,0,0,16,0
Armed opposition groups,Other Nationalities,2014-08-03,Shooting,0,0,16,0
Armed opposition groups,Raqqa,2014-11-16,Field Execution,0,0,16,0
Armed opposition groups,Tartous,2014-02-18,Shooting,0,0,16,0
Armed opposition groups,Tartous,2014-02-28,Shooting,0,0,16,0
Armed opposition groups,Tartous,2014-04-08,Shooting,0,0,16,0
Armed opposition groups,Tartous,2014-04-17,Shooting,0,0,16,0
Armed opposition groups,Tartous,2014-04-18,Shooting,0,0,16,0
Armed opposition groups,Tartous,2014-05-09,Shooting,0,0,16,0
Armed opposition groups,Tartous,2014-05-16,Shooting,0,0,16,0
Armed opposition groups,Tartous,2014-09-08,Shooting,0,0,16,0
Armed opposition groups,Unknown,2014-08-02,Shooting,0,0,16,0
Armed opposition groups,Unknown,2014-12-19,Shooting,0,0,16,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Idlib,2014-01-04,Field Execution,3,0,15,28
Syrian government and affiliated militias,Daraa,2014-03-16,Shooting,3,6,15,22
Syrian government and affiliated militias,Damascus Suburbs,2014-06-14,Shelling,0,3,15,9
Not identified,Deir Ezzor,2014-03-17,Shooting,0,0,15,3
Syrian government and affiliated militias,Damascus Suburbs,2014-10-20,Warplane shelling,0,3,15,3
Syrian government and affiliated militias,Idlib,2014-03-24,Warplane shelling,3,6,15,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-02-09,Kidnapping - Execution,12,0,15,3
Not identified,Aleppo,2014-01-25,Shooting,3,0,15,0
Not identified,Deir Ezzor,2014-05-07,Shooting,6,3,15,0
Syrian government and affiliated militias,Aleppo,2014-03-23,Warplane shelling,3,3,15,0
Syrian government and affiliated militias,Damascus Suburbs,2014-06-29,Other,0,6,15,0
Syrian government and affiliated militias,Deir Ezzor,2014-06-26,Shooting,0,0,15,0
Syrian government and affiliated militias,Homs,2014-04-10,Shelling,0,15,15,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-06-06,Kidnapping - Execution,0,0,15,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-11-17,Kidnapping - Execution,0,0,15,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-12-22,Kidnapping - Execution,0,0,15,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Raqqa,2014-04-29,Field Execution,0,9,15,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-22,Shooting,0,2,14,21
Armed opposition groups,Aleppo,2014-11-09,Shelling,0,6,14,0
Armed opposition groups,Damascus Suburbs,2014-10-04,Chemical and toxic gases,0,0,14,0
Armed opposition groups,Hama,2014-05-19,Shooting,0,0,14,0
Armed opposition groups,Lattakia,2014-02-17,Shooting,2,0,14,0
Armed opposition groups,Lattakia,2014-02-26,Shooting,0,0,14,0
Armed opposition groups,Lattakia,2014-03-13,Shooting,0,0,14,0
Armed opposition groups,Lattakia,2014-07-17,Shooting,0,0,14,0
Armed opposition groups,Lattakia,2014-10-07,Shooting,0,2,14,0
Armed opposition groups,Other Nationalities,2014-01-07,Shooting,0,0,14,0
Armed opposition groups,Other Nationalities,2014-04-09,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-01-13,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-01-26,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-02-11,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-02-12,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-04-03,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-04-05,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-04-25,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-05-07,Shooting,0,0,14,0
Armed opposition groups,Tartous,2014-05-26,Shooting,0,0,14,0
Armed opposition groups,Unknown,2014-05-28,Shooting,2,0,14,0
Armed opposition groups,Unknown,2014-06-11,Shelling,0,0,14,0
Armed opposition groups,Unknown,2014-08-10,Shooting,0,0,14,0
Armed opposition groups,Unknown,2014-08-24,Shooting,0,0,14,0
Armed opposition groups,Unknown,2014-09-02,Shooting,0,0,14,0
Not identified,Aleppo,2014-01-22,Shooting,0,6,13,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-15,Explosion,0,0,12,42
The organization of the Islamic State in Iraq and the Levant - ISIS,Damascus,2014-01-17,Field Execution,0,0,12,27
Armed opposition groups,Aleppo,2014-11-03,Shooting,3,0,12,9
Syrian government and affiliated militias,Aleppo,2014-03-21,Shooting,0,0,12,6
Syrian government and affiliated militias,Damascus Suburbs,2014-05-07,Detention - Torture,0,0,12,6
Syrian government and affiliated militias,Damascus Suburbs,2014-11-19,Shooting,0,0,12,6
Not identified,Aleppo,2014-02-16,Shooting,0,0,12,3
Syrian government and affiliated militias,Daraa,2014-12-05,Warplane shelling,6,6,12,3
Syrian government and affiliated militias,Homs,2014-12-30,Warplane shelling,0,3,12,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-03-20,Shooting,0,0,12,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-06-07,Field Execution,0,0,12,3
Armed opposition groups,Aleppo,2014-04-03,Shooting,4,0,12,0
Armed opposition groups,Aleppo,2014-05-15,Shelling,2,8,12,0
Armed opposition groups,Aleppo,2014-07-28,Shelling,2,6,12,0
Armed opposition groups,Aleppo,2014-10-03,Shooting,0,0,12,0
Armed opposition groups,Aleppo,2014-10-27,Shelling,0,12,12,0
Armed opposition groups,Aleppo,2014-11-29,Shelling,3,9,12,0
Armed opposition groups,Aleppo,2014-12-28,Explosion,4,0,12,0
Armed opposition groups,Damascus,2014-06-04,Shelling,4,0,12,0
Armed opposition groups,Damascus,2014-09-10,Shooting,4,2,12,0
Armed opposition groups,Damascus Suburbs,2014-04-23,Shelling,4,4,12,0
Armed opposition groups,Damascus Suburbs,2014-04-27,Shelling,0,0,12,0
Armed opposition groups,Damascus Suburbs,2014-11-07,Shooting,0,0,12,0
Armed opposition groups,Daraa,2014-07-16,Shooting,0,0,12,0
Armed opposition groups,Idlib,2014-08-09,Shelling,2,10,12,0
Armed opposition groups,Lattakia,2014-01-01,Shooting,0,0,12,0
Armed opposition groups,Lattakia,2014-01-27,Shooting,0,0,12,0
Armed opposition groups,Lattakia,2014-03-20,Shooting,0,0,12,0
Armed opposition groups,Lattakia,2014-07-29,Shooting,0,0,12,0
Armed opposition groups,Lattakia,2014-08-27,Shooting,0,0,12,0
Armed opposition groups,Lattakia,2014-10-01,Shooting,0,0,12,0
Armed opposition groups,Lattakia,2014-11-08,Shooting,2,0,12,0
Armed opposition groups,Other Nationalities,2014-01-01,Shooting,0,0,12,0
Armed opposition groups,Other Nationalities,2014-02-20,Shooting,0,0,12,0
Armed opposition groups,Other Nationalities,2014-08-19,Shooting,0,0,12,0
Armed opposition groups,Other Nationalities,2014-10-13,Shooting,0,0,12,0
Armed opposition groups,Other Nationalities,2014-12-03,Shooting,0,0,12,0
Armed opposition groups,Sweida,2014-04-05,Shooting,0,0,12,0
Armed opposition groups,Sweida,2014-04-15,Shelling,2,0,12,0
Armed opposition groups,Sweida,2014-08-07,Shooting,0,0,12,0
Armed opposition groups,Sweida,2014-09-09,Shelling,2,0,12,0
Armed opposition groups,Tartous,2014-01-03,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-01-08,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-01-17,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-01-20,Explosion,0,0,12,0
Armed opposition groups,Tartous,2014-01-21,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-02-03,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-03-03,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-03-11,Explosion,0,0,12,0
Armed opposition groups,Tartous,2014-03-19,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-03-26,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-03-29,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-04-14,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-04-16,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-05-02,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-05-05,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-05-06,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-06-02,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-06-06,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-08-12,Field Execution,0,0,12,0
Armed opposition groups,Tartous,2014-08-16,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-10-28,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-11-07,Shooting,0,0,12,0
Armed opposition groups,Tartous,2014-12-19,Shooting,0,0,12,0
Armed opposition groups,Unknown,2014-01-30,Shooting,0,0,12,0
Armed opposition groups,Unknown,2014-03-28,Shooting,0,0,12,0
Armed opposition groups,Unknown,2014-04-03,Shooting,0,0,12,0
Armed opposition groups,Unknown,2014-08-25,Field Execution,0,0,12,0
Armed opposition groups,Unknown,2014-09-11,Shooting,0,0,12,0
Not identified,Aleppo,2014-01-06,Shooting,3,0,12,0
Not identified,Aleppo,2014-01-17,Explosion,0,0,12,0
Not identified,Aleppo,2014-03-22,Shooting,3,0,12,0
Not identified,Aleppo,2014-12-11,Kidnapping - Torture - Execution,0,3,12,0
Not identified,Idlib,2014-02-18,Kidnapping - Execution,0,0,12,0
Syrian government and affiliated militias,Aleppo,2014-04-11,Warplane shelling,3,3,12,0
Syrian government and affiliated militias,Damascus,2014-12-08,Warplane shelling,3,0,12,0
Syrian government and affiliated militias,Damascus Suburbs,2014-04-25,Shelling,3,6,12,0
Syrian government and affiliated militias,Damascus Suburbs,2014-06-23,Other,0,9,12,0
Syrian government and affiliated militias,Daraa,2014-12-02,Field Execution,3,9,12,0
Syrian government and affiliated militias,Deir Ezzor,2014-09-14,Warplane shelling,3,3,12,0
Syrian government and affiliated militias,Hama,2014-03-17,Warplane shelling,0,9,12,0
Syrian government and affiliated militias,Homs,2014-03-16,Kidnapping - Torture - Execution,3,6,12,0
Syrian government and affiliated militias,Homs,2014-06-29,Detention - Torture,0,9,12,0
Syrian government and affiliated militias,Homs,2014-07-08,Shelling,0,6,12,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-02-18,Explosion,0,0,12,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-08-26,Kidnapping - Execution,0,0,12,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-12-05,Kidnapping - Torture,0,0,12,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-12-20,Shooting,0,0,12,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-01-16,Shooting,0,0,11,27
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-02-02,Shooting,0,0,11,9
Armed opposition groups,Damascus Suburbs,2014-08-01,Field Execution,0,0,11,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,2014-07-18,Shooting,0,2,11,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,2014-12-09,Kidnapping - Execution,0,0,11,0
Armed opposition groups,Homs,2014-05-16,Shooting,0,0,10,3
Armed opposition groups,Aleppo,2014-08-25,Shelling,2,4,10,0
Armed opposition groups,Damascus,2014-08-14,Shelling,0,2,10,0
Armed opposition groups,Damascus Suburbs,2014-05-30,Shelling,0,2,10,0
Armed opposition groups,Damascus Suburbs,2014-11-16,Shelling,0,0,10,0
Armed opposition groups,Hama,2014-08-19,Shooting,0,2,10,0
Armed opposition groups,Hasakeh,2014-05-28,Shooting,0,0,10,0
Armed opposition groups,Homs,2014-03-17,Shooting,2,0,10,0
Armed opposition groups,Idlib,2014-08-16,Shelling,0,4,10,0
Armed opposition groups,Lattakia,2014-04-03,Shooting,0,0,10,0
Armed opposition groups,Lattakia,2014-05-19,Shooting,0,0,10,0
Armed opposition groups,Lattakia,2014-05-21,Shooting,0,0,10,0
Armed opposition groups,Lattakia,2014-06-14,Shooting,0,0,10,0
Armed opposition groups,Lattakia,2014-09-07,Shooting,0,0,10,0
Armed opposition groups,Lattakia,2014-09-23,Shooting,0,0,10,0
Armed opposition groups,Lattakia,2014-12-25,Shooting,0,0,10,0
Armed opposition groups,Other Nationalities,2014-01-21,Shooting,0,0,10,0
Armed opposition groups,Other Nationalities,2014-07-21,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-01-05,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-01-09,Shooting,0,2,10,0
Armed opposition groups,Tartous,2014-01-19,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-02-10,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-02-24,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-03-21,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-03-28,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-04-19,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-04-22,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-04-23,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-05-01,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-05-08,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-05-10,Shooting,0,0,10,0
Armed opposition groups,Tartous,2014-05-11,Shooting,0,0,10,0
