demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
6,342.4292332945135,4.0,7.0,2.0,3.0,1.0,29.78643409058392,1.133675967114721
4,234.14962279554803,6.0,4.0,7.0,2.0,3.0,31.05102498169303,2.82830359848324
3,332.71173667702703,4.0,6.0,4.0,7.0,2.0,32.31561587280214,7.181585076005612
3,149.19325503302005,3.0,4.0,6.0,4.0,7.0,33.58020676391125,11.794481938143365
3,265.90064407708246,3.0,3.0,4.0,6.0,4.0,34.84479765502036,5.243917261819576
3,166.10572139187138,3.0,3.0,3.0,4.0,6.0,36.10938854612947,-12.556647414504207
7,424.21587223399627,3.0,3.0,3.0,3.0,4.0,37.37397943723858,0.6283648322489341
1,521.205637585472,7.0,3.0,3.0,3.0,3.0,38.638570328347676,8.197992463617453
5,153.58090466533105,1.0,7.0,3.0,3.0,3.0,39.903161219456784,11.863773941139831
20,255.08887156713573,5.0,1.0,7.0,3.0,3.0,41.1677521105659,21.654555418662184
29,289.82086896348864,20.0,5.0,1.0,7.0,3.0,42.43234300167501,4.954952280799943
27,366.22390840471627,29.0,20.0,5.0,1.0,7.0,43.696933892784116,-5.210997010908457
37,395.0797204133365,27.0,29.0,20.0,5.0,1.0,44.961524783893225,-10.944253994924553
28,256.33725884144656,37.0,27.0,29.0,20.0,5.0,46.226115675002326,-15.443970446817115
15,170.05455882654155,28.0,37.0,27.0,29.0,20.0,47.49070656611145,-33.70856133792623
39,167.40125553286424,15.0,28.0,37.0,27.0,29.0,48.755297457220564,-19.47315222903533
35,235.92941842583141,39.0,15.0,28.0,37.0,27.0,50.019888348329665,-15.737743120144438
28,346.22682005880586,35.0,39.0,15.0,28.0,37.0,51.284479239438774,-26.002334011253552
37,250.10940562030984,28.0,35.0,39.0,15.0,28.0,52.54907013054789,-14.266924902362653
28,184.16361515872,37.0,28.0,35.0,39.0,15.0,53.813661021657,-20.03151579347177
39,158.09857216652804,28.0,37.0,28.0,35.0,39.0,55.078251912766106,38.703893315419116
30,159.48634255670626,39.0,28.0,37.0,28.0,35.0,56.342842803875214,6.939302424310014
28,109.51373860244844,30.0,39.0,28.0,37.0,28.0,57.60743369498432,-6.325288466799093
37,113.74050490935385,28.0,30.0,39.0,28.0,37.0,58.872024586093424,-33.58987935790821
12,111.98832726397829,37.0,28.0,30.0,39.0,28.0,60.13661547720254,-0.8544702490173179
56,179.33014961084587,12.0,37.0,28.0,30.0,39.0,61.401206368311655,-17.619061140126426
56,160.8471932462714,56.0,12.0,37.0,28.0,30.0,55.5,13.199246598474845
89,163.4515018239031,56.0,56.0,12.0,37.0,28.0,57.55769230769231,1.538104999074143
139,168.615227660215,89.0,56.0,56.0,12.0,37.0,59.77884615384616,26.295232630442648
136,291.1016957598875,139.0,89.0,56.0,56.0,12.0,62.269230769230774,53.917744877195794
130,285.3556267215885,136.0,139.0,89.0,56.0,56.0,64.76923076923076,34.53544943164125
124,326.24725053629464,130.0,136.0,139.0,89.0,56.0,66.81730769230771,15.379115524548233
105,240.7493585719894,124.0,130.0,136.0,139.0,89.0,68.78846153846155,20.761243155916745
103,192.87500703128867,105.0,124.0,130.0,136.0,139.0,71.09615384615384,-1.0248984434839556
116,279.0021568963129,103.0,105.0,124.0,130.0,136.0,73.67307692307693,-13.945655427500055
109,252.95216505675717,116.0,103.0,105.0,124.0,130.0,76.55769230769229,-7.02025856536229
89,312.95432888928326,109.0,116.0,103.0,105.0,124.0,78.95192307692308,-12.84966939553224
85,260.96747248340944,89.0,109.0,116.0,103.0,105.0,80.38461538461537,11.30168900506707
32,224.60387261386262,85.0,89.0,109.0,116.0,103.0,81.41346153846152,19.654970482589434
91,272.53554929695355,32.0,85.0,89.0,109.0,116.0,82.24038461538461,-41.078876218362545
65,314.76692150716383,91.0,32.0,85.0,89.0,109.0,82.75961538461539,17.401893012406674
43,261.72855514677786,65.0,91.0,32.0,85.0,89.0,83.67307692307693,-9.511568526054873
65,573.9611911012443,43.0,65.0,91.0,32.0,85.0,84.76923076923076,-32.60772237220871
63,341.07581848222117,65.0,43.0,65.0,91.0,32.0,85.40384615384616,-11.2423377568241
85,267.3044494316712,63.0,65.0,43.0,65.0,91.0,86.32692307692308,-14.165414679901021
81,361.3467327149136,85.0,63.0,65.0,43.0,65.0,87.375,6.786508397022061
67,337.9712768425143,81.0,85.0,63.0,65.0,43.0,89.49038461538461,0.6711237816374336
73,329.79149330207736,67.0,81.0,85.0,63.0,65.0,92.1346153846154,-15.973106987593324
84,195.8279900957951,73.0,67.0,81.0,85.0,63.0,93.92307692307692,-11.761568526054845
109,384.22284560928114,84.0,73.0,67.0,81.0,85.0,95.19230769230768,-2.030799295285618
130,345.47184813590286,109.0,84.0,73.0,67.0,81.0,96.4807692307692,21.680739166252852
110,448.5169734055944,130.0,109.0,84.0,73.0,67.0,98.43269230769228,40.72881608932977
114,217.9044497232859,110.0,130.0,109.0,84.0,73.0,100.26923076923076,1.133675967114721
127,314.6206340298981,114.0,110.0,130.0,109.0,84.0,101.6153846153846,2.82830359848324
139,308.9577462080223,127.0,114.0,110.0,130.0,109.0,102.64423076923076,7.181585076005612
127,289.07492072540987,139.0,127.0,114.0,110.0,130.0,103.15384615384615,11.794481938143365
92,348.24398694294007,127.0,139.0,127.0,114.0,110.0,102.9903846153846,5.243917261819576
119,264.59467390634916,92.0,127.0,139.0,127.0,114.0,102.32692307692308,-12.556647414504207
131,321.2955316157468,119.0,92.0,127.0,139.0,127.0,101.69230769230768,0.6283648322489341
145,195.23944951432773,131.0,119.0,92.0,127.0,139.0,101.28846153846152,8.197992463617453
161,328.10393951807947,145.0,131.0,119.0,92.0,127.0,100.69230769230766,11.863773941139831
113,338.76437156629817,161.0,145.0,131.0,119.0,92.0,99.84615384615385,21.654555418662184
85,277.4739780266264,113.0,161.0,145.0,131.0,119.0,98.98076923076924,4.954952280799943
78,212.83331656493192,85.0,113.0,161.0,145.0,131.0,99.04807692307692,-5.210997010908457
72,262.7702987481591,78.0,85.0,113.0,161.0,145.0,100.25,-10.944253994924553
47,224.11951389030293,72.0,78.0,85.0,113.0,161.0,111.984842012676,-15.443970446817115
91,221.61372138524345,47.0,72.0,78.0,85.0,113.0,113.24943290378513,-33.70856133792623
77,208.5502390934947,91.0,47.0,72.0,78.0,85.0,114.51402379489424,-19.47315222903533
63,218.1098352535269,77.0,91.0,47.0,72.0,78.0,115.77861468600334,-15.737743120144438
96,217.88368021716698,63.0,77.0,91.0,47.0,72.0,117.04320557711245,-26.002334011253552
78,234.58807799522208,96.0,63.0,77.0,91.0,47.0,118.30779646822157,-14.266924902362653
207,384.43834261652916,78.0,96.0,63.0,77.0,91.0,119.57238735933065,-20.03151579347177
135,190.3855949728634,207.0,78.0,96.0,63.0,77.0,120.83697825043976,38.703893315419116
120,198.59322042197448,135.0,207.0,78.0,96.0,63.0,122.10156914154888,6.939302424310014
70,191.15147551030282,120.0,135.0,207.0,78.0,96.0,123.366160032658,-6.325288466799093
129,309.67532553171526,70.0,120.0,135.0,207.0,78.0,124.63075092376712,-33.58987935790821
123,330.978505754656,129.0,70.0,120.0,135.0,207.0,125.89534181487622,-0.8544702490173179
136,206.3915172718752,123.0,129.0,70.0,120.0,135.0,127.15993270598531,-17.619061140126426
116,204.11149601297438,136.0,123.0,129.0,70.0,120.0,128.42452359709443,13.199246598474845
136,192.49537575924742,116.0,136.0,123.0,129.0,70.0,129.6891144882035,1.538104999074143
145,214.1571776622539,136.0,116.0,136.0,123.0,129.0,130.95370537931265,26.295232630442648
113,191.9029872474057,145.0,136.0,116.0,136.0,123.0,132.21829627042177,53.917744877195794
84,255.05908044557157,113.0,145.0,136.0,116.0,136.0,133.48288716153087,34.53544943164125
104,195.82804893534302,84.0,113.0,145.0,136.0,116.0,134.74747805263996,15.379115524548233
83,196.2342392420316,104.0,84.0,113.0,145.0,136.0,136.01206894374909,20.761243155916745
63,193.42508526477852,83.0,104.0,84.0,113.0,145.0,137.27665983485818,-1.0248984434839556
68,211.41133222677692,63.0,83.0,104.0,84.0,113.0,138.5412507259673,-13.945655427500055
67,220.8052436386959,68.0,63.0,83.0,104.0,84.0,139.8058416170764,-7.02025856536229
138,205.84777209139344,67.0,68.0,63.0,83.0,104.0,141.07043250818555,-12.84966939553224
161,166.34208095923196,138.0,67.0,68.0,63.0,83.0,142.33502339929458,11.30168900506707
48,202.69176400416455,161.0,138.0,67.0,68.0,63.0,143.59961429040374,19.654970482589434
