demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
60,177.95138626393563,53.0,54.0,68.0,64.0,53.394230769230774,-8.90786193622252
67,263.5010994303953,60.0,53.0,54.0,68.0,54.02884615384616,2.840914489051173
74,235.7568737112083,67.0,60.0,53.0,54.0,54.40384615384616,-9.69556549593154
55,287.8915796600832,74.0,67.0,60.0,53.0,54.05769230769232,-3.398712147580929
52,245.01578608483214,55.0,74.0,67.0,60.0,53.75000000000001,-10.018525465896976
49,206.63900622114681,52.0,55.0,74.0,67.0,54.10576923076924,-7.1671849380591794
45,261.3550678200407,49.0,52.0,55.0,74.0,54.346153846153854,-19.05123375407995
62,287.03585469537586,45.0,49.0,52.0,55.0,54.59615384615384,-7.003156831003027
71,235.13062609889855,62.0,45.0,49.0,52.0,55.634615384615394,-3.3733491386953367
63,552.1806749254147,71.0,62.0,45.0,49.0,56.855769230769226,6.470906476914758
36,329.1364949280054,63.0,71.0,62.0,45.0,57.45192307692307,0.3940932658650181
23,250.36485208349444,36.0,63.0,71.0,62.0,58.115384615384606,-7.208360970825755
19,345.0780772957265,23.0,36.0,63.0,71.0,58.62499999999999,-13.131328028029346
22,328.67799948553056,19.0,23.0,36.0,63.0,59.18269230769232,-10.384423290361136
32,314.8217189645772,22.0,19.0,23.0,36.0,59.91346153846154,-15.682390347564732
38,187.83679965065738,32.0,22.0,19.0,23.0,60.12500000000001,-21.179075353486272
64,391.95256049918856,38.0,32.0,22.0,19.0,59.855769230769226,3.4844960508486063
54,350.38261901263513,64.0,38.0,32.0,22.0,59.375,5.817939250055269
54,440.6501573233557,54.0,64.0,38.0,32.0,59.50961538461538,-0.9415662686867764
76,203.54175381900436,54.0,54.0,64.0,38.0,60.01923076923076,5.7957230843660446
74,298.41944566876236,76.0,54.0,54.0,64.0,60.44230769230768,16.186858591265022
74,286.86605323058114,74.0,76.0,54.0,54.0,60.75,8.347224867394766
79,269.4393617719913,74.0,74.0,76.0,54.0,60.730769230769226,7.475539861473226
57,337.28538930397275,79.0,74.0,74.0,76.0,60.50000000000001,12.693598445295276
80,246.00093016376846,57.0,79.0,74.0,74.0,60.22115384615386,3.655246772707067
88,304.03056532028864,80.0,57.0,79.0,74.0,60.21153846153847,12.011125869349634
75,186.44626581374862,88.0,80.0,57.0,79.0,60.17307692307693,12.735594709581942
78,299.4909135289364,75.0,88.0,80.0,57.0,60.05769230769232,12.690832780583474
24,311.05292367801707,78.0,75.0,88.0,80.0,59.80769230769231,16.597993928508107
57,250.21719197175858,24.0,78.0,75.0,88.0,59.20192307692307,3.8833602046378415
59,190.6607217977681,57.0,24.0,78.0,75.0,58.81730769230769,2.800136737177845
35,248.1869542884468,59.0,57.0,24.0,78.0,58.75,-4.651676473871898
31,203.85807397795867,35.0,59.0,57.0,24.0,62.28973929361854,-13.010966885358586
112,203.1415835957333,31.0,35.0,59.0,57.0,62.55302540241282,-28.6082344403654
107,188.1946382345801,112.0,31.0,35.0,59.0,62.81631151120713,7.147062107191879
81,198.84217082760918,107.0,112.0,31.0,35.0,63.07959762000144,11.981528577714439
83,195.35900217049183,81.0,107.0,112.0,31.0,63.34288372879574,10.717484490167617
67,206.70080320383812,83.0,81.0,107.0,112.0,63.606169837590045,-0.07540575122534797
92,366.03849416869264,67.0,83.0,81.0,107.0,63.869455946384356,3.2823450330227013
72,175.79121628399915,92.0,67.0,83.0,81.0,64.13274205517865,7.6849676121425485
53,176.49892546568225,72.0,92.0,67.0,83.0,64.39602816397296,-2.2906149369427298
26,179.12926643453048,53.0,72.0,92.0,67.0,64.65931427276726,0.6536743088437819
37,289.3895129962328,26.0,53.0,72.0,92.0,64.92260038156158,-15.055882599215856
61,307.54904020174666,37.0,26.0,53.0,72.0,65.18588649035587,-7.823131814967803
77,185.25333005055265,61.0,37.0,26.0,53.0,65.44917259915017,-11.285893851232574
83,186.942618383218,77.0,61.0,37.0,26.0,65.71245870794448,1.2737800099385517
69,176.60183126047497,83.0,77.0,61.0,37.0,65.97574481673878,12.077043614699425
70,186.56891136829518,69.0,83.0,77.0,61.0,66.2390309255331,7.534153373306447
44,174.81304200561692,70.0,69.0,83.0,77.0,66.5023170343274,6.693186208836554
59,237.25247938910383,44.0,70.0,69.0,83.0,66.76560314312171,-1.2214989043512872
62,173.01701033691631,59.0,44.0,70.0,69.0,67.02888925191601,4.876636495281381
41,173.6872849994055,62.0,59.0,44.0,70.0,67.29217536071032,13.36259240773456
60,172.73441365359787,41.0,62.0,59.0,44.0,67.5554614695046,-8.90786193622252
41,190.5660568249821,60.0,41.0,62.0,59.0,67.81874757829893,2.840914489051173
37,196.6425361804014,41.0,60.0,41.0,62.0,68.08203368709323,-9.69556549593154
52,198.64353819461132,37.0,41.0,60.0,41.0,68.34531979588753,-3.398712147580929
48,163.31881767666232,52.0,37.0,41.0,60.0,68.60860590468184,-10.018525465896976
27,194.8470083057963,48.0,52.0,37.0,41.0,68.87189201347614,-7.1671849380591794
