demand,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
62,159.98611276654668,67.0,51.0,69.0,21.0,45.0,70.65280441192887,19.41111720868989
106,163.489738777563,62.0,67.0,51.0,69.0,21.0,70.58741273666995,9.000222126083893
60,246.2899429166637,106.0,62.0,67.0,51.0,69.0,70.52202106141105,37.02842960758045
49,264.1132733307715,60.0,106.0,62.0,67.0,51.0,70.45662938615213,7.841893499333433
82,231.33095211468566,49.0,60.0,106.0,62.0,67.0,70.39123771089322,21.398947134676146
106,144.40668466006133,82.0,49.0,60.0,106.0,62.0,70.3258460356343,15.206000770018857
61,244.8754863754608,106.0,82.0,49.0,60.0,106.0,70.26045436037539,21.038695431002594
89,316.91085895810045,61.0,106.0,82.0,49.0,60.0,70.19506268511647,4.502800348396595
80,278.3157747216301,89.0,61.0,106.0,82.0,49.0,70.12967100985755,10.15600782989316
68,150.5467487191338,80.0,89.0,61.0,106.0,82.0,70.06427933459864,-0.7324513552769455
70,203.5695670556664,68.0,80.0,89.0,61.0,106.0,69.99888765933972,7.645115100578597
58,134.50350458080393,70.0,68.0,80.0,89.0,61.0,69.93349598408079,11.484220017972598
65,171.14750310169006,58.0,70.0,68.0,80.0,89.0,69.86810430882188,-5.31449557745393
114,224.5389332868084,65.0,58.0,70.0,68.0,80.0,69.80271263356296,3.242558057888786
94,155.38830661683824,114.0,65.0,58.0,70.0,68.0,69.73732095830404,16.796406565026373
103,158.32790812801647,94.0,114.0,65.0,58.0,70.0,69.67192928304513,9.802178149087046
95,221.72564598648083,103.0,94.0,114.0,65.0,58.0,69.60653760778622,19.08359075878873
114,388.9571769963118,95.0,103.0,94.0,114.0,65.0,69.5411459325273,5.230387983875043
67,203.91777922854146,114.0,95.0,103.0,94.0,114.0,69.47575425726838,20.761800593576734
51,151.38852626192013,67.0,114.0,95.0,103.0,94.0,69.41036258200947,2.2130849981502174
58,156.57328905189775,51.0,67.0,114.0,95.0,103.0,69.34497090675055,-2.6849895716352754
86,142.20932151761502,58.0,51.0,67.0,114.0,95.0,69.27957923149164,-11.724089782446407
