date,demand,civilians_rank,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2016-05-24,171,4,284,1,0,0,0,0,0,1
2016-05-31,137,4,173,1,0,0,0,0,0,1
2016-06-07,156,4,271,1,0,0,0,0,0,1
2014-02-18,4,3,205,1,0,0,0,1,0,0
2014-02-25,3,1,286,1,0,0,0,1,0,0
2014-03-04,7,2,294,1,0,0,0,1,0,0
2014-03-11,7,3,265,1,0,0,0,1,0,0
2014-03-18,2,2,174,1,0,0,0,1,0,0
2014-03-25,3,4,272,1,0,0,0,1,0,0
2014-04-01,2,2,344,1,0,0,0,1,0,0
2014-04-08,8,4,291,1,0,0,0,1,0,0
2014-04-15,12,4,159,1,0,0,0,1,0,0
2014-04-22,7,2,217,1,0,0,0,1,0,0
2014-04-29,7,3,155,1,0,0,0,1,0,0
2014-05-06,4,3,187,1,0,0,0,1,0,0
2014-05-13,3,3,233,1,0,0,0,1,0,0
2014-05-20,4,3,187,1,0,0,0,1,0,0
2014-05-27,7,1,197,1,0,0,0,1,0,0
2014-06-03,4,2,243,1,0,0,0,1,0,0
2014-06-10,5,2,405,1,0,0,0,1,0,0
2014-06-17,6,3,209,1,0,0,0,1,0,0
2014-06-24,6,1,147,1,0,0,0,1,0,0
2014-07-01,11,2,167,1,0,0,0,1,0,0
2014-07-08,2,1,137,1,0,0,0,1,0,0
2014-07-15,6,2,140,1,0,0,0,1,0,0
2014-07-22,1,3,156,1,0,0,0,1,0,0
2014-07-29,1,2,298,1,0,0,0,1,0,0
2014-08-05,9,3,140,1,0,0,0,1,0,0
2014-08-12,6,1,161,1,0,0,0,1,0,0
2014-08-19,10,4,179,1,0,0,0,1,0,0
2014-08-26,4,2,163,1,0,0,0,1,0,0
2014-09-02,4,1,159,1,0,0,0,1,0,0
2014-09-09,12,2,227,1,0,0,0,1,0,0
2014-09-16,5,2,146,1,0,0,0,1,0,0
2014-09-23,12,1,180,1,0,0,0,1,0,0
2014-09-30,13,1,276,1,0,0,0,1,0,0
2014-10-07,7,3,139,1,0,0,0,1,0,0
2014-10-14,2,1,152,1,0,0,0,1,0,0
2014-10-21,18,2,247,1,0,0,0,1,0,0
2014-10-28,11,1,136,1,0,0,0,1,0,0
2014-11-04,10,1,253,1,0,0,0,1,0,0
2014-11-11,7,2,258,1,0,0,0,1,0,0
2014-11-18,10,3,187,1,0,0,0,1,0,0
2014-11-25,12,1,275,1,0,0,0,1,0,0
2014-12-02,8,3,137,1,0,0,0,1,0,0
2014-12-09,10,1,172,1,0,0,0,1,0,0
2014-12-16,4,2,286,1,0,0,0,1,0,0
2014-12-23,10,2,495,1,0,0,0,1,0,0
2014-12-30,10,4,332,1,0,0,0,1,0,0
2015-01-06,6,2,248,1,0,0,0,1,0,0
2015-01-13,1,1,561,1,0,0,0,1,0,0
2015-01-20,5,1,420,1,0,0,0,1,0,0
2015-01-27,11,1,374,1,0,0,0,1,0,0
2015-02-03,11,2,258,1,0,0,0,1,0,0
2015-02-10,6,3,327,1,0,0,0,1,0,0
2015-02-17,3,1,150,1,0,0,0,1,0,0
2015-02-24,5,2,440,1,0,0,0,1,0,0
2015-03-03,3,2,554,1,0,0,0,1,0,0
2015-03-10,13,1,682,1,0,0,0,1,0,0
2015-03-17,3,1,304,1,0,0,0,1,0,0
2015-03-24,5,3,298,1,0,0,0,1,0,0
2015-03-31,4,2,423,1,0,0,0,1,0,0
2015-04-07,7,1,246,1,0,0,0,1,0,0
2015-04-14,3,1,342,1,0,0,0,1,0,0
2015-04-21,2,2,234,1,0,0,0,1,0,0
2015-04-28,6,3,333,1,0,0,0,1,0,0
2015-05-05,4,3,149,1,0,0,0,1,0,0
2015-05-12,3,3,266,1,0,0,0,1,0,0
2015-05-19,4,1,166,1,0,0,0,1,0,0
2015-05-26,5,3,424,1,0,0,0,1,0,0
2015-06-02,4,1,521,1,0,0,0,1,0,0
2015-06-09,21,2,154,1,0,0,0,1,0,0
2015-06-16,36,3,255,1,0,0,0,1,0,0
2015-06-23,64,1,290,1,0,0,0,1,0,0
