demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
11,2,0.0,18.0,9.0,7.0,11.0,-111.94037936152466,31.29308664545423
8,3,11.0,0.0,18.0,9.0,7.0,-107.22329151041906,36.810467618162654
15,1,8.0,11.0,0.0,18.0,9.0,-102.50620365931343,34.616310129332554
18,2,15.0,8.0,11.0,0.0,18.0,-97.78911580820784,34.6529218712717
24,3,18.0,15.0,8.0,11.0,0.0,-93.07202795710222,20.01966181833909
15,2,24.0,18.0,15.0,8.0,11.0,-88.35494010599663,28.162042791047448
19,4,15.0,24.0,18.0,15.0,8.0,-83.63785225489102,25.83006478939688
7,2,19.0,15.0,24.0,18.0,15.0,-78.92076440378541,37.53334319800271
19,4,7.0,19.0,15.0,24.0,18.0,-74.2036765526798,22.05713442712134
14,4,19.0,7.0,19.0,15.0,24.0,-69.48658870157419,7.276438476752826
6,2,14.0,19.0,7.0,19.0,15.0,-64.76950085046857,23.998947654589397
4,3,6.0,14.0,19.0,7.0,19.0,-60.052412999362964,55.53555939652857
15,3,4.0,6.0,14.0,19.0,7.0,-55.33532514825736,74.6170429333395
13,3,15.0,4.0,6.0,14.0,19.0,-50.618237297151744,29.153654675278663
48,3,13.0,15.0,4.0,6.0,14.0,-45.901149446046155,41.5973176992691
34,1,48.0,13.0,15.0,4.0,6.0,-41.18406159494053,68.02495508223389
7,2,34.0,48.0,13.0,15.0,4.0,-36.46697374383493,51.85002836263456
33,2,7.0,34.0,48.0,13.0,15.0,-31.749885892729324,13.553306771240432
33,3,33.0,7.0,34.0,48.0,13.0,-27.03279804162371,32.371969795230854
28,1,33.0,33.0,7.0,34.0,48.0,-22.315710190518107,50.07204307563154
17,2,28.0,33.0,33.0,7.0,34.0,-17.598622339412483,13.717629176545046
34,1,17.0,28.0,33.0,33.0,7.0,-12.881534488306885,2.959369123612433
49,2,34.0,17.0,28.0,33.0,33.0,-8.16444663720128,-18.285689101195945
19,3,49.0,34.0,17.0,28.0,33.0,-3.4473587860956627,-45.13950414234025
18,2,19.0,49.0,34.0,17.0,28.0,1.2697290650099404,-1.9676781578434983
14,3,18.0,19.0,49.0,34.0,17.0,5.986816916115544,27.50222474973017
45,1,14.0,18.0,19.0,49.0,34.0,25.20192307692308,8.931121554069833
33,4,45.0,14.0,18.0,19.0,49.0,27.69230769230769,15.797105027396645
26,2,33.0,45.0,14.0,18.0,19.0,30.35576923076923,11.695139782774742
22,1,26.0,33.0,45.0,14.0,18.0,32.93269230769231,-42.108748538770215
34,2,22.0,26.0,33.0,45.0,14.0,35.403846153846146,38.22197852430017
50,2,34.0,22.0,26.0,33.0,45.0,37.63461538461538,-28.11716620750125
66,1,50.0,34.0,22.0,26.0,33.0,39.86538461538462,-19.94349042648211
8,1,66.0,50.0,34.0,22.0,26.0,42.56730769230771,16.188518687870346
20,3,8.0,66.0,50.0,34.0,22.0,45.53846153846154,-41.69229271059774
43,1,20.0,8.0,66.0,50.0,34.0,48.53846153846154,1.3211266601649552
43,2,43.0,20.0,8.0,66.0,50.0,51.64423076923079,2.3409562873379244
13,1,43.0,43.0,20.0,8.0,66.0,55.3173076923077,-7.113573059848077
11,1,13.0,43.0,43.0,20.0,8.0,60.778846153846146,-10.295666509598195
17,2,11.0,13.0,43.0,43.0,20.0,66.24038461538461,-50.21173431832267
44,3,17.0,11.0,13.0,43.0,43.0,70.76923076923076,-32.438699562944564
39,1,44.0,17.0,11.0,13.0,43.0,75.67307692307692,-79.32912634602799
9,3,39.0,44.0,17.0,11.0,13.0,80.6826923076923,-38.809296718855045
17,1,9.0,39.0,44.0,17.0,11.0,86.04807692307693,-53.440108117323106
47,2,17.0,9.0,39.0,44.0,17.0,92.05769230769234,-50.750406695278365
17,2,47.0,17.0,9.0,39.0,44.0,97.94230769230772,5.054679342150999
33,4,17.0,47.0,17.0,9.0,39.0,103.3846153846154,-21.23318333836833
10,2,33.0,17.0,47.0,17.0,9.0,108.25,-58.8223280701697
36,1,10.0,33.0,17.0,47.0,17.0,112.72115384615385,-119.44345006479756
26,1,36.0,10.0,33.0,17.0,47.0,116.7596153846154,-37.05402698787451
26,1,26.0,36.0,10.0,33.0,17.0,120.35576923076924,-59.44345006479757
107,2,26.0,26.0,36.0,10.0,33.0,125.59615384615385,-47.11652698787449
163,3,107.0,26.0,26.0,36.0,10.0,131.33653846153848,31.29308664545423
133,1,163.0,107.0,26.0,26.0,36.0,136.21153846153842,36.810467618162654
158,2,133.0,163.0,107.0,26.0,26.0,141.62500000000003,34.616310129332554
132,2,158.0,133.0,163.0,107.0,26.0,146.75000000000003,34.6529218712717
142,1,132.0,158.0,133.0,163.0,107.0,152.08653846153848,20.01966181833909
129,1,142.0,132.0,158.0,133.0,163.0,157.05769230769232,28.162042791047448
186,3,129.0,142.0,132.0,158.0,133.0,161.25961538461542,25.83006478939688
149,2,186.0,129.0,142.0,132.0,158.0,167.06730769230768,37.53334319800271
189,1,149.0,186.0,129.0,142.0,132.0,172.0673076923077,22.05713442712134
167,1,189.0,149.0,186.0,129.0,142.0,176.19230769230762,7.276438476752826
235,2,167.0,189.0,149.0,186.0,129.0,181.22115384615384,23.998947654589397
343,3,235.0,167.0,189.0,149.0,186.0,185.9326923076923,55.53555939652857
244,3,343.0,235.0,167.0,189.0,149.0,190.9423076923077,74.6170429333395
255,3,244.0,343.0,235.0,167.0,189.0,196.15384615384613,29.153654675278663
316,1,255.0,244.0,343.0,235.0,167.0,201.4807692307692,41.5973176992691
287,3,316.0,255.0,244.0,343.0,235.0,206.11538461538464,68.02495508223389
312,1,287.0,316.0,255.0,244.0,343.0,210.2692307692308,51.85002836263456
353,2,312.0,287.0,316.0,255.0,244.0,214.9519230769231,13.553306771240432
325,3,353.0,312.0,287.0,316.0,255.0,219.3942307692308,32.371969795230854
302,1,325.0,353.0,312.0,287.0,316.0,224.1923076923077,50.07204307563154
249,4,302.0,325.0,353.0,312.0,287.0,229.8076923076923,13.717629176545046
267,1,249.0,302.0,325.0,353.0,312.0,234.90384615384616,2.959369123612433
236,1,267.0,249.0,302.0,325.0,353.0,238.7692307692308,-18.285689101195945
206,1,236.0,267.0,249.0,302.0,325.0,243.1923076923077,-45.13950414234025
376,2,206.0,236.0,267.0,249.0,302.0,248.53846153846158,-1.9676781578434983
253,3,376.0,206.0,236.0,267.0,249.0,253.99038461538458,27.50222474973017
313,2,253.0,376.0,206.0,236.0,267.0,259.0673076923077,8.931121554069833
328,3,313.0,253.0,376.0,206.0,236.0,262.5576923076923,15.797105027396645
264,2,328.0,313.0,253.0,376.0,206.0,265.7788461538462,11.695139782774742
339,1,264.0,328.0,313.0,253.0,376.0,269.1923076923077,-42.108748538770215
234,1,339.0,264.0,328.0,313.0,253.0,272.30769230769226,38.22197852430017
287,1,234.0,339.0,264.0,328.0,313.0,275.67307692307696,-28.11716620750125
433,2,287.0,234.0,339.0,264.0,328.0,279.5,-19.94349042648211
161,1,433.0,287.0,234.0,339.0,264.0,282.98076923076917,16.188518687870346
296,2,161.0,433.0,287.0,234.0,339.0,286.23076923076917,-41.69229271059774
290,2,296.0,161.0,433.0,287.0,234.0,288.76923076923083,1.3211266601649552
286,3,290.0,296.0,161.0,433.0,287.0,291.1826923076924,2.3409562873379244
291,2,286.0,290.0,296.0,161.0,433.0,294.45192307692315,-7.113573059848077
275,3,291.0,286.0,290.0,296.0,161.0,296.11538461538464,-10.295666509598195
307,4,275.0,291.0,286.0,290.0,296.0,296.9807692307693,-50.21173431832267
236,3,307.0,275.0,291.0,286.0,290.0,298.7115384615385,-32.438699562944564
279,3,236.0,307.0,275.0,291.0,286.0,300.05769230769226,-79.32912634602799
256,3,279.0,236.0,307.0,275.0,291.0,301.0673076923077,-38.809296718855045
232,2,256.0,279.0,236.0,307.0,275.0,301.17307692307685,-53.440108117323106
331,4,232.0,256.0,279.0,236.0,307.0,299.67307692307696,-50.750406695278365
317,3,331.0,232.0,256.0,279.0,236.0,298.95192307692315,5.054679342150999
263,2,317.0,331.0,232.0,256.0,279.0,298.95192307692315,-21.23318333836833
182,1,263.0,317.0,331.0,232.0,256.0,299.4326923076923,-58.8223280701697
324,3,182.0,263.0,317.0,331.0,232.0,299.83653846153845,-119.44345006479756
294,1,324.0,182.0,263.0,317.0,331.0,299.01923076923083,-37.05402698787451
