demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
62,2,67.0,51.0,69.0,21.0,45.0,70.65280441192887,19.41111720868989
106,3,62.0,67.0,51.0,69.0,21.0,70.58741273666995,9.000222126083893
60,1,106.0,62.0,67.0,51.0,69.0,70.52202106141105,37.02842960758045
49,2,60.0,106.0,62.0,67.0,51.0,70.45662938615213,7.841893499333433
82,3,49.0,60.0,106.0,62.0,67.0,70.39123771089322,21.398947134676146
106,2,82.0,49.0,60.0,106.0,62.0,70.3258460356343,15.206000770018857
61,4,106.0,82.0,49.0,60.0,106.0,70.26045436037539,21.038695431002594
89,2,61.0,106.0,82.0,49.0,60.0,70.19506268511647,4.502800348396595
80,4,89.0,61.0,106.0,82.0,49.0,70.12967100985755,10.15600782989316
68,4,80.0,89.0,61.0,106.0,82.0,70.06427933459864,-0.7324513552769455
70,2,68.0,80.0,89.0,61.0,106.0,69.99888765933972,7.645115100578597
58,3,70.0,68.0,80.0,89.0,61.0,69.93349598408079,11.484220017972598
65,3,58.0,70.0,68.0,80.0,89.0,69.86810430882188,-5.31449557745393
114,3,65.0,58.0,70.0,68.0,80.0,69.80271263356296,3.242558057888786
94,3,114.0,65.0,58.0,70.0,68.0,69.73732095830404,16.796406565026373
103,1,94.0,114.0,65.0,58.0,70.0,69.67192928304513,9.802178149087046
95,2,103.0,94.0,114.0,65.0,58.0,69.60653760778622,19.08359075878873
114,2,95.0,103.0,94.0,114.0,65.0,69.5411459325273,5.230387983875043
67,3,114.0,95.0,103.0,94.0,114.0,69.47575425726838,20.761800593576734
51,1,67.0,114.0,95.0,103.0,94.0,69.41036258200947,2.2130849981502174
58,2,51.0,67.0,114.0,95.0,103.0,69.34497090675055,-2.6849895716352754
86,1,58.0,51.0,67.0,114.0,95.0,69.27957923149164,-11.724089782446407
50,2,86.0,58.0,51.0,67.0,114.0,69.21418755623272,-8.9531651906604
44,3,50.0,86.0,58.0,51.0,67.0,69.1487958809738,-32.22793905577192
38,2,44.0,50.0,86.0,58.0,51.0,69.08340420571488,-24.884123177293702
39,3,38.0,44.0,50.0,86.0,58.0,69.01801253045596,-31.82235858086677
39,1,39.0,38.0,44.0,50.0,86.0,68.87500000000001,-20.72831010963056
60,4,39.0,39.0,38.0,44.0,50.0,69.22115384615385,-26.685137610084794
68,2,60.0,39.0,39.0,38.0,44.0,69.05769230769232,-11.273375366949296
78,1,68.0,60.0,39.0,39.0,38.0,69.00961538461542,-22.496228508429184
61,2,78.0,68.0,60.0,39.0,39.0,69.69230769230772,-14.203056008883415
62,2,61.0,78.0,68.0,60.0,39.0,70.35576923076924,-7.77206299651714
51,1,62.0,61.0,78.0,68.0,60.0,70.14423076923077,-23.078249471330352
52,1,51.0,62.0,61.0,78.0,68.0,69.93269230769232,-11.813923125630744
16,3,52.0,51.0,62.0,61.0,78.0,69.81730769230771,-19.24190447223884
63,1,16.0,52.0,51.0,62.0,61.0,69.37500000000001,-15.548090947052055
64,2,63.0,16.0,52.0,51.0,62.0,69.18269230769232,2.0463636037757595
75,1,64.0,63.0,16.0,52.0,51.0,69.27884615384616,3.519023282808708
50,1,75.0,64.0,63.0,16.0,52.0,69.32692307692308,5.3346316797903635
73,2,50.0,75.0,64.0,63.0,16.0,69.25961538461536,-3.1927086411766936
88,3,73.0,50.0,75.0,64.0,63.0,68.69230769230771,12.103668986574194
51,1,88.0,73.0,50.0,75.0,64.0,67.84615384615387,3.855174819453277
67,3,51.0,88.0,73.0,50.0,75.0,67.26923076923079,-2.765114219462504
68,1,67.0,51.0,88.0,73.0,50.0,66.78846153846153,3.697930074955063
74,2,68.0,67.0,51.0,88.0,73.0,66.36538461538461,10.266743600141842
56,2,74.0,68.0,67.0,51.0,88.0,66.29807692307692,19.710557125328624
64,4,56.0,74.0,68.0,67.0,51.0,66.68269230769229,-3.746270375125609
64,2,64.0,56.0,74.0,68.0,67.0,66.92307692307689,-10.872969670451631
64,1,64.0,64.0,56.0,74.0,68.0,66.60576923076924,-13.752691577077401
85,1,64.0,64.0,64.0,56.0,74.0,66.11538461538461,-7.459422346308159
95,1,85.0,64.0,64.0,64.0,56.0,65.86538461538464,15.079039192153369
102,2,95.0,85.0,64.0,64.0,64.0,65.76923076923077,15.516539192153358
63,3,102.0,95.0,85.0,64.0,64.0,65.77884615384616,19.41111720868989
88,1,63.0,102.0,95.0,85.0,64.0,65.89423076923077,9.000222126083893
73,2,88.0,63.0,102.0,95.0,85.0,66.00961538461539,37.02842960758045
107,2,73.0,88.0,63.0,102.0,95.0,65.77884615384616,7.841893499333433
93,1,107.0,73.0,88.0,63.0,102.0,65.19230769230771,21.398947134676146
73,1,93.0,107.0,73.0,88.0,63.0,65.00000000000001,15.206000770018857
72,3,73.0,93.0,107.0,73.0,88.0,65.09615384615385,21.038695431002594
66,2,72.0,73.0,93.0,107.0,73.0,65.25961538461539,4.502800348396595
57,1,66.0,72.0,73.0,93.0,107.0,65.39423076923077,10.15600782989316
71,1,57.0,66.0,72.0,73.0,93.0,65.80769230769229,-0.7324513552769455
77,2,71.0,57.0,66.0,72.0,73.0,66.31730769230771,7.645115100578597
56,3,77.0,71.0,57.0,66.0,72.0,66.38461538461539,11.484220017972598
60,3,56.0,77.0,71.0,57.0,66.0,66.29807692307692,-5.31449557745393
60,3,60.0,56.0,77.0,71.0,57.0,66.5,3.242558057888786
60,1,60.0,60.0,56.0,77.0,71.0,66.95192307692308,16.796406565026373
77,3,60.0,60.0,60.0,56.0,77.0,66.86538461538461,9.802178149087046
71,1,77.0,60.0,60.0,60.0,56.0,66.80769230769229,19.08359075878873
94,2,71.0,77.0,60.0,60.0,60.0,66.94230769230771,5.230387983875043
80,3,94.0,71.0,77.0,60.0,60.0,67.10576923076924,20.761800593576734
78,1,80.0,94.0,71.0,77.0,60.0,67.27884615384616,2.2130849981502174
56,4,78.0,80.0,94.0,71.0,77.0,67.34615384615385,-2.6849895716352754
55,1,56.0,78.0,80.0,94.0,71.0,67.40384615384616,-11.724089782446407
30,1,55.0,56.0,78.0,80.0,94.0,67.19230769230771,-8.9531651906604
38,1,30.0,55.0,56.0,78.0,80.0,66.96153846153847,-32.22793905577192
34,2,38.0,30.0,55.0,56.0,78.0,66.875,-24.884123177293702
44,3,34.0,38.0,30.0,55.0,56.0,66.6346153846154,-31.82235858086677
46,2,44.0,34.0,38.0,30.0,55.0,66.37500000000001,-20.72831010963056
65,3,46.0,44.0,34.0,38.0,30.0,66.77884615384616,-26.685137610084794
39,2,65.0,46.0,44.0,34.0,38.0,67.58653846153847,-11.273375366949296
46,1,39.0,65.0,46.0,44.0,34.0,68.18269230769232,-22.496228508429184
73,1,46.0,39.0,65.0,46.0,44.0,68.5,-14.203056008883415
60,1,73.0,46.0,39.0,65.0,46.0,68.42307692307692,-7.77206299651714
70,2,60.0,73.0,46.0,39.0,65.0,68.43269230769229,-23.078249471330352
47,1,70.0,60.0,73.0,46.0,39.0,68.73076923076923,-11.813923125630744
64,2,47.0,70.0,60.0,73.0,46.0,69.0096153846154,-19.24190447223884
68,2,64.0,47.0,70.0,60.0,73.0,69.25000000000001,-15.548090947052055
66,3,68.0,64.0,47.0,70.0,60.0,69.53846153846155,2.0463636037757595
64,2,66.0,68.0,64.0,47.0,70.0,69.90384615384615,3.519023282808708
82,3,64.0,66.0,68.0,64.0,47.0,70.28846153846155,5.3346316797903635
88,4,82.0,64.0,66.0,68.0,64.0,70.81730769230771,-3.1927086411766936
64,3,88.0,82.0,64.0,66.0,68.0,71.375,12.103668986574194
69,3,64.0,88.0,82.0,64.0,66.0,71.84615384615384,3.855174819453277
63,3,69.0,64.0,88.0,82.0,64.0,72.16346153846155,-2.765114219462504
89,2,63.0,69.0,64.0,88.0,82.0,72.13461538461539,3.697930074955063
71,4,89.0,63.0,69.0,64.0,88.0,71.73076923076924,10.266743600141842
66,3,71.0,89.0,63.0,69.0,64.0,71.34615384615384,19.710557125328624
60,2,66.0,71.0,89.0,63.0,69.0,71.21153846153847,-3.746270375125609
46,1,60.0,66.0,71.0,89.0,63.0,71.23076923076921,-10.872969670451631
58,3,46.0,60.0,66.0,71.0,89.0,71.16346153846153,-13.752691577077401
82,1,58.0,46.0,60.0,66.0,71.0,71.0673076923077,-7.459422346308159
73,2,82.0,58.0,46.0,60.0,66.0,71.24038461538461,15.079039192153369
97,3,73.0,82.0,58.0,46.0,60.0,71.46153846153848,15.516539192153358
110,3,97.0,73.0,82.0,58.0,46.0,71.73076923076924,19.41111720868989
125,2,110.0,97.0,73.0,82.0,58.0,71.91346153846155,9.000222126083893
98,2,125.0,110.0,97.0,73.0,82.0,71.77884615384616,37.02842960758045
115,3,98.0,125.0,110.0,97.0,73.0,71.63461538461537,7.841893499333433
77,1,115.0,98.0,125.0,110.0,97.0,71.61538461538461,21.398947134676146
90,1,77.0,115.0,98.0,125.0,110.0,71.45192307692308,15.206000770018857
86,1,90.0,77.0,115.0,98.0,125.0,70.92307692307695,21.038695431002594
81,1,86.0,90.0,77.0,115.0,98.0,70.4326923076923,4.502800348396595
67,1,81.0,86.0,90.0,77.0,115.0,70.40384615384616,10.15600782989316
91,1,67.0,81.0,86.0,90.0,77.0,70.72115384615384,-0.7324513552769455
95,4,91.0,67.0,81.0,86.0,90.0,71.14423076923075,7.645115100578597
78,4,95.0,91.0,67.0,81.0,86.0,71.62499999999999,11.484220017972598
93,4,78.0,95.0,91.0,67.0,81.0,72.17307692307693,-5.31449557745393
85,3,93.0,78.0,95.0,91.0,67.0,72.36538461538464,3.242558057888786
84,3,85.0,93.0,78.0,95.0,91.0,72.31730769230771,16.796406565026373
86,4,84.0,85.0,93.0,78.0,95.0,72.45192307692308,9.802178149087046
59,4,86.0,84.0,85.0,93.0,78.0,72.73076923076924,19.08359075878873
64,4,59.0,86.0,84.0,85.0,93.0,73.22115384615384,5.230387983875043
70,4,64.0,59.0,86.0,84.0,85.0,73.52884615384612,20.761800593576734
74,4,70.0,64.0,59.0,86.0,84.0,74.0673076923077,2.2130849981502174
62,4,74.0,70.0,64.0,59.0,86.0,74.75961538461539,-2.6849895716352754
42,4,62.0,74.0,70.0,64.0,59.0,74.88461538461539,-11.724089782446407
33,4,42.0,62.0,74.0,70.0,64.0,73.84877174605474,-8.9531651906604
53,4,33.0,42.0,62.0,74.0,70.0,73.96925424741745,-32.22793905577192
42,4,53.0,33.0,42.0,62.0,74.0,74.08973674878017,-24.884123177293702
64,4,42.0,53.0,33.0,42.0,62.0,74.21021925014291,-31.82235858086677
45,4,64.0,42.0,53.0,33.0,42.0,74.33070175150561,-20.72831010963056
52,4,45.0,64.0,42.0,53.0,33.0,74.45118425286833,-26.685137610084794
37,4,52.0,45.0,64.0,42.0,53.0,74.57166675423106,-11.273375366949296
46,4,37.0,52.0,45.0,64.0,42.0,74.69214925559378,-22.496228508429184
56,4,46.0,37.0,52.0,45.0,64.0,74.81263175695648,-14.203056008883415
22,4,56.0,46.0,37.0,52.0,45.0,74.93311425831922,-7.77206299651714
57,4,22.0,56.0,46.0,37.0,52.0,75.05359675968194,-23.078249471330352
57,4,57.0,22.0,56.0,46.0,37.0,75.17407926104465,-11.813923125630744
87,4,57.0,57.0,22.0,56.0,46.0,75.29456176240738,-19.24190447223884
89,4,87.0,57.0,57.0,22.0,56.0,75.4150442637701,-15.548090947052055
95,4,89.0,87.0,57.0,57.0,22.0,75.53552676513281,2.0463636037757595
92,3,95.0,89.0,87.0,57.0,57.0,75.65600926649553,3.519023282808708
74,3,92.0,95.0,89.0,87.0,57.0,75.77649176785826,5.3346316797903635
91,4,74.0,92.0,95.0,89.0,87.0,75.89697426922098,-3.1927086411766936
75,4,91.0,74.0,92.0,95.0,89.0,76.01745677058369,12.103668986574194
87,4,75.0,91.0,74.0,92.0,95.0,76.13793927194641,3.855174819453277
