demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
16,2,52.0,25.0,46.0,40.0,40.0,38.70396099994088,13.559997951815538
46,3,16.0,52.0,25.0,46.0,40.0,38.97772650703687,6.003999193039951
37,1,46.0,16.0,52.0,25.0,46.0,39.251492014132864,4.069795306059239
31,2,37.0,46.0,16.0,52.0,25.0,39.52525752122886,3.7093093677964735
50,3,31.0,37.0,46.0,16.0,52.0,39.799023028324854,-8.212074006363729
43,2,50.0,31.0,37.0,46.0,16.0,40.07278853542085,12.61013236306581
16,4,43.0,50.0,31.0,37.0,46.0,40.34655404251684,4.477210527367145
55,2,16.0,43.0,50.0,31.0,37.0,40.620319549612844,-5.479429257049474
59,4,55.0,16.0,43.0,50.0,31.0,40.894085056708825,-1.0995305799276305
52,4,59.0,55.0,16.0,43.0,50.0,41.167850563804826,21.719470661296786
65,2,52.0,59.0,55.0,16.0,43.0,41.44161607090082,-5.54806655901726
26,3,65.0,52.0,59.0,55.0,16.0,41.71538157799681,8.585037246309723
53,3,26.0,65.0,52.0,59.0,55.0,41.98914708509281,-9.73057689708125
44,3,53.0,26.0,65.0,52.0,59.0,42.26291259218881,-3.9372166814978655
52,3,44.0,53.0,26.0,65.0,52.0,42.5366780992848,0.14781020075219273
36,1,52.0,44.0,53.0,26.0,65.0,42.810443606380794,20.960401185566344
58,2,36.0,52.0,44.0,53.0,26.0,43.08420911347679,-12.807136034747709
58,2,58.0,36.0,52.0,44.0,53.0,43.357974620572776,10.082378026989524
32,3,58.0,58.0,36.0,52.0,44.0,43.631740127668785,13.824456191290858
37,1,32.0,58.0,58.0,36.0,52.0,43.90550563476478,3.2908933299511767
50,2,37.0,32.0,58.0,58.0,36.0,44.179271141860774,-1.2843361980551828
55,1,50.0,37.0,32.0,58.0,58.0,44.453036648956754,-11.221745213241036
22,2,55.0,50.0,37.0,32.0,58.0,44.72680215605276,-3.418666177674597
47,3,22.0,55.0,50.0,37.0,32.0,45.00056766314874,-29.811484287948737
15,2,47.0,22.0,55.0,50.0,37.0,45.274333170244745,2.0969796530591704
49,3,15.0,47.0,22.0,55.0,50.0,45.54809867734075,-3.972120508497023
32,1,49.0,15.0,47.0,22.0,55.0,45.16346153846154,11.575682776041074
26,4,32.0,49.0,15.0,47.0,22.0,45.81730769230769,4.979248039927139
63,2,26.0,32.0,49.0,15.0,47.0,46.41346153846154,-4.613981567981674
59,1,63.0,26.0,32.0,49.0,15.0,46.78846153846154,-3.7328522015315087
41,2,59.0,63.0,26.0,32.0,49.0,46.95192307692307,-0.2876202709787794
51,2,41.0,59.0,63.0,26.0,32.0,47.33653846153846,6.930047557009847
48,1,51.0,41.0,59.0,63.0,26.0,47.769230769230774,-12.518951281668196
34,1,48.0,51.0,41.0,59.0,63.0,48.365384615384606,-0.07371935111546847
18,3,34.0,48.0,51.0,41.0,59.0,48.79807692307693,-2.8560515231268413
59,1,18.0,34.0,48.0,51.0,41.0,48.903846153846146,9.390462458707935
