date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2014-03-11,195,3,204,197,200,194,200,201,6,1,0,0,0,0,0,1
2014-03-18,187,2,195,204,197,200,194,201,19,1,0,0,0,0,0,1
2014-03-25,193,4,187,195,204,197,200,201,2,1,0,0,0,0,0,1
2014-04-01,242,2,193,187,195,204,197,200,0,1,0,0,0,0,0,1
2014-04-08,154,4,242,193,187,195,204,200,0,1,0,0,0,0,0,1
2014-04-15,237,4,154,242,193,187,195,200,-32,1,0,0,0,0,0,1
2014-04-22,235,2,237,154,242,193,187,200,3,1,0,0,0,0,0,1
2014-04-29,175,3,235,237,154,242,193,199,10,1,0,0,0,0,0,1
2014-05-06,243,3,175,235,237,154,242,199,-26,1,0,0,0,0,0,1
2014-05-13,237,3,243,175,235,237,154,199,0,1,0,0,0,0,0,1
2014-05-20,208,3,237,243,175,235,237,199,11,1,0,0,0,0,0,1
2014-05-27,273,1,208,237,243,175,235,198,-5,1,0,0,0,0,0,1
2014-06-03,183,2,273,208,237,243,175,198,20,1,0,0,0,0,0,1
2014-06-10,207,2,183,273,208,237,243,198,-26,1,0,0,0,0,0,1
2014-06-17,221,3,207,183,273,208,237,198,-11,1,0,0,0,0,0,1
2014-06-24,219,1,221,207,183,273,208,197,-9,1,0,0,0,0,0,1
2014-07-01,193,2,219,221,207,183,273,197,-19,1,0,0,0,0,0,1
2014-07-08,224,1,193,219,221,207,183,197,-24,1,0,0,0,0,0,1
2014-07-15,194,2,224,193,219,221,207,197,-36,1,0,0,0,0,0,1
2014-07-22,178,3,194,224,193,219,221,196,-45,1,0,0,0,0,0,1
2014-07-29,103,2,178,194,224,193,219,196,-28,1,0,0,0,0,0,1
2014-08-05,174,3,103,178,194,224,193,196,-32,1,0,0,0,0,0,1
2014-08-12,166,1,174,103,178,194,224,196,-6,1,0,0,0,0,0,1
2014-08-19,191,4,166,174,103,178,194,196,-7,1,0,0,0,0,0,1
2014-08-26,170,2,191,166,174,103,178,195,10,1,0,0,0,0,0,1
2014-09-02,177,1,170,191,166,174,103,195,-16,1,0,0,0,0,0,1
2014-09-09,214,2,177,170,191,166,174,194,17,1,0,0,0,0,0,1
2014-09-16,173,2,214,177,170,191,166,195,0,1,0,0,0,0,0,1
2014-09-23,169,1,173,214,177,170,191,196,-23,1,0,0,0,0,0,1
2014-09-30,165,1,169,173,214,177,170,196,-16,1,0,0,0,0,0,1
2014-10-07,98,3,165,169,173,214,177,196,-26,1,0,0,0,0,0,1
2014-10-14,212,1,98,165,169,173,214,196,-24,1,0,0,0,0,0,1
2014-10-21,173,2,212,98,165,169,173,196,24,1,0,0,0,0,0,1
2014-10-28,193,1,173,212,98,165,169,195,-5,1,0,0,0,0,0,1
2014-11-04,167,1,193,173,212,98,165,195,3,1,0,0,0,0,0,1
2014-11-11,205,2,167,193,173,212,98,194,-25,1,0,0,0,0,0,1
2014-11-18,212,3,205,167,193,173,212,193,15,1,0,0,0,0,0,1
2014-11-25,190,1,212,205,167,193,173,193,3,1,0,0,0,0,0,1
2014-12-02,184,3,190,212,205,167,193,192,-3,1,0,0,0,0,0,1
2014-12-09,172,1,184,190,212,205,167,192,16,1,0,0,0,0,0,1
2014-12-16,169,2,172,184,190,212,205,191,15,1,0,0,0,0,0,1
2014-12-23,222,2,169,172,184,190,212,191,28,1,0,0,0,0,0,1
2014-12-30,195,4,222,169,172,184,190,190,50,1,0,0,0,0,0,1
2015-01-06,168,2,195,222,169,172,184,190,58,1,0,0,0,0,0,1
2015-01-13,157,1,168,195,222,169,172,189,-6,1,0,0,0,0,0,1
2015-01-20,190,1,157,168,195,222,169,188,-11,1,0,0,0,0,0,1
2015-01-27,216,1,190,157,168,195,222,186,-10,1,0,0,0,0,0,1
2015-02-03,217,2,216,190,157,168,195,187,14,1,0,0,0,0,0,1
2015-02-10,240,3,217,216,190,157,168,187,64,1,0,0,0,0,0,1
2015-02-17,216,1,240,217,216,190,157,187,35,1,0,0,0,0,0,1
2015-02-24,205,2,216,240,217,216,190,187,26,1,0,0,0,0,0,1
2015-03-03,206,2,205,216,240,217,216,187,20,1,0,0,0,0,0,1
2015-03-10,244,1,206,205,216,240,217,187,6,1,0,0,0,0,0,1
2015-03-17,228,1,244,206,205,216,240,187,19,1,0,0,0,0,0,1
2015-03-24,216,3,228,244,206,205,216,186,2,1,0,0,0,0,0,1
2015-03-31,198,2,216,228,244,206,205,187,0,1,0,0,0,0,0,1
2015-04-07,179,1,198,216,228,244,206,186,0,1,0,0,0,0,0,1
2015-04-14,190,1,179,198,216,228,244,186,-32,1,0,0,0,0,0,1
2015-04-21,201,2,190,179,198,216,228,186,3,1,0,0,0,0,0,1
2015-04-28,187,3,201,190,179,198,216,186,10,1,0,0,0,0,0,1
2015-05-05,185,3,187,201,190,179,198,186,-26,1,0,0,0,0,0,1
2015-05-12,193,3,185,187,201,190,179,185,0,1,0,0,0,0,0,1
2015-05-19,211,1,193,185,187,201,190,185,11,1,0,0,0,0,0,1
2015-05-26,201,3,211,193,185,187,201,184,-5,1,0,0,0,0,0,1
2015-06-02,188,1,201,211,193,185,187,184,20,1,0,0,0,0,0,1
2015-06-09,190,2,188,201,211,193,185,183,-26,1,0,0,0,0,0,1
2015-06-16,192,3,190,188,201,211,193,183,-11,1,0,0,0,0,0,1
2015-06-23,183,1,192,190,188,201,211,184,-9,1,0,0,0,0,0,1
2015-06-30,156,4,183,192,190,188,201,184,-19,1,0,0,0,0,0,1
2015-07-07,157,1,156,183,192,190,188,184,-24,1,0,0,0,0,0,1
2015-07-14,146,1,157,156,183,192,190,185,-36,1,0,0,0,0,0,1
2015-07-21,106,1,146,157,156,183,192,186,-45,1,0,0,0,0,0,1
2015-07-28,189,2,106,146,157,156,183,186,-28,1,0,0,0,0,0,1
2015-08-04,151,3,189,106,146,157,156,185,-32,1,0,0,0,0,0,1
2015-08-11,165,2,151,189,106,146,157,185,-6,1,0,0,0,0,0,1
2015-08-18,178,3,165,151,189,106,146,186,-7,1,0,0,0,0,0,1
2015-08-25,177,2,178,165,151,189,106,185,10,1,0,0,0,0,0,1
2015-09-01,193,1,177,178,165,151,189,185,-16,1,0,0,0,0,0,1
2015-09-08,166,1,193,177,178,165,151,185,17,1,0,0,0,0,0,1
2015-09-15,182,1,166,193,177,178,165,184,0,1,0,0,0,0,0,1
2015-09-22,182,2,182,166,193,177,178,184,-23,1,0,0,0,0,0,1
2015-09-29,78,1,182,182,166,193,177,183,-16,1,0,0,0,0,0,1
