demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
16,52.0,25.0,46.0,40.0,40.0,38.70396099994088,13.559997951815538
46,16.0,52.0,25.0,46.0,40.0,38.97772650703687,6.003999193039951
37,46.0,16.0,52.0,25.0,46.0,39.251492014132864,4.069795306059239
31,37.0,46.0,16.0,52.0,25.0,39.52525752122886,3.7093093677964735
50,31.0,37.0,46.0,16.0,52.0,39.799023028324854,-8.212074006363729
43,50.0,31.0,37.0,46.0,16.0,40.07278853542085,12.61013236306581
16,43.0,50.0,31.0,37.0,46.0,40.34655404251684,4.477210527367145
55,16.0,43.0,50.0,31.0,37.0,40.620319549612844,-5.479429257049474
59,55.0,16.0,43.0,50.0,31.0,40.894085056708825,-1.0995305799276305
52,59.0,55.0,16.0,43.0,50.0,41.167850563804826,21.719470661296786
65,52.0,59.0,55.0,16.0,43.0,41.44161607090082,-5.54806655901726
26,65.0,52.0,59.0,55.0,16.0,41.71538157799681,8.585037246309723
53,26.0,65.0,52.0,59.0,55.0,41.98914708509281,-9.73057689708125
44,53.0,26.0,65.0,52.0,59.0,42.26291259218881,-3.9372166814978655
52,44.0,53.0,26.0,65.0,52.0,42.5366780992848,0.14781020075219273
36,52.0,44.0,53.0,26.0,65.0,42.810443606380794,20.960401185566344
58,36.0,52.0,44.0,53.0,26.0,43.08420911347679,-12.807136034747709
58,58.0,36.0,52.0,44.0,53.0,43.357974620572776,10.082378026989524
32,58.0,58.0,36.0,52.0,44.0,43.631740127668785,13.824456191290858
37,32.0,58.0,58.0,36.0,52.0,43.90550563476478,3.2908933299511767
50,37.0,32.0,58.0,58.0,36.0,44.179271141860774,-1.2843361980551828
55,50.0,37.0,32.0,58.0,58.0,44.453036648956754,-11.221745213241036
22,55.0,50.0,37.0,32.0,58.0,44.72680215605276,-3.418666177674597
47,22.0,55.0,50.0,37.0,32.0,45.00056766314874,-29.811484287948737
15,47.0,22.0,55.0,50.0,37.0,45.274333170244745,2.0969796530591704
49,15.0,47.0,22.0,55.0,50.0,45.54809867734075,-3.972120508497023
32,49.0,15.0,47.0,22.0,55.0,45.16346153846154,11.575682776041074
26,32.0,49.0,15.0,47.0,22.0,45.81730769230769,4.979248039927139
63,26.0,32.0,49.0,15.0,47.0,46.41346153846154,-4.613981567981674
59,63.0,26.0,32.0,49.0,15.0,46.78846153846154,-3.7328522015315087
41,59.0,63.0,26.0,32.0,49.0,46.95192307692307,-0.2876202709787794
51,41.0,59.0,63.0,26.0,32.0,47.33653846153846,6.930047557009847
48,51.0,41.0,59.0,63.0,26.0,47.769230769230774,-12.518951281668196
34,48.0,51.0,41.0,59.0,63.0,48.365384615384606,-0.07371935111546847
18,34.0,48.0,51.0,41.0,59.0,48.79807692307693,-2.8560515231268413
59,18.0,34.0,48.0,51.0,41.0,48.903846153846146,9.390462458707935
37,59.0,18.0,34.0,48.0,51.0,48.95192307692307,7.284412337978614
51,37.0,59.0,18.0,34.0,48.0,48.86538461538462,0.9732340121210854
53,51.0,37.0,59.0,18.0,34.0,49.16346153846153,10.235773634981507
50,53.0,51.0,37.0,59.0,18.0,49.403846153846146,2.139338898867567
34,50.0,53.0,51.0,37.0,59.0,49.51923076923076,17.401878521727994
55,34.0,50.0,53.0,51.0,37.0,49.58653846153847,-20.611222881052626
50,55.0,34.0,50.0,53.0,51.0,49.615384615384606,11.067983408474467
71,50.0,55.0,34.0,50.0,53.0,49.70192307692307,-3.0797333789215218
54,71.0,50.0,55.0,34.0,50.0,49.846153846153854,-2.2595014483688014
63,54.0,71.0,50.0,55.0,34.0,50.30769230769231,-14.855936184482735
25,63.0,54.0,71.0,50.0,55.0,50.88461538461538,4.525193181967428
60,25.0,63.0,54.0,71.0,50.0,51.19230769230769,-35.20906206696702
55,60.0,25.0,63.0,54.0,71.0,51.48076923076921,-0.4713740225631392
47,55.0,60.0,25.0,63.0,54.0,52.04807692307693,6.038241362052244
42,47.0,55.0,60.0,25.0,63.0,52.17307692307693,-8.880027868716986
81,42.0,47.0,55.0,60.0,25.0,52.45192307692307,-11.706950945640068
55,81.0,42.0,47.0,55.0,60.0,53.25000000000001,13.559997951815538
69,55.0,81.0,42.0,47.0,55.0,53.80769230769232,6.003999193039951
53,69.0,55.0,81.0,42.0,47.0,54.46153846153847,4.069795306059239
32,53.0,69.0,55.0,81.0,42.0,54.721153846153854,3.7093093677964735
89,32.0,53.0,69.0,55.0,81.0,54.49999999999999,-8.212074006363729
49,89.0,32.0,53.0,69.0,55.0,54.480769230769226,12.61013236306581
72,49.0,89.0,32.0,53.0,69.0,54.5,4.477210527367145
44,72.0,49.0,89.0,32.0,53.0,54.67307692307693,-5.479429257049474
81,44.0,72.0,49.0,89.0,32.0,54.65384615384616,-1.0995305799276305
35,81.0,44.0,72.0,49.0,89.0,55.11538461538462,21.719470661296786
73,35.0,81.0,44.0,72.0,49.0,55.91346153846154,-5.54806655901726
49,73.0,35.0,81.0,44.0,72.0,56.144230769230774,8.585037246309723
55,49.0,73.0,35.0,81.0,44.0,56.365384615384606,-9.73057689708125
54,55.0,49.0,73.0,35.0,81.0,56.509615384615394,-3.9372166814978655
49,54.0,55.0,49.0,73.0,35.0,56.78846153846154,0.14781020075219273
42,49.0,54.0,55.0,49.0,73.0,57.17307692307693,20.960401185566344
61,42.0,49.0,54.0,55.0,49.0,57.52884615384616,-12.807136034747709
70,61.0,42.0,49.0,54.0,55.0,57.93269230769232,10.082378026989524
68,70.0,61.0,42.0,49.0,54.0,58.07692307692307,13.824456191290858
61,68.0,70.0,61.0,42.0,49.0,57.97115384615384,3.2908933299511767
58,61.0,68.0,70.0,61.0,42.0,58.20192307692307,-1.2843361980551828
77,58.0,61.0,68.0,70.0,61.0,58.62500000000001,-11.221745213241036
59,77.0,58.0,61.0,68.0,70.0,58.79807692307693,-3.418666177674597
23,59.0,77.0,58.0,61.0,68.0,59.03846153846154,-29.811484287948737
68,23.0,59.0,77.0,58.0,61.0,59.375,2.0969796530591704
79,68.0,23.0,59.0,77.0,58.0,59.644230769230774,-3.972120508497023
60,79.0,68.0,23.0,59.0,77.0,59.721153846153854,11.575682776041074
66,60.0,79.0,68.0,23.0,59.0,60.19230769230769,4.979248039927139
50,66.0,60.0,79.0,68.0,23.0,60.71153846153847,-4.613981567981674
49,50.0,66.0,60.0,79.0,68.0,61.02884615384616,-3.7328522015315087
49,49.0,50.0,66.0,60.0,79.0,61.865384615384635,-0.2876202709787794
