demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
62,67.0,51.0,69.0,21.0,45.0,70.65280441192887,19.41111720868989
106,62.0,67.0,51.0,69.0,21.0,70.58741273666995,9.000222126083893
60,106.0,62.0,67.0,51.0,69.0,70.52202106141105,37.02842960758045
49,60.0,106.0,62.0,67.0,51.0,70.45662938615213,7.841893499333433
82,49.0,60.0,106.0,62.0,67.0,70.39123771089322,21.398947134676146
106,82.0,49.0,60.0,106.0,62.0,70.3258460356343,15.206000770018857
61,106.0,82.0,49.0,60.0,106.0,70.26045436037539,21.038695431002594
89,61.0,106.0,82.0,49.0,60.0,70.19506268511647,4.502800348396595
80,89.0,61.0,106.0,82.0,49.0,70.12967100985755,10.15600782989316
68,80.0,89.0,61.0,106.0,82.0,70.06427933459864,-0.7324513552769455
70,68.0,80.0,89.0,61.0,106.0,69.99888765933972,7.645115100578597
58,70.0,68.0,80.0,89.0,61.0,69.93349598408079,11.484220017972598
65,58.0,70.0,68.0,80.0,89.0,69.86810430882188,-5.31449557745393
114,65.0,58.0,70.0,68.0,80.0,69.80271263356296,3.242558057888786
94,114.0,65.0,58.0,70.0,68.0,69.73732095830404,16.796406565026373
103,94.0,114.0,65.0,58.0,70.0,69.67192928304513,9.802178149087046
95,103.0,94.0,114.0,65.0,58.0,69.60653760778622,19.08359075878873
114,95.0,103.0,94.0,114.0,65.0,69.5411459325273,5.230387983875043
67,114.0,95.0,103.0,94.0,114.0,69.47575425726838,20.761800593576734
51,67.0,114.0,95.0,103.0,94.0,69.41036258200947,2.2130849981502174
58,51.0,67.0,114.0,95.0,103.0,69.34497090675055,-2.6849895716352754
86,58.0,51.0,67.0,114.0,95.0,69.27957923149164,-11.724089782446407
50,86.0,58.0,51.0,67.0,114.0,69.21418755623272,-8.9531651906604
44,50.0,86.0,58.0,51.0,67.0,69.1487958809738,-32.22793905577192
38,44.0,50.0,86.0,58.0,51.0,69.08340420571488,-24.884123177293702
39,38.0,44.0,50.0,86.0,58.0,69.01801253045596,-31.82235858086677
39,39.0,38.0,44.0,50.0,86.0,68.87500000000001,-20.72831010963056
60,39.0,39.0,38.0,44.0,50.0,69.22115384615385,-26.685137610084794
68,60.0,39.0,39.0,38.0,44.0,69.05769230769232,-11.273375366949296
78,68.0,60.0,39.0,39.0,38.0,69.00961538461542,-22.496228508429184
61,78.0,68.0,60.0,39.0,39.0,69.69230769230772,-14.203056008883415
62,61.0,78.0,68.0,60.0,39.0,70.35576923076924,-7.77206299651714
51,62.0,61.0,78.0,68.0,60.0,70.14423076923077,-23.078249471330352
52,51.0,62.0,61.0,78.0,68.0,69.93269230769232,-11.813923125630744
16,52.0,51.0,62.0,61.0,78.0,69.81730769230771,-19.24190447223884
63,16.0,52.0,51.0,62.0,61.0,69.37500000000001,-15.548090947052055
64,63.0,16.0,52.0,51.0,62.0,69.18269230769232,2.0463636037757595
75,64.0,63.0,16.0,52.0,51.0,69.27884615384616,3.519023282808708
50,75.0,64.0,63.0,16.0,52.0,69.32692307692308,5.3346316797903635
73,50.0,75.0,64.0,63.0,16.0,69.25961538461536,-3.1927086411766936
88,73.0,50.0,75.0,64.0,63.0,68.69230769230771,12.103668986574194
51,88.0,73.0,50.0,75.0,64.0,67.84615384615387,3.855174819453277
67,51.0,88.0,73.0,50.0,75.0,67.26923076923079,-2.765114219462504
68,67.0,51.0,88.0,73.0,50.0,66.78846153846153,3.697930074955063
74,68.0,67.0,51.0,88.0,73.0,66.36538461538461,10.266743600141842
56,74.0,68.0,67.0,51.0,88.0,66.29807692307692,19.710557125328624
64,56.0,74.0,68.0,67.0,51.0,66.68269230769229,-3.746270375125609
64,64.0,56.0,74.0,68.0,67.0,66.92307692307689,-10.872969670451631
64,64.0,64.0,56.0,74.0,68.0,66.60576923076924,-13.752691577077401
85,64.0,64.0,64.0,56.0,74.0,66.11538461538461,-7.459422346308159
95,85.0,64.0,64.0,64.0,56.0,65.86538461538464,15.079039192153369
102,95.0,85.0,64.0,64.0,64.0,65.76923076923077,15.516539192153358
63,102.0,95.0,85.0,64.0,64.0,65.77884615384616,19.41111720868989
88,63.0,102.0,95.0,85.0,64.0,65.89423076923077,9.000222126083893
73,88.0,63.0,102.0,95.0,85.0,66.00961538461539,37.02842960758045
107,73.0,88.0,63.0,102.0,95.0,65.77884615384616,7.841893499333433
93,107.0,73.0,88.0,63.0,102.0,65.19230769230771,21.398947134676146
73,93.0,107.0,73.0,88.0,63.0,65.00000000000001,15.206000770018857
72,73.0,93.0,107.0,73.0,88.0,65.09615384615385,21.038695431002594
66,72.0,73.0,93.0,107.0,73.0,65.25961538461539,4.502800348396595
57,66.0,72.0,73.0,93.0,107.0,65.39423076923077,10.15600782989316
71,57.0,66.0,72.0,73.0,93.0,65.80769230769229,-0.7324513552769455
77,71.0,57.0,66.0,72.0,73.0,66.31730769230771,7.645115100578597
56,77.0,71.0,57.0,66.0,72.0,66.38461538461539,11.484220017972598
60,56.0,77.0,71.0,57.0,66.0,66.29807692307692,-5.31449557745393
60,60.0,56.0,77.0,71.0,57.0,66.5,3.242558057888786
60,60.0,60.0,56.0,77.0,71.0,66.95192307692308,16.796406565026373
77,60.0,60.0,60.0,56.0,77.0,66.86538461538461,9.802178149087046
71,77.0,60.0,60.0,60.0,56.0,66.80769230769229,19.08359075878873
94,71.0,77.0,60.0,60.0,60.0,66.94230769230771,5.230387983875043
80,94.0,71.0,77.0,60.0,60.0,67.10576923076924,20.761800593576734
78,80.0,94.0,71.0,77.0,60.0,67.27884615384616,2.2130849981502174
56,78.0,80.0,94.0,71.0,77.0,67.34615384615385,-2.6849895716352754
55,56.0,78.0,80.0,94.0,71.0,67.40384615384616,-11.724089782446407
30,55.0,56.0,78.0,80.0,94.0,67.19230769230771,-8.9531651906604
38,30.0,55.0,56.0,78.0,80.0,66.96153846153847,-32.22793905577192
34,38.0,30.0,55.0,56.0,78.0,66.875,-24.884123177293702
44,34.0,38.0,30.0,55.0,56.0,66.6346153846154,-31.82235858086677
46,44.0,34.0,38.0,30.0,55.0,66.37500000000001,-20.72831010963056
65,46.0,44.0,34.0,38.0,30.0,66.77884615384616,-26.685137610084794
39,65.0,46.0,44.0,34.0,38.0,67.58653846153847,-11.273375366949296
46,39.0,65.0,46.0,44.0,34.0,68.18269230769232,-22.496228508429184
73,46.0,39.0,65.0,46.0,44.0,68.5,-14.203056008883415
