demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
75,2,186.43526517277485,97.0,82.0,105.0,51.0,32.0,71.98701721952594,22.846163389297924
111,3,181.55742689909763,75.0,97.0,82.0,105.0,51.0,72.9216994266725,-10.465397346417603
86,1,263.392347974706,111.0,75.0,97.0,82.0,105.0,73.85638163381907,-21.770547825722872
79,2,277.10359385370367,86.0,111.0,75.0,97.0,82.0,74.79106384096562,-13.646211125540946
84,3,248.01479352285432,79.0,86.0,111.0,75.0,97.0,75.72574604811219,10.096715318230704
82,2,157.92623268711583,84.0,79.0,86.0,111.0,75.0,76.66042825525875,-16.31099926363866
83,4,257.817279482238,82.0,84.0,79.0,86.0,111.0,77.59511046240532,0.44154256474838216
97,2,329.26301704747834,83.0,82.0,84.0,79.0,86.0,78.52979266955188,16.88318695723799
59,4,285.5165397063073,97.0,83.0,82.0,84.0,79.0,79.46447487669846,32.64534417024041
94,4,156.34774483563137,59.0,97.0,83.0,82.0,84.0,80.39915708384501,-2.919421693680227
92,2,211.09091637462063,94.0,59.0,97.0,83.0,82.0,81.33383929099156,8.983761160347846
74,3,144.512714366764,92.0,94.0,59.0,97.0,83.0,82.26852149813813,4.858097860529762
58,3,180.22726773569332,74.0,92.0,94.0,59.0,97.0,83.20320370528471,12.302947381224485
68,3,230.27464388098664,58.0,74.0,92.0,94.0,59.0,84.13788591243127,-19.992587713465397
100,3,169.8745938593517,68.0,58.0,74.0,92.0,94.0,85.07256811957781,-13.61504588507836
87,1,176.8631885734666,100.0,68.0,58.0,74.0,92.0,86.00725032672439,-7.878529697716953
104,2,232.11952042456716,87.0,100.0,68.0,58.0,74.0,86.94193253387094,-11.494577612919645
95,2,398.12420355153574,104.0,87.0,100.0,68.0,58.0,87.87661474101749,26.19386165136484
74,3,208.4436685556848,95.0,104.0,87.0,100.0,68.0,88.81129694816406,-4.848468315119918
101,1,151.89446655709568,74.0,95.0,104.0,87.0,100.0,89.74597915531065,-0.3907982816046615
112,2,162.8816983486657,101.0,74.0,95.0,104.0,87.0,90.6806613624572,-15.026076966038131
88,1,141.9443609098556,112.0,101.0,74.0,95.0,104.0,91.61534356960377,-6.6325094966254605
80,2,140.420895478268,88.0,112.0,101.0,74.0,95.0,92.55002577675032,-27.74197147947603
65,3,147.52670643127001,80.0,88.0,112.0,101.0,74.0,93.48470798389691,-58.66823355514478
53,2,294.0767818932507,65.0,80.0,88.0,112.0,101.0,94.41939019104343,-37.83167511799296
75,3,140.30938835006742,53.0,65.0,80.0,88.0,112.0,95.35407239819,7.729242293517808
91,1,147.72537301503448,75.0,53.0,65.0,80.0,88.0,94.11538461538464,26.655642009371533
92,4,164.92997875385663,91.0,75.0,53.0,65.0,80.0,95.55769230769234,-28.27316189468422
97,2,151.93731121128332,92.0,91.0,75.0,53.0,65.0,96.10576923076924,-16.94555554232972
97,1,149.16119185994813,97.0,92.0,91.0,75.0,53.0,96.73076923076924,10.869230297204261
107,2,216.67776898409556,97.0,97.0,92.0,91.0,75.0,98.42307692307692,4.414785367507466
84,2,135.32577063195959,107.0,97.0,97.0,92.0,91.0,100.11538461538464,-2.0428646903944347
73,1,169.62627738948876,84.0,107.0,97.0,97.0,92.0,101.86538461538464,-21.032566030347635
85,1,263.89250020465084,73.0,84.0,107.0,97.0,97.0,103.6538461538462,-30.342780190813674
37,3,128.52077614999587,85.0,73.0,84.0,107.0,97.0,105.20192307692308,-17.239532812818133
77,1,147.3543433336823,37.0,85.0,73.0,84.0,107.0,106.98076923076924,-16.78051620405338
100,2,244.44156065939887,77.0,37.0,85.0,73.0,84.0,108.34615384615385,-19.27662780041684
80,1,127.80122864757334,100.0,77.0,37.0,85.0,73.0,109.125,24.59585034680946
101,1,244.582438204952,80.0,100.0,77.0,37.0,85.0,110.22115384615385,27.340123365830607
122,2,247.29137080029238,101.0,80.0,100.0,77.0,37.0,111.3846153846154,-24.65598823053284
151,3,183.148415771314,122.0,101.0,80.0,100.0,77.0,112.29807692307692,12.453669403872945
124,1,269.54253763020483,151.0,122.0,101.0,80.0,100.0,112.81730769230771,-0.6129550130033453
104,3,137.09378685065437,124.0,151.0,122.0,101.0,80.0,113.26923076923076,18.46144621114604
101,1,172.36733261652537,104.0,124.0,151.0,122.0,101.0,113.78846153846152,6.599949999397963
141,2,274.01678826786844,101.0,104.0,124.0,151.0,122.0,114.26923076923076,-2.2679564687603664
114,2,495.8699226951202,141.0,101.0,104.0,124.0,151.0,115.09615384615385,27.941060140004385
