demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
9,2,218.85776293262637,13.0,10.0,13.0,12.0,4.0,-15.305319040645173,0.033249613622387215
9,3,204.7022408968745,9.0,13.0,10.0,13.0,12.0,-14.513977319743347,13.410494681014091
7,1,286.27106063670925,9.0,9.0,13.0,10.0,13.0,-13.722635598841526,-2.4686705080044726
6,2,294.488256667718,7.0,9.0,9.0,13.0,10.0,-12.931293877939696,0.5720360978487664
20,3,265.3044797036781,6.0,7.0,9.0,9.0,13.0,-12.139952157037873,1.6159478319071343
11,2,174.03377815168446,20.0,6.0,7.0,9.0,9.0,-11.348610436136047,3.695115976221913
10,4,272.1721601004583,11.0,20.0,6.0,7.0,9.0,-10.557268715234224,-0.12635690510433628
14,2,343.74132623942324,10.0,11.0,20.0,6.0,7.0,-9.765926994332396,-7.614496453097254
13,4,291.0480789590852,14.0,10.0,11.0,20.0,6.0,-8.974585273430574,-1.5834052318594016
15,4,159.08227711159182,13.0,14.0,10.0,11.0,20.0,-8.183243552528747,-2.222185805493344
17,2,216.76438695832738,15.0,13.0,14.0,10.0,11.0,-7.391901831626923,-3.8096843278452335
8,3,155.21691544524538,17.0,15.0,13.0,14.0,10.0,-6.600560110725097,-5.345900798915077
8,3,187.4942119712016,8.0,17.0,15.0,13.0,14.0,-5.809218389823274,-9.907758295625936
20,3,233.25704472194283,8.0,8.0,17.0,15.0,13.0,-5.017876668921449,-11.825385023106026
19,3,187.29112172943826,20.0,8.0,8.0,17.0,15.0,-4.226534948019623,-8.079550212124587
13,1,196.81623481867055,19.0,20.0,8.0,8.0,17.0,-3.4351932271177983,-4.0003820678098085
15,2,243.04062536849202,13.0,19.0,20.0,8.0,8.0,-2.6438515062159738,-6.2289062311873415
17,2,404.91886144196786,15.0,13.0,19.0,20.0,8.0,-1.8525097853141488,-4.072815009949495
17,3,209.32060217530037,17.0,15.0,13.0,19.0,20.0,-1.0611680644123247,-10.916723788711636
9,1,147.42485303268788,17.0,17.0,15.0,13.0,19.0,-0.2698263435104984,18.909239227398007
6,2,166.79307191144673,9.0,17.0,17.0,15.0,13.0,0.5215153773913261,10.401868910174326
8,1,137.37682519833885,6.0,9.0,17.0,17.0,15.0,1.3128570982931491,-5.974091150639106
7,2,140.48754077511217,8.0,6.0,9.0,17.0,17.0,2.104198819194975,5.253190146495123
15,3,155.94506986717172,7.0,8.0,6.0,9.0,17.0,2.895540540096801,-4.509949428861646
10,2,298.2069429921869,15.0,7.0,8.0,6.0,9.0,3.686882260998624,1.3358853547559408
1,3,139.67325438478147,10.0,15.0,7.0,8.0,6.0,4.4782239819004515,11.050309881963274
13,1,160.70036123242247,1.0,10.0,15.0,7.0,8.0,13.480769230769232,7.758435797284182
13,4,179.3079987275705,13.0,1.0,10.0,15.0,7.0,13.576923076923077,0.9353588468434084
7,2,163.36695528913728,13.0,13.0,1.0,10.0,15.0,13.605769230769232,0.7308716399923785
12,1,159.43086895464594,7.0,13.0,13.0,1.0,10.0,13.53846153846154,2.9206152023721126
4,2,226.75540812776185,12.0,7.0,13.0,13.0,1.0,13.644230769230774,-3.5787437993507165
22,2,146.1602631492514,4.0,12.0,7.0,13.0,13.0,13.653846153846152,-4.026820749791494
6,1,180.41576560827042,22.0,4.0,12.0,7.0,13.0,13.586538461538463,-13.112718213052785
21,1,276.47272386661024,6.0,22.0,4.0,12.0,7.0,13.528846153846152,0.14112791342951847
13,3,139.1459922251779,21.0,6.0,22.0,4.0,12.0,13.490384615384615,-10.23323108829331
6,1,152.04505023034338,13.0,21.0,6.0,22.0,4.0,13.548076923076923,7.0558714484454
28,2,246.6772056028548,6.0,13.0,21.0,6.0,22.0,13.567307692307697,-4.6486157584056365
28,1,136.31682277886873,28.0,6.0,13.0,21.0,6.0,13.55769230769231,8.361640624486919
22,1,253.44086610736613,28.0,28.0,6.0,13.0,21.0,13.557692307692307,16.022538033020506
11,2,257.6468447681421,22.0,28.0,28.0,6.0,13.0,13.567307692307693,5.651384159502803
29,3,186.87088419911237,11.0,22.0,28.0,28.0,6.0,13.509615384615385,-10.98900048324567
24,1,274.94788852869914,29.0,11.0,22.0,28.0,28.0,13.423076923076925,13.04689692528792
27,3,137.09312145742055,24.0,29.0,11.0,22.0,28.0,13.346153846153845,-2.3434877174605533
10,1,172.3259357748943,27.0,24.0,29.0,11.0,22.0,13.230769230769232,0.5385635372268769
30,2,285.6871746826183,10.0,27.0,24.0,29.0,11.0,13.230769230769232,-3.8005390542395463
14,2,495.2882125540938,30.0,10.0,27.0,24.0,29.0,14.048076923076925,8.254589123524806
12,4,332.09030297819413,14.0,30.0,10.0,27.0,24.0,15.403846153846155,-2.1357955192236595
6,2,248.35054791827682,12.0,14.0,30.0,10.0,27.0,16.39423076923077,47.47061470982275
0,1,561.4532172606861,6.0,12.0,14.0,30.0,10.0,17.51923076923077,-15.106984938387544
7,1,420.0155329557245,0.0,6.0,12.0,14.0,30.0,18.826923076923077,-3.953138784541384
20,1,373.68156357895623,7.0,0.0,6.0,12.0,14.0,19.52884615384616,-5.967561861464463
11,2,257.8005248936521,20.0,7.0,0.0,6.0,12.0,20.432692307692317,-16.582946476849074
21,3,326.56035948676515,11.0,20.0,7.0,0.0,6.0,22.12500000000001,0.033249613622387215
0,1,149.5321143636963,21.0,11.0,20.0,7.0,0.0,23.615384615384613,13.410494681014091
9,2,440.2742787602143,0.0,21.0,11.0,20.0,7.0,24.81730769230769,-2.4686705080044726
15,2,554.3660717559613,9.0,0.0,21.0,11.0,20.0,26.038461538461537,0.5720360978487664
12,1,682.1520523495877,15.0,9.0,0.0,21.0,11.0,27.20192307692308,1.6159478319071343
12,1,303.8131549129461,12.0,15.0,9.0,0.0,21.0,28.384615384615394,3.695115976221913
3,3,298.17619981454703,12.0,12.0,15.0,9.0,0.0,29.32692307692308,-0.12635690510433628
17,2,423.2912271239933,3.0,12.0,12.0,15.0,9.0,30.355769230769234,-7.614496453097254
16,1,246.4975965335192,17.0,3.0,12.0,12.0,15.0,31.07692307692308,-1.5834052318594016
14,1,342.4292332945135,16.0,17.0,3.0,12.0,12.0,31.80769230769231,-2.222185805493344
17,2,234.14962279554803,14.0,16.0,17.0,3.0,12.0,33.30769230769232,-3.8096843278452335
8,3,332.71173667702703,17.0,14.0,16.0,17.0,3.0,34.58653846153847,-5.345900798915077
9,3,149.19325503302005,8.0,17.0,14.0,16.0,17.0,35.769230769230774,-9.907758295625936
13,3,265.90064407708246,9.0,8.0,17.0,14.0,16.0,36.99999999999999,-11.825385023106026
17,1,166.10572139187138,13.0,9.0,8.0,17.0,14.0,37.95192307692306,-8.079550212124587
7,3,424.21587223399627,17.0,13.0,9.0,8.0,17.0,38.9326923076923,-4.0003820678098085
9,1,521.205637585472,7.0,17.0,13.0,9.0,8.0,39.88461538461538,-6.2289062311873415
23,2,153.58090466533105,9.0,7.0,17.0,13.0,9.0,40.711538461538474,-4.072815009949495
96,3,255.08887156713573,23.0,9.0,7.0,17.0,13.0,41.92307692307693,-10.916723788711636
71,1,289.82086896348864,96.0,23.0,9.0,7.0,17.0,43.29807692307693,18.909239227398007
47,4,366.22390840471627,71.0,96.0,23.0,9.0,7.0,44.62500000000001,10.401868910174326
84,1,395.0797204133365,47.0,71.0,96.0,23.0,9.0,46.019230769230774,-5.974091150639106
67,1,256.33725884144656,84.0,47.0,71.0,96.0,23.0,47.134615384615394,5.253190146495123
28,1,170.05455882654155,67.0,84.0,47.0,71.0,96.0,48.355769230769226,-4.509949428861646
91,2,167.40125553286424,28.0,67.0,84.0,47.0,71.0,49.75000000000001,1.3358853547559408
96,3,235.92941842583141,91.0,28.0,67.0,84.0,47.0,50.53846153846154,11.050309881963274
73,2,346.22682005880586,96.0,91.0,28.0,67.0,84.0,51.134615384615394,7.758435797284182
78,3,250.10940562030984,73.0,96.0,91.0,28.0,67.0,52.230769230769226,0.9353588468434084
69,2,184.16361515872,78.0,73.0,96.0,91.0,28.0,53.53846153846154,0.7308716399923785
71,1,158.09857216652804,69.0,78.0,73.0,96.0,91.0,54.759615384615394,2.9206152023721126
68,1,159.48634255670626,71.0,69.0,78.0,73.0,96.0,55.875,-3.5787437993507165
56,1,109.51373860244844,68.0,71.0,69.0,78.0,73.0,56.93269230769231,-4.026820749791494
79,2,113.74050490935385,56.0,68.0,71.0,69.0,78.0,57.980769230769226,-13.112718213052785
23,1,111.98832726397829,79.0,56.0,68.0,71.0,69.0,59.0,0.14112791342951847
87,2,179.33014961084587,23.0,79.0,56.0,68.0,71.0,59.88461538461538,-10.23323108829331
88,2,160.8471932462714,87.0,23.0,79.0,56.0,68.0,60.68269230769232,7.0558714484454
79,3,163.4515018239031,88.0,87.0,23.0,79.0,56.0,61.50000000000001,-4.6486157584056365
100,2,168.615227660215,79.0,88.0,87.0,23.0,79.0,62.20192307692307,8.361640624486919
78,3,291.1016957598875,100.0,79.0,88.0,87.0,23.0,62.94230769230769,16.022538033020506
54,4,285.3556267215885,78.0,100.0,79.0,88.0,87.0,63.769230769230774,5.651384159502803
88,3,326.24725053629464,54.0,78.0,100.0,79.0,88.0,64.47115384615385,-10.98900048324567
64,3,240.7493585719894,88.0,54.0,78.0,100.0,79.0,65.17307692307692,13.04689692528792
73,3,192.87500703128867,64.0,88.0,54.0,78.0,100.0,66.14423076923077,-2.3434877174605533
90,2,279.0021568963129,73.0,64.0,88.0,54.0,78.0,67.33653846153845,0.5385635372268769
93,4,252.95216505675717,90.0,73.0,64.0,88.0,54.0,68.07692307692308,-3.8005390542395463
89,3,312.95432888928326,93.0,90.0,73.0,64.0,88.0,67.81730769230771,8.254589123524806
82,2,260.96747248340944,89.0,93.0,90.0,73.0,64.0,67.35576923076923,-2.1357955192236595
52,1,224.60387261386262,82.0,89.0,93.0,90.0,73.0,67.26923076923077,47.47061470982275
81,3,272.53554929695355,52.0,82.0,89.0,93.0,90.0,66.90384615384616,-15.106984938387544
