date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2016-03-08,96,78.0,64.0,94.0,85.0,57.0
2016-03-15,64,96.0,78.0,64.0,94.0,85.0
2016-03-22,59,64.0,96.0,78.0,64.0,94.0
2016-03-29,57,59.0,64.0,96.0,78.0,64.0
2016-04-05,61,57.0,59.0,64.0,96.0,78.0
2016-04-12,72,61.0,57.0,59.0,64.0,96.0
2016-04-19,65,72.0,61.0,57.0,59.0,64.0
2016-04-26,64,65.0,72.0,61.0,57.0,59.0
2016-05-03,74,64.0,65.0,72.0,61.0,57.0
2016-05-10,70,74.0,64.0,65.0,72.0,61.0
2016-05-17,83,70.0,74.0,64.0,65.0,72.0
2016-05-24,78,83.0,70.0,74.0,64.0,65.0
2016-05-31,70,78.0,83.0,70.0,74.0,64.0
2016-06-07,93,70.0,78.0,83.0,70.0,74.0
2016-06-14,86,93.0,70.0,78.0,83.0,70.0
2016-06-21,76,86.0,93.0,70.0,78.0,83.0
2016-06-28,90,76.0,86.0,93.0,70.0,78.0
2016-07-05,64,90.0,76.0,86.0,93.0,70.0
2016-07-12,41,64.0,90.0,76.0,86.0,93.0
2016-07-19,110,41.0,64.0,90.0,76.0,86.0
2016-07-26,97,110.0,41.0,64.0,90.0,76.0
2016-08-02,78,97.0,110.0,41.0,64.0,90.0
2016-08-09,55,78.0,97.0,110.0,41.0,64.0
2016-08-16,86,55.0,78.0,97.0,110.0,41.0
2016-08-23,83,86.0,55.0,78.0,97.0,110.0
2016-08-30,98,83.0,86.0,55.0,78.0,97.0
2016-09-06,89,98.0,83.0,86.0,55.0,78.0
2016-09-13,62,89.0,98.0,83.0,86.0,55.0
2016-09-20,99,62.0,89.0,98.0,83.0,86.0
2016-09-27,97,99.0,62.0,89.0,98.0,83.0
2016-10-04,121,97.0,99.0,62.0,89.0,98.0
2016-10-11,127,121.0,97.0,99.0,62.0,89.0
2016-10-18,144,127.0,121.0,97.0,99.0,62.0
2016-10-25,130,144.0,127.0,121.0,97.0,99.0
2016-11-01,144,130.0,144.0,127.0,121.0,97.0
2016-11-08,143,144.0,130.0,144.0,127.0,121.0
2016-11-15,160,143.0,144.0,130.0,144.0,127.0
2016-11-22,167,160.0,143.0,144.0,130.0,144.0
2016-11-29,125,167.0,160.0,143.0,144.0,130.0
2016-12-06,107,125.0,167.0,160.0,143.0,144.0
2016-12-13,164,107.0,125.0,167.0,160.0,143.0
2016-12-20,160,164.0,107.0,125.0,167.0,160.0
2016-12-27,354,160.0,164.0,107.0,125.0,167.0
2017-01-03,170,354.0,160.0,164.0,107.0,125.0
