date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2016-03-08,67,70.0,70.0,66.0,91.0,55.0
2016-03-15,66,67.0,70.0,70.0,66.0,91.0
2016-03-22,55,66.0,67.0,70.0,70.0,66.0
2016-03-29,57,55.0,66.0,67.0,70.0,70.0
2016-04-05,59,57.0,55.0,66.0,67.0,70.0
2016-04-12,56,59.0,57.0,55.0,66.0,67.0
2016-04-19,48,56.0,59.0,57.0,55.0,66.0
2016-04-26,54,48.0,56.0,59.0,57.0,55.0
2016-05-03,49,54.0,48.0,56.0,59.0,57.0
2016-05-10,46,49.0,54.0,48.0,56.0,59.0
2016-05-17,57,46.0,49.0,54.0,48.0,56.0
2016-05-24,68,57.0,46.0,49.0,54.0,48.0
2016-05-31,72,68.0,57.0,46.0,49.0,54.0
2016-06-07,37,72.0,68.0,57.0,46.0,49.0
2016-06-14,55,37.0,72.0,68.0,57.0,46.0
2016-06-21,64,55.0,37.0,72.0,68.0,57.0
2016-06-28,45,64.0,55.0,37.0,72.0,68.0
2016-07-05,48,45.0,64.0,55.0,37.0,72.0
2016-07-12,39,48.0,45.0,64.0,55.0,37.0
2016-07-19,90,39.0,48.0,45.0,64.0,55.0
2016-07-26,63,90.0,39.0,48.0,45.0,64.0
2016-08-02,67,63.0,90.0,39.0,48.0,45.0
2016-08-09,59,67.0,63.0,90.0,39.0,48.0
2016-08-16,55,59.0,67.0,63.0,90.0,39.0
2016-08-23,78,55.0,59.0,67.0,63.0,90.0
2016-08-30,53,78.0,55.0,59.0,67.0,63.0
2016-09-06,64,53.0,78.0,55.0,59.0,67.0
2016-09-13,32,64.0,53.0,78.0,55.0,59.0
2016-09-20,66,32.0,64.0,53.0,78.0,55.0
2016-09-27,77,66.0,32.0,64.0,53.0,78.0
2016-10-04,74,77.0,66.0,32.0,64.0,53.0
2016-10-11,46,74.0,77.0,66.0,32.0,64.0
2016-10-18,73,46.0,74.0,77.0,66.0,32.0
2016-10-25,76,73.0,46.0,74.0,77.0,66.0
2016-11-01,74,76.0,73.0,46.0,74.0,77.0
2016-11-08,60,74.0,76.0,73.0,46.0,74.0
2016-11-15,81,60.0,74.0,76.0,73.0,46.0
2016-11-22,65,81.0,60.0,74.0,76.0,73.0
2016-11-29,63,65.0,81.0,60.0,74.0,76.0
2016-12-06,51,63.0,65.0,81.0,60.0,74.0
2016-12-13,65,51.0,63.0,65.0,81.0,60.0
2016-12-20,55,65.0,51.0,63.0,65.0,81.0
2016-12-27,214,55.0,65.0,51.0,63.0,65.0
2017-01-03,127,214.0,55.0,65.0,51.0,63.0
