date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4}
2016-07-05,35,59.0,57.0,24.0,78.0
2016-07-12,31,35.0,59.0,57.0,24.0
2016-07-19,112,31.0,35.0,59.0,57.0
2016-07-26,107,112.0,31.0,35.0,59.0
2016-08-02,81,107.0,112.0,31.0,35.0
2016-08-09,83,81.0,107.0,112.0,31.0
2016-08-16,67,83.0,81.0,107.0,112.0
2016-08-23,92,67.0,83.0,81.0,107.0
2016-08-30,72,92.0,67.0,83.0,81.0
2016-09-06,53,72.0,92.0,67.0,83.0
2016-09-13,26,53.0,72.0,92.0,67.0
2016-09-20,37,26.0,53.0,72.0,92.0
2016-09-27,61,37.0,26.0,53.0,72.0
2016-10-04,77,61.0,37.0,26.0,53.0
2016-10-11,83,77.0,61.0,37.0,26.0
2016-10-18,69,83.0,77.0,61.0,37.0
2016-10-25,70,69.0,83.0,77.0,61.0
2016-11-01,44,70.0,69.0,83.0,77.0
2016-11-08,59,44.0,70.0,69.0,83.0
2016-11-15,62,59.0,44.0,70.0,69.0
2016-11-22,41,62.0,59.0,44.0,70.0
2016-11-29,60,41.0,62.0,59.0,44.0
2016-12-06,41,60.0,41.0,62.0,59.0
2016-12-13,37,41.0,60.0,41.0,62.0
2016-12-20,52,37.0,41.0,60.0,41.0
2016-12-27,48,52.0,37.0,41.0,60.0
2017-01-03,27,48.0,52.0,37.0,41.0
