date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2016-03-08,12,16.0,27.0,21.0,31.0,53.0
2016-03-15,18,12.0,16.0,27.0,21.0,31.0
2016-03-22,29,18.0,12.0,16.0,27.0,21.0
2016-03-29,35,29.0,18.0,12.0,16.0,27.0
2016-04-05,32,35.0,29.0,18.0,12.0,16.0
2016-04-12,49,32.0,35.0,29.0,18.0,12.0
2016-04-19,25,49.0,32.0,35.0,29.0,18.0
2016-04-26,35,25.0,49.0,32.0,35.0,29.0
2016-05-03,53,35.0,25.0,49.0,32.0,35.0
2016-05-10,24,53.0,35.0,25.0,49.0,32.0
2016-05-17,40,24.0,53.0,35.0,25.0,49.0
2016-05-24,31,40.0,24.0,53.0,35.0,25.0
2016-05-31,39,31.0,40.0,24.0,53.0,35.0
2016-06-07,41,39.0,31.0,40.0,24.0,53.0
2016-06-14,21,41.0,39.0,31.0,40.0,24.0
2016-06-21,22,21.0,41.0,39.0,31.0,40.0
2016-06-28,35,22.0,21.0,41.0,39.0,31.0
2016-07-05,23,35.0,22.0,21.0,41.0,39.0
2016-07-12,14,23.0,35.0,22.0,21.0,41.0
2016-07-19,42,14.0,23.0,35.0,22.0,21.0
2016-07-26,52,42.0,14.0,23.0,35.0,22.0
2016-08-02,29,52.0,42.0,14.0,23.0,35.0
2016-08-09,29,29.0,52.0,42.0,14.0,23.0
2016-08-16,55,29.0,29.0,52.0,42.0,14.0
2016-08-23,44,55.0,29.0,29.0,52.0,42.0
2016-08-30,33,44.0,55.0,29.0,29.0,52.0
2016-09-06,28,33.0,44.0,55.0,29.0,29.0
2016-09-13,33,28.0,33.0,44.0,55.0,29.0
2016-09-20,34,33.0,28.0,33.0,44.0,55.0
2016-09-27,66,34.0,33.0,28.0,33.0,44.0
2016-10-04,50,66.0,34.0,33.0,28.0,33.0
2016-10-11,60,50.0,66.0,34.0,33.0,28.0
2016-10-18,52,60.0,50.0,66.0,34.0,33.0
2016-10-25,50,52.0,60.0,50.0,66.0,34.0
2016-11-01,33,50.0,52.0,60.0,50.0,66.0
2016-11-08,35,33.0,50.0,52.0,60.0,50.0
2016-11-15,26,35.0,33.0,50.0,52.0,60.0
2016-11-22,40,26.0,35.0,33.0,50.0,52.0
2016-11-29,53,40.0,26.0,35.0,33.0,50.0
2016-12-06,40,53.0,40.0,26.0,35.0,33.0
2016-12-13,36,40.0,53.0,40.0,26.0,35.0
2016-12-20,44,36.0,40.0,53.0,40.0,26.0
2016-12-27,45,44.0,36.0,40.0,53.0,40.0
2017-01-03,33,45.0,44.0,36.0,40.0,53.0
