date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2016-03-08,18,21.0,26.0,28.0,38.0,66.0
2016-03-15,33,18.0,21.0,26.0,28.0,38.0
2016-03-22,46,33.0,18.0,21.0,26.0,28.0
2016-03-29,51,46.0,33.0,18.0,21.0,26.0
2016-04-05,45,51.0,46.0,33.0,18.0,21.0
2016-04-12,32,45.0,51.0,46.0,33.0,18.0
2016-04-19,46,32.0,45.0,51.0,46.0,33.0
2016-04-26,65,46.0,32.0,45.0,51.0,46.0
2016-05-03,65,65.0,46.0,32.0,45.0,51.0
2016-05-10,69,65.0,65.0,46.0,32.0,45.0
2016-05-17,48,69.0,65.0,65.0,46.0,32.0
2016-05-24,31,48.0,69.0,65.0,65.0,46.0
2016-05-31,26,31.0,48.0,69.0,65.0,65.0
2016-06-07,24,26.0,31.0,48.0,69.0,65.0
2016-06-14,18,24.0,26.0,31.0,48.0,69.0
2016-06-21,22,18.0,24.0,26.0,31.0,48.0
2016-06-28,19,22.0,18.0,24.0,26.0,31.0
2016-07-05,16,19.0,22.0,18.0,24.0,26.0
2016-07-12,10,16.0,19.0,22.0,18.0,24.0
2016-07-19,24,10.0,16.0,19.0,22.0,18.0
2016-07-26,38,24.0,10.0,16.0,19.0,22.0
2016-08-02,22,38.0,24.0,10.0,16.0,19.0
2016-08-09,17,22.0,38.0,24.0,10.0,16.0
2016-08-16,23,17.0,22.0,38.0,24.0,10.0
2016-08-23,46,23.0,17.0,22.0,38.0,24.0
2016-08-30,37,46.0,23.0,17.0,22.0,38.0
2016-09-06,36,37.0,46.0,23.0,17.0,22.0
2016-09-13,34,36.0,37.0,46.0,23.0,17.0
2016-09-20,68,34.0,36.0,37.0,46.0,23.0
2016-09-27,52,68.0,34.0,36.0,37.0,46.0
2016-10-04,57,52.0,68.0,34.0,36.0,37.0
2016-10-11,71,57.0,52.0,68.0,34.0,36.0
2016-10-18,67,71.0,57.0,52.0,68.0,34.0
2016-10-25,70,67.0,71.0,57.0,52.0,68.0
2016-11-01,43,70.0,67.0,71.0,57.0,52.0
2016-11-08,71,43.0,70.0,67.0,71.0,57.0
2016-11-15,58,71.0,43.0,70.0,67.0,71.0
2016-11-22,69,58.0,71.0,43.0,70.0,67.0
2016-11-29,73,69.0,58.0,71.0,43.0,70.0
2016-12-06,62,73.0,69.0,58.0,71.0,43.0
2016-12-13,81,62.0,73.0,69.0,58.0,71.0
2016-12-20,114,81.0,62.0,73.0,69.0,58.0
2016-12-27,74,114.0,81.0,62.0,73.0,69.0
2017-01-03,54,74.0,114.0,81.0,62.0,73.0
