demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
46,273,1,0,0,0,1,0,0
74,315,1,0,0,0,1,0,0
50,262,1,0,0,0,1,0,0
49,574,1,0,0,0,1,0,0
56,341,1,0,0,0,1,0,0
53,267,1,0,0,0,1,0,0
58,361,1,0,0,0,1,0,0
58,338,1,0,0,0,1,0,0
39,330,1,0,0,0,1,0,0
36,196,1,0,0,0,1,0,0
39,384,1,0,0,0,1,0,0
42,345,1,0,0,0,1,0,0
66,449,1,0,0,0,1,0,0
54,218,1,0,0,0,1,0,0
60,315,1,0,0,0,1,0,0
64,309,1,0,0,0,1,0,0
53,289,1,0,0,0,1,0,0
52,348,1,0,0,0,1,0,0
61,265,1,0,0,0,1,0,0
70,321,1,0,0,0,1,0,0
77,195,1,0,0,0,1,0,0
75,328,1,0,0,0,1,0,0
22,186,1,0,0,0,0,1,0
15,182,1,0,0,0,0,1,0
27,263,1,0,0,0,0,1,0
30,277,1,0,0,0,0,1,0
83,248,1,0,0,0,0,1,0
44,158,1,0,0,0,0,1,0
29,258,1,0,0,0,0,1,0
56,329,1,0,0,0,0,1,0
14,286,1,0,0,0,0,1,0
29,156,1,0,0,0,0,1,0
46,211,1,0,0,0,0,1,0
18,145,1,0,0,0,0,1,0
20,180,1,0,0,0,0,1,0
24,230,1,0,0,0,0,1,0
48,170,1,0,0,0,0,1,0
33,177,1,0,0,0,0,1,0
41,232,1,0,0,0,0,1,0
34,398,1,0,0,0,0,1,0
16,208,1,0,0,0,0,1,0
22,152,1,0,0,0,0,1,0
34,163,1,0,0,0,0,1,0
29,142,1,0,0,0,0,1,0
20,140,1,0,0,0,0,1,0
25,148,1,0,0,0,0,1,0
6,294,1,0,0,0,0,1,0
17,140,1,0,0,0,0,1,0
31,148,1,0,0,0,0,1,0
20,165,1,0,0,0,0,1,0
25,152,1,0,0,0,0,1,0
31,149,1,0,0,0,0,1,0
57,217,1,0,0,0,0,1,0
32,135,1,0,0,0,0,1,0
44,170,1,0,0,0,0,1,0
45,264,1,0,0,0,0,1,0
6,129,1,0,0,0,0,1,0
45,147,1,0,0,0,0,1,0
52,244,1,0,0,0,0,1,0
34,128,1,0,0,0,0,1,0
59,245,1,0,0,0,0,1,0
59,247,1,0,0,0,0,1,0
49,183,1,0,0,0,0,1,0
44,270,1,0,0,0,0,1,0
42,137,1,0,0,0,0,1,0
58,172,1,0,0,0,0,1,0
56,274,1,0,0,0,0,1,0
61,496,1,0,0,0,0,1,0
59,327,1,0,0,0,0,1,0
32,243,1,0,0,0,0,1,0
44,533,1,0,0,0,0,1,0
51,398,1,0,0,0,0,1,0
66,357,1,0,0,0,0,1,0
66,248,1,0,0,0,0,1,0
49,330,1,0,0,0,0,1,0
48,143,1,0,0,0,0,1,0
58,438,1,0,0,0,0,1,0
54,544,1,0,0,0,0,1,0
76,676,1,0,0,0,0,1,0
82,289,1,0,0,0,0,1,0
64,294,1,0,0,0,0,1,0
72,406,1,0,0,0,0,1,0
85,250,1,0,0,0,0,1,0
63,339,1,0,0,0,0,1,0
60,236,1,0,0,0,0,1,0
66,335,1,0,0,0,0,1,0
61,148,1,0,0,0,0,1,0
54,261,1,0,0,0,0,1,0
41,161,1,0,0,0,0,1,0
46,416,1,0,0,0,0,1,0
40,505,1,0,0,0,0,1,0
48,148,1,0,0,0,0,1,0
45,248,1,0,0,0,0,1,0
45,285,1,0,0,0,0,1,0
53,366,1,0,0,0,0,1,0
54,399,1,0,0,0,0,1,0
44,255,1,0,0,0,0,1,0
35,164,1,0,0,0,0,1,0
68,165,1,0,0,0,0,1,0
69,226,1,0,0,0,0,1,0
39,338,1,0,0,0,0,1,0
53,242,1,0,0,0,0,1,0
59,167,1,0,0,0,0,1,0
57,156,1,0,0,0,0,1,0
60,150,1,0,0,0,0,1,0
73,120,1,0,0,0,0,1,0
64,118,1,0,0,0,0,1,0
31,120,1,0,0,0,0,1,0
85,167,1,0,0,0,0,1,0
60,154,1,0,0,0,0,1,0
73,149,1,0,0,0,0,1,0
62,157,1,0,0,0,0,1,0
78,283,1,0,0,0,0,1,0
78,275,1,0,0,0,0,1,0
76,319,1,0,0,0,0,1,0
69,234,1,0,0,0,0,1,0
87,178,1,0,0,0,0,1,0
91,264,1,0,0,0,0,1,0
79,236,1,0,0,0,0,1,0
107,288,1,0,0,0,0,1,0
91,245,1,0,0,0,0,1,0
82,207,1,0,0,0,0,1,0
76,261,1,0,0,0,0,1,0
72,287,1,0,0,0,0,1,0
57,235,1,0,0,0,0,1,0
66,552,1,0,0,0,0,1,0
38,329,1,0,0,0,0,1,0
28,250,1,0,0,0,0,1,0
26,345,1,0,0,0,0,1,0
21,329,1,0,0,0,0,1,0
18,315,1,0,0,0,0,1,0
33,188,1,0,0,0,0,1,0
46,392,1,0,0,0,0,1,0
51,350,1,0,0,0,0,1,0
45,441,1,0,0,0,0,1,0
32,204,1,0,0,0,0,1,0
46,298,1,0,0,0,0,1,0
65,287,1,0,0,0,0,1,0
65,269,1,0,0,0,0,1,0
69,337,1,0,0,0,0,1,0
48,246,1,0,0,0,0,1,0
31,304,1,0,0,0,0,1,0
26,186,1,0,0,0,0,1,0
24,299,1,0,0,0,0,1,0
16,160,0,1,0,0,0,0,1
46,163,0,1,0,0,0,0,1
37,246,0,1,0,0,0,0,1
31,264,0,1,0,0,0,0,1
50,231,0,1,0,0,0,0,1
43,144,0,1,0,0,0,0,1
16,245,0,1,0,0,0,0,1
55,317,0,1,0,0,0,0,1
59,278,0,1,0,0,0,0,1
52,151,0,1,0,0,0,0,1
65,204,0,1,0,0,0,0,1
26,135,0,1,0,0,0,0,1
53,171,0,1,0,0,0,0,1
44,225,0,1,0,0,0,0,1
52,155,0,1,0,0,0,0,1
36,158,0,1,0,0,0,0,1
58,222,0,1,0,0,0,0,1
58,389,0,1,0,0,0,0,1
32,204,0,1,0,0,0,0,1
37,151,0,1,0,0,0,0,1
50,157,0,1,0,0,0,0,1
55,142,0,1,0,0,0,0,1
22,139,0,1,0,0,0,0,1
47,140,0,1,0,0,0,0,1
15,288,0,1,0,0,0,0,1
49,139,0,1,0,0,0,0,1
32,139,0,1,0,0,0,0,1
26,152,0,1,0,0,0,0,1
63,140,0,1,0,0,0,0,1
59,141,0,1,0,0,0,0,1
41,210,0,1,0,0,0,0,1
51,128,0,1,0,0,0,0,1
48,159,0,1,0,0,0,0,1
34,252,0,1,0,0,0,0,1
18,120,0,1,0,0,0,0,1
59,142,0,1,0,0,0,0,1
37,241,0,1,0,0,0,0,1
51,121,0,1,0,0,0,0,1
53,234,0,1,0,0,0,0,1
50,237,0,1,0,0,0,0,1
34,176,0,1,0,0,0,0,1
55,262,0,1,0,0,0,0,1
50,134,0,1,0,0,0,0,1
71,168,0,1,0,0,0,0,1
54,261,0,1,0,0,0,0,1
63,491,0,1,0,0,0,0,1
25,319,0,1,0,0,0,0,1
60,237,0,1,0,0,0,0,1
55,512,0,1,0,0,0,0,1
47,378,0,1,0,0,0,0,1
42,342,0,1,0,0,0,0,1
81,238,0,1,0,0,0,0,1
55,328,0,1,0,0,0,0,1
69,138,0,1,0,0,0,0,1
53,435,0,1,0,0,0,0,1
32,529,0,1,0,0,0,0,1
89,669,0,1,0,0,0,0,1
49,278,0,1,0,0,0,0,1
72,287,0,1,0,0,0,0,1
44,393,0,1,0,0,0,0,1
81,250,0,1,0,0,0,0,1
35,333,0,1,0,0,0,0,1
73,235,0,1,0,0,0,0,1
49,333,0,1,0,0,0,0,1
55,145,0,1,0,0,0,0,1
54,252,0,1,0,0,0,0,1
49,155,0,1,0,0,0,0,1
42,406,0,1,0,0,0,0,1
61,488,0,1,0,0,0,0,1
70,141,0,1,0,0,0,0,1
68,239,0,1,0,0,0,0,1
61,274,0,1,0,0,0,0,1
58,360,0,1,0,0,0,0,1
77,396,0,1,0,0,0,0,1
59,252,0,1,0,0,0,0,1
23,159,0,1,0,0,0,0,1
68,160,0,1,0,0,0,0,1
79,215,0,1,0,0,0,0,1
60,328,0,1,0,0,0,0,1
66,234,0,1,0,0,0,0,1
50,152,0,1,0,0,0,0,1
49,153,0,1,0,0,0,0,1
49,143,0,1,0,0,0,0,1
45,125,0,1,0,0,0,0,1
72,120,0,1,0,0,0,0,1
8,124,0,1,0,0,0,0,1
92,154,0,1,0,0,0,0,1
68,145,0,1,0,0,0,0,1
52,136,0,1,0,0,0,0,1
59,145,0,1,0,0,0,0,1
60,271,0,1,0,0,0,0,1
72,263,0,1,0,0,0,0,1
52,310,0,1,0,0,0,0,1
74,224,0,1,0,0,0,0,1
73,162,0,1,0,0,0,0,1
63,246,0,1,0,0,0,0,1
51,217,0,1,0,0,0,0,1
90,265,0,1,0,0,0,0,1
42,228,0,1,0,0,0,0,1
61,188,0,1,0,0,0,0,1
79,248,0,1,0,0,0,0,1
58,261,0,1,0,0,0,0,1
59,208,0,1,0,0,0,0,1
72,529,0,1,0,0,0,0,1
113,317,0,1,0,0,0,0,1
65,233,0,1,0,0,0,0,1
90,326,0,1,0,0,0,0,1
82,316,0,1,0,0,0,0,1
70,298,0,1,0,0,0,0,1
94,177,0,1,0,0,0,0,1
69,389,0,1,0,0,0,0,1
73,346,0,1,0,0,0,0,1
103,427,0,1,0,0,0,0,1
76,186,0,1,0,0,0,0,1
69,279,0,1,0,0,0,0,1
79,265,0,1,0,0,0,0,1
65,248,0,1,0,0,0,0,1
89,322,0,1,0,0,0,0,1
150,225,0,1,0,0,0,0,1
73,284,0,1,0,0,0,0,1
102,173,0,1,0,0,0,0,1
105,271,0,1,0,0,0,0,1
9,219,0,1,0,0,1,0,0
9,205,0,1,0,0,1,0,0
7,286,0,1,0,0,1,0,0
6,294,0,1,0,0,1,0,0
20,265,0,1,0,0,1,0,0
11,174,0,1,0,0,1,0,0
10,272,0,1,0,0,1,0,0
14,344,0,1,0,0,1,0,0
13,291,0,1,0,0,1,0,0
15,159,0,1,0,0,1,0,0
17,217,0,1,0,0,1,0,0
8,155,0,1,0,0,1,0,0
8,187,0,1,0,0,1,0,0
20,233,0,1,0,0,1,0,0
19,187,0,1,0,0,1,0,0
13,197,0,1,0,0,1,0,0
15,243,0,1,0,0,1,0,0
17,405,0,1,0,0,1,0,0
17,209,0,1,0,0,1,0,0
9,147,0,1,0,0,1,0,0
6,167,0,1,0,0,1,0,0
8,137,0,1,0,0,1,0,0
7,140,0,1,0,0,1,0,0
15,156,0,1,0,0,1,0,0
10,298,0,1,0,0,1,0,0
1,140,0,1,0,0,1,0,0
13,161,0,1,0,0,1,0,0
13,179,0,1,0,0,1,0,0
7,163,0,1,0,0,1,0,0
12,159,0,1,0,0,1,0,0
4,227,0,1,0,0,1,0,0
22,146,0,1,0,0,1,0,0
6,180,0,1,0,0,1,0,0
21,276,0,1,0,0,1,0,0
13,139,0,1,0,0,1,0,0
6,152,0,1,0,0,1,0,0
28,247,0,1,0,0,1,0,0
28,136,0,1,0,0,1,0,0
22,253,0,1,0,0,1,0,0
11,258,0,1,0,0,1,0,0
29,187,0,1,0,0,1,0,0
24,275,0,1,0,0,1,0,0
27,137,0,1,0,0,1,0,0
10,172,0,1,0,0,1,0,0
30,286,0,1,0,0,1,0,0
14,495,0,1,0,0,1,0,0
12,332,0,1,0,0,1,0,0
6,248,0,1,0,0,1,0,0
1,561,0,1,0,0,1,0,0
7,420,0,1,0,0,1,0,0
20,374,0,1,0,0,1,0,0
11,258,0,1,0,0,1,0,0
21,327,0,1,0,0,1,0,0
1,150,0,1,0,0,1,0,0
9,440,0,1,0,0,1,0,0
15,554,0,1,0,0,1,0,0
12,682,0,1,0,0,1,0,0
12,304,0,1,0,0,1,0,0
3,298,0,1,0,0,1,0,0
17,423,0,1,0,0,1,0,0
16,246,0,1,0,0,1,0,0
14,342,0,1,0,0,1,0,0
17,234,0,1,0,0,1,0,0
8,333,0,1,0,0,1,0,0
9,149,0,1,0,0,1,0,0
13,266,0,1,0,0,1,0,0
17,166,0,1,0,0,1,0,0
7,424,0,1,0,0,1,0,0
9,521,0,1,0,0,1,0,0
23,154,0,1,0,0,1,0,0
96,255,0,1,0,0,1,0,0
71,290,0,1,0,0,1,0,0
47,366,0,1,0,0,1,0,0
84,395,0,1,0,0,1,0,0
67,256,0,1,0,0,1,0,0
28,170,0,1,0,0,1,0,0
91,167,0,1,0,0,1,0,0
96,236,0,1,0,0,1,0,0
73,346,0,1,0,0,1,0,0
78,250,0,1,0,0,1,0,0
69,184,0,1,0,0,1,0,0
71,158,0,1,0,0,1,0,0
68,159,0,1,0,0,1,0,0
56,110,0,1,0,0,1,0,0
79,114,0,1,0,0,1,0,0
23,112,0,1,0,0,1,0,0
87,179,0,1,0,0,1,0,0
88,161,0,1,0,0,1,0,0
79,163,0,1,0,0,1,0,0
100,169,0,1,0,0,1,0,0
78,291,0,1,0,0,1,0,0
54,285,0,1,0,0,1,0,0
88,326,0,1,0,0,1,0,0
64,241,0,1,0,0,1,0,0
73,193,0,1,0,0,1,0,0
90,279,0,1,0,0,1,0,0
93,253,0,1,0,0,1,0,0
89,313,0,1,0,0,1,0,0
82,261,0,1,0,0,1,0,0
52,225,0,1,0,0,1,0,0
81,273,0,1,0,0,1,0,0
71,315,0,1,0,0,1,0,0
38,262,0,1,0,0,1,0,0
55,574,0,1,0,0,1,0,0
91,341,0,1,0,0,1,0,0
66,267,0,1,0,0,1,0,0
70,361,0,1,0,0,1,0,0
70,338,0,1,0,0,1,0,0
67,330,0,1,0,0,1,0,0
66,196,0,1,0,0,1,0,0
55,384,0,1,0,0,1,0,0
57,345,0,1,0,0,1,0,0
59,449,0,1,0,0,1,0,0
56,218,0,1,0,0,1,0,0
48,315,0,1,0,0,1,0,0
54,309,0,1,0,0,1,0,0
49,289,0,1,0,0,1,0,0
46,348,0,1,0,0,1,0,0
57,265,0,1,0,0,1,0,0
68,321,0,1,0,0,1,0,0
72,195,0,1,0,0,1,0,0
37,328,0,1,0,0,1,0,0
33,248,0,1,0,0,0,1,0
51,158,0,1,0,0,0,1,0
47,258,0,1,0,0,0,1,0
58,329,0,1,0,0,0,1,0
44,286,0,1,0,0,0,1,0
52,156,0,1,0,0,0,1,0
60,211,0,1,0,0,0,1,0
61,145,0,1,0,0,0,1,0
42,180,0,1,0,0,0,1,0
48,230,0,1,0,0,0,1,0
60,170,0,1,0,0,0,1,0
51,177,0,1,0,0,0,1,0
61,232,0,1,0,0,0,1,0
56,398,0,1,0,0,0,1,0
62,208,0,1,0,0,0,1,0
61,152,0,1,0,0,0,1,0
36,163,0,1,0,0,0,1,0
50,142,0,1,0,0,0,1,0
26,140,0,1,0,0,0,1,0
40,148,0,1,0,0,0,1,0
18,294,0,1,0,0,0,1,0
51,140,0,1,0,0,0,1,0
38,148,0,1,0,0,0,1,0
41,165,0,1,0,0,0,1,0
48,152,0,1,0,0,0,1,0
32,149,0,1,0,0,0,1,0
51,217,0,1,0,0,0,1,0
36,135,0,1,0,0,0,1,0
36,170,0,1,0,0,0,1,0
42,264,0,1,0,0,0,1,0
23,129,0,1,0,0,0,1,0
60,147,0,1,0,0,0,1,0
47,244,0,1,0,0,0,1,0
37,128,0,1,0,0,0,1,0
50,245,0,1,0,0,0,1,0
50,247,0,1,0,0,0,1,0
87,183,0,1,0,0,0,1,0
43,270,0,1,0,0,0,1,0
53,137,0,1,0,0,0,1,0
28,172,0,1,0,0,0,1,0
44,274,0,1,0,0,0,1,0
28,496,0,1,0,0,0,1,0
44,327,0,1,0,0,0,1,0
10,243,0,1,0,0,0,1,0
38,533,0,1,0,0,0,1,0
29,398,0,1,0,0,0,1,0
48,357,0,1,0,0,0,1,0
40,248,0,1,0,0,0,1,0
36,330,0,1,0,0,0,1,0
34,143,0,1,0,0,0,1,0
48,438,0,1,0,0,0,1,0
44,544,0,1,0,0,0,1,0
16,676,0,1,0,0,0,1,0
66,289,0,1,0,0,0,1,0
51,294,0,1,0,0,0,1,0
30,406,0,1,0,0,0,1,0
65,250,0,1,0,0,0,1,0
67,339,0,1,0,0,0,1,0
38,236,0,1,0,0,0,1,0
35,335,0,1,0,0,0,1,0
65,148,0,1,0,0,0,1,0
54,261,0,1,0,0,0,1,0
44,161,0,1,0,0,0,1,0
47,416,0,1,0,0,0,1,0
50,505,0,1,0,0,0,1,0
64,148,0,1,0,0,0,1,0
74,248,0,1,0,0,0,1,0
39,285,0,1,0,0,0,1,0
40,366,0,1,0,0,0,1,0
29,399,0,1,0,0,0,1,0
11,255,0,1,0,0,0,1,0
24,164,0,1,0,0,0,1,0
68,165,0,1,0,0,0,1,0
58,226,0,1,0,0,0,1,0
37,338,0,1,0,0,0,1,0
60,242,0,1,0,0,0,1,0
41,167,0,1,0,0,0,1,0
47,156,0,1,0,0,0,1,0
56,150,0,1,0,0,0,1,0
51,120,0,1,0,0,0,1,0
62,118,0,1,0,0,0,1,0
22,120,0,1,0,0,0,1,0
63,167,0,1,0,0,0,1,0
53,154,0,1,0,0,0,1,0
67,149,0,1,0,0,0,1,0
74,157,0,1,0,0,0,1,0
64,283,0,1,0,0,0,1,0
68,275,0,1,0,0,0,1,0
54,319,0,1,0,0,0,1,0
53,234,0,1,0,0,0,1,0
60,178,0,1,0,0,0,1,0
67,264,0,1,0,0,0,1,0
74,236,0,1,0,0,0,1,0
55,288,0,1,0,0,0,1,0
52,245,0,1,0,0,0,1,0
49,207,0,1,0,0,0,1,0
45,261,0,1,0,0,0,1,0
62,287,0,1,0,0,0,1,0
71,235,0,1,0,0,0,1,0
63,552,0,1,0,0,0,1,0
36,329,0,1,0,0,0,1,0
23,250,0,1,0,0,0,1,0
19,345,0,1,0,0,0,1,0
22,329,0,1,0,0,0,1,0
32,315,0,1,0,0,0,1,0
38,188,0,1,0,0,0,1,0
64,392,0,1,0,0,0,1,0
54,350,0,1,0,0,0,1,0
54,441,0,1,0,0,0,1,0
76,204,0,1,0,0,0,1,0
74,298,0,1,0,0,0,1,0
74,287,0,1,0,0,0,1,0
79,269,0,1,0,0,0,1,0
57,337,0,1,0,0,0,1,0
80,246,0,1,0,0,0,1,0
88,304,0,1,0,0,0,1,0
75,186,0,1,0,0,0,1,0
78,299,0,1,0,0,0,1,0
62,160,0,0,1,0,0,0,1
106,163,0,0,1,0,0,0,1
60,246,0,0,1,0,0,0,1
49,264,0,0,1,0,0,0,1
82,231,0,0,1,0,0,0,1
106,144,0,0,1,0,0,0,1
61,245,0,0,1,0,0,0,1
89,317,0,0,1,0,0,0,1
80,278,0,0,1,0,0,0,1
68,151,0,0,1,0,0,0,1
70,204,0,0,1,0,0,0,1
58,135,0,0,1,0,0,0,1
65,171,0,0,1,0,0,0,1
114,225,0,0,1,0,0,0,1
94,155,0,0,1,0,0,0,1
103,158,0,0,1,0,0,0,1
95,222,0,0,1,0,0,0,1
114,389,0,0,1,0,0,0,1
67,204,0,0,1,0,0,0,1
51,151,0,0,1,0,0,0,1
58,157,0,0,1,0,0,0,1
86,142,0,0,1,0,0,0,1
50,139,0,0,1,0,0,0,1
44,140,0,0,1,0,0,0,1
38,288,0,0,1,0,0,0,1
39,139,0,0,1,0,0,0,1
39,139,0,0,1,0,0,0,1
60,152,0,0,1,0,0,0,1
68,140,0,0,1,0,0,0,1
78,141,0,0,1,0,0,0,1
61,210,0,0,1,0,0,0,1
62,128,0,0,1,0,0,0,1
51,159,0,0,1,0,0,0,1
52,252,0,0,1,0,0,0,1
16,120,0,0,1,0,0,0,1
63,142,0,0,1,0,0,0,1
64,241,0,0,1,0,0,0,1
75,121,0,0,1,0,0,0,1
50,234,0,0,1,0,0,0,1
73,237,0,0,1,0,0,0,1
88,176,0,0,1,0,0,0,1
51,262,0,0,1,0,0,0,1
67,134,0,0,1,0,0,0,1
