date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-04,200,149.0,235.0,151.0,151.0,202.50022657271006,-8.911383903650774
2014-02-11,194,200.0,149.0,235.0,151.0,202.24213275518974,41.69708326629189
2014-02-18,200,194.0,200.0,149.0,235.0,201.98403893766948,20.722217102901226
2014-02-25,197,200.0,194.0,200.0,149.0,201.7259451201492,16.785812477972087
2014-03-04,204,197.0,200.0,194.0,200.0,201.46785130262887,12.003254006889136
2014-03-11,195,204.0,197.0,200.0,194.0,201.20975748510853,7.111721176831773
2014-03-18,187,195.0,204.0,197.0,200.0,200.95166366758824,20.31313706472318
2014-03-25,193,187.0,195.0,204.0,197.0,200.6935698500679,3.838270901332532
2014-04-01,242,193.0,187.0,195.0,204.0,200.4354760325476,1.2864816610187697
2014-04-08,154,242.0,193.0,187.0,195.0,200.1773822150273,1.718666779679392
2014-04-15,237,154.0,242.0,193.0,187.0,199.91928839750702,-30.916455793967685
2014-04-22,235,237.0,154.0,242.0,193.0,199.6611945799867,4.256113940077541
2014-04-29,175,235.0,237.0,154.0,242.0,199.40310076246638,11.72996572540482
2014-05-06,243,175.0,235.0,237.0,154.0,199.1450069449461,-24.70964402772941
2014-05-13,237,243.0,175.0,235.0,237.0,198.88691312742577,1.9725410909311933
2014-05-20,208,237.0,243.0,175.0,235.0,198.62881930990542,12.302162107027721
2014-05-27,273,208.0,237.0,243.0,175.0,198.37072549238513,-3.650268158927057
2014-06-03,183,273.0,208.0,237.0,243.0,198.11263167486484,21.38448106229765
2014-06-10,207,183.0,273.0,208.0,237.0,197.85453785734447,-24.47179535750327
2014-06-17,221,207.0,183.0,273.0,208.0,197.59644403982418,-9.888969213201626
2014-06-24,219,221.0,207.0,183.0,273.0,197.33835022230392,-7.453578966335896
2014-07-01,193,219.0,221.0,207.0,183.0,197.0802564047836,-17.540624616906037
2014-07-08,224,193.0,219.0,221.0,207.0,196.8221625872633,-21.948183087988987
2014-07-15,194,224.0,193.0,219.0,221.0,196.56406876974296,-33.99797531424648
2014-07-22,178,194.0,224.0,193.0,219.0,196.30597495222267,-43.783424229214944
2014-07-29,103,178.0,194.0,224.0,193.0,196.04788113470238,-26.392591092901373
2014-08-05,174,103.0,178.0,194.0,224.0,192.00961538461542,-29.187213466245066
2014-08-12,166,174.0,103.0,178.0,194.0,192.8173076923077,-3.9048474998741365
2014-08-19,191,166.0,174.0,103.0,178.0,193.42307692307702,-4.5487635847852905
2014-08-26,170,191.0,166.0,174.0,103.0,194.0192307692308,12.038089561072832
2014-09-02,177,170.0,191.0,166.0,174.0,194.25000000000003,-14.054544472556262
2014-09-09,214,177.0,170.0,191.0,166.0,194.34615384615384,18.936154827148
2014-09-16,173,214.0,177.0,170.0,191.0,194.8365384615384,1.9557002806984196
2014-09-23,169,173.0,214.0,177.0,170.0,195.70192307692304,-21.03116452216144
2014-09-30,165,169.0,173.0,214.0,177.0,196.31730769230762,-14.601362658354617
2014-10-07,98,165.0,169.0,173.0,214.0,196.11538461538458,-24.229253102240094
2014-10-14,212,98.0,165.0,169.0,173.0,195.9326923076923,-22.257784571766628
2014-10-21,173,212.0,98.0,165.0,169.0,195.72115384615387,25.95406857409147
2014-10-28,193,173.0,212.0,98.0,165.0,194.9423076923077,-2.9943346903068564
2014-11-04,167,193.0,173.0,212.0,98.0,194.73076923076923,4.925851788884587
2014-11-11,205,167.0,193.0,173.0,212.0,194.28846153846158,-23.727679680641927
2014-11-18,212,205.0,167.0,193.0,173.0,193.3076923076923,17.013019619062305
2014-11-25,190,212.0,205.0,167.0,193.0,192.9134615384616,4.333847123894762
2014-12-02,184,190.0,212.0,205.0,167.0,192.25000000000003,-1.175453576400987
2014-12-09,172,184.0,190.0,212.0,205.0,191.60576923076928,17.279989313046848
2014-12-16,169,172.0,184.0,190.0,212.0,191.49038461538458,16.57197066403316
2014-12-23,222,169.0,172.0,184.0,190.0,191.0480769230769,29.613952015019454
2014-12-30,195,222.0,169.0,172.0,184.0,190.4230769230769,51.77452310959553
2015-01-06,168,195.0,222.0,169.0,172.0,189.72115384615384,59.43829933237669
2015-01-13,157,168.0,195.0,222.0,169.0,188.72115384615387,-4.161308379414094
2015-01-20,190,157.0,168.0,195.0,222.0,187.61538461538458,-9.094000687106387
2015-01-27,216,190.0,157.0,168.0,195.0,186.4615384615385,-8.324769917875656
2015-02-03,217,216.0,190.0,157.0,168.0,186.59615384615387,-8.911383903650774
2015-02-10,240,217.0,216.0,190.0,157.0,187.2019230769231,41.69708326629189
2015-02-17,216,240.0,217.0,216.0,190.0,186.97115384615387,20.722217102901226
2015-02-24,205,216.0,240.0,217.0,216.0,186.83653846153848,16.785812477972087
2015-03-03,206,205.0,216.0,240.0,217.0,186.77884615384616,12.003254006889136
2015-03-10,244,206.0,205.0,216.0,240.0,187.00000000000009,7.111721176831773
2015-03-17,228,244.0,206.0,205.0,216.0,186.6923076923077,20.31313706472318
2015-03-24,216,228.0,244.0,206.0,205.0,186.3173076923077,3.838270901332532
2015-03-31,198,216.0,228.0,244.0,206.0,186.52884615384616,1.2864816610187697
2015-04-07,179,198.0,216.0,228.0,244.0,185.8173076923077,1.718666779679392
2015-04-14,190,179.0,198.0,216.0,228.0,185.71153846153848,-30.916455793967685
2015-04-21,201,190.0,179.0,198.0,216.0,186.10576923076923,4.256113940077541
2015-04-28,187,201.0,190.0,179.0,198.0,185.77884615384616,11.72996572540482
2015-05-05,185,187.0,201.0,190.0,179.0,185.63461538461536,-24.70964402772941
2015-05-12,193,185.0,187.0,201.0,190.0,185.41346153846158,1.9725410909311933
2015-05-19,211,193.0,185.0,187.0,201.0,185.11538461538458,12.302162107027721
2015-05-26,201,211.0,193.0,185.0,187.0,184.46153846153842,-3.650268158927057
2015-06-02,188,201.0,211.0,193.0,185.0,183.65384615384613,21.38448106229765
2015-06-09,190,188.0,201.0,211.0,193.0,183.3269230769231,-24.47179535750327
2015-06-16,192,190.0,188.0,201.0,211.0,183.3269230769231,-9.888969213201626
2015-06-23,183,192.0,190.0,188.0,201.0,183.65384615384616,-7.453578966335896
2015-06-30,156,183.0,192.0,190.0,188.0,183.96153846153848,-17.540624616906037
2015-07-07,157,156.0,183.0,192.0,190.0,184.3942307692308,-21.948183087988987
2015-07-14,146,157.0,156.0,183.0,192.0,185.13461538461542,-33.99797531424648
2015-07-21,106,146.0,157.0,156.0,183.0,185.6923076923077,-43.783424229214944
2015-07-28,189,106.0,146.0,157.0,156.0,185.72115384615387,-26.392591092901373
2015-08-04,151,189.0,106.0,146.0,157.0,185.0865384615385,-29.187213466245066
2015-08-11,165,151.0,189.0,106.0,146.0,185.37500000000003,-3.9048474998741365
2015-08-18,178,165.0,151.0,189.0,106.0,185.6442307692308,-4.5487635847852905
2015-08-25,177,178.0,165.0,151.0,189.0,185.23076923076923,12.038089561072832
2015-09-01,193,177.0,178.0,165.0,151.0,185.22115384615387,-14.054544472556262
2015-09-08,166,193.0,177.0,178.0,165.0,185.0961538461539,18.936154827148
2015-09-15,182,166.0,193.0,177.0,178.0,184.49038461538464,1.9557002806984196
2015-09-22,182,182.0,166.0,193.0,177.0,183.52884615384616,-21.03116452216144
2015-09-29,78,182.0,182.0,166.0,193.0,182.5673076923077,-14.601362658354617
2015-10-06,174,78.0,182.0,182.0,166.0,181.59615384615384,-24.229253102240094
2015-10-13,177,174.0,78.0,182.0,182.0,180.8076923076923,-22.257784571766628
2015-10-20,174,177.0,174.0,78.0,182.0,180.32692307692304,25.95406857409147
2015-10-27,177,174.0,177.0,174.0,78.0,179.89423076923077,-2.9943346903068564
2015-11-03,160,177.0,174.0,177.0,174.0,179.28846153846152,4.925851788884587
2015-11-10,181,160.0,177.0,174.0,177.0,178.63461538461536,-23.727679680641927
2015-11-17,168,181.0,160.0,177.0,174.0,178.33653846153848,17.013019619062305
2015-11-24,150,168.0,181.0,160.0,177.0,177.71153846153842,4.333847123894762
2015-12-01,190,150.0,168.0,181.0,160.0,176.84615384615387,-1.175453576400987
2015-12-08,166,190.0,150.0,168.0,181.0,176.0673076923077,17.279989313046848
2015-12-15,209,166.0,190.0,150.0,168.0,175.25000000000003,16.57197066403316
2015-12-22,214,209.0,166.0,190.0,150.0,174.50961538461542,29.613952015019454
2015-12-29,248,214.0,209.0,166.0,190.0,173.59615384615387,51.77452310959553
2016-01-05,192,248.0,214.0,209.0,166.0,173.25,59.43829933237669
2016-01-12,191,192.0,248.0,214.0,209.0,172.77884615384616,-4.161308379414094
2016-01-19,159,191.0,192.0,248.0,214.0,171.75000000000003,-9.094000687106387
2016-01-26,181,159.0,191.0,192.0,248.0,172.36538461538467,-8.324769917875656
2016-02-02,282,181.0,159.0,191.0,192.0,173.40384615384616,-8.911383903650774
2016-02-09,203,282.0,181.0,159.0,191.0,174.23076923076923,41.69708326629189
2016-02-16,210,203.0,282.0,181.0,159.0,175.64423076923077,20.722217102901226
2016-02-23,210,210.0,203.0,282.0,181.0,176.8461538461539,16.785812477972087
2016-03-01,188,210.0,210.0,203.0,282.0,177.50961538461542,12.003254006889136
2016-03-08,199,188.0,210.0,210.0,203.0,178.22115384615387,7.111721176831773
2016-03-15,173,199.0,188.0,210.0,210.0,179.1826923076923,20.31313706472318
2016-03-22,171,173.0,199.0,188.0,210.0,179.24038461538458,3.838270901332532
2016-03-29,142,171.0,173.0,199.0,188.0,178.9423076923077,1.2864816610187697
2016-04-05,153,142.0,171.0,173.0,199.0,180.61538461538464,1.718666779679392
2016-04-12,166,153.0,142.0,171.0,173.0,182.88461538461542,-30.916455793967685
2016-04-19,180,166.0,153.0,142.0,171.0,184.23076923076923,4.256113940077541
2016-04-26,145,180.0,166.0,153.0,142.0,185.3942307692308,11.72996572540482
2016-05-03,159,145.0,180.0,166.0,153.0,186.11538461538458,-24.70964402772941
2016-05-10,188,159.0,145.0,180.0,166.0,186.5480769230769,1.9725410909311933
2016-05-17,151,188.0,159.0,145.0,180.0,187.11538461538456,12.302162107027721
