date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-07-22,35,39.0,40.0,48.0,44.0,37.0,41.14776686324859,-15.594568247640689
2014-07-29,29,35.0,39.0,40.0,48.0,44.0,40.87275438533122,-10.380209667321214
2014-08-05,30,29.0,35.0,39.0,40.0,48.0,40.59774190741385,-2.7748254459760924
2014-08-12,66,30.0,29.0,35.0,39.0,40.0,41.18269230769232,-13.725326286593685
2014-08-19,48,66.0,30.0,29.0,35.0,39.0,41.355769230769226,3.5415922369841035
2014-08-26,44,48.0,66.0,30.0,29.0,35.0,40.92307692307693,1.9815876836388204
2014-09-02,45,44.0,48.0,66.0,30.0,29.0,40.25000000000001,1.7965831302935344
2014-09-09,31,45.0,44.0,48.0,66.0,30.0,40.125,-5.452523987154316
2014-09-16,41,31.0,45.0,44.0,48.0,66.0,40.0673076923077,-11.653554181525244
2014-09-23,29,41.0,31.0,45.0,44.0,48.0,39.85576923076925,-9.816122837434634
2014-09-30,48,29.0,41.0,31.0,45.0,44.0,39.394230769230774,-7.962665852318379
2014-10-07,21,48.0,29.0,41.0,31.0,45.0,38.99038461538462,2.8266885686953094
2014-10-14,45,21.0,48.0,29.0,41.0,31.0,38.66346153846154,-3.4480595743935667
2014-10-21,23,45.0,21.0,48.0,29.0,41.0,38.32692307692308,15.568858949184225
2014-10-28,39,23.0,45.0,21.0,48.0,29.0,38.11538461538462,-2.3693507323661898
2014-11-04,30,39.0,23.0,45.0,21.0,48.0,37.817307692307686,4.067439586083396
2014-11-11,35,30.0,39.0,23.0,45.0,21.0,37.46153846153847,-8.351539326236251
2014-11-18,39,35.0,30.0,39.0,23.0,45.0,37.03846153846154,1.5884561204184657
2014-11-25,46,39.0,35.0,30.0,39.0,23.0,36.61538461538462,1.9899900286116436
2014-12-02,30,46.0,39.0,35.0,30.0,39.0,36.221153846153854,7.70242137270225
2014-12-09,24,30.0,46.0,39.0,35.0,30.0,35.846153846153854,3.3763911783313225
2014-12-16,27,24.0,30.0,46.0,39.0,35.0,35.54807692307692,3.01510457370399
2014-12-23,32,27.0,24.0,30.0,46.0,39.0,35.259615384615394,-2.993617928359245
2014-12-30,37,32.0,27.0,24.0,30.0,46.0,34.86538461538462,7.734839056757005
