actor,place_of_death,date_of_death,cause_of_death,nb_women,nb_children,nb_civilians,nb_noncivilians
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,12/19/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Damascus,4/5/15,Shooting,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Damascus,4/19/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Damascus Suburbs,4/7/15,Shooting,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,5/23/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,6/17/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/8/15,Kidnapping - Execution,6,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/21/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/24/15,Kidnapping - Execution,0,3,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/25/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/28/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,8/19/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,8/30/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,10/5/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,10/11/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,11/15/15,Kidnapping - Execution,3,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,11/16/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,12/16/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,12/18/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Hasakeh,1/10/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Hasakeh,6/23/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Hasakeh,11/14/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Homs,7/24/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Homs,11/2/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Raqqa,7/5/15,Kidnapping - Execution,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Raqqa,11/6/15,Explosion,0,0,6,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Raqqa,11/22/15,Explosion,3,0,6,0
Armed opposition groups,Damascus,11/17/15,Kidnapping - Execution,0,0,5,0
Armed opposition groups,Daraa,7/27/15,Shelling,0,0,5,0
Armed opposition groups,Daraa,12/14/15,Kidnapping - Execution,2,0,5,0
Armed opposition groups,Quneitra,6/16/15,Shelling,2,0,5,0
Armed opposition groups,Tartous,8/7/15,Shooting,0,0,5,0
Syrian government and affiliated militias,Daraa,7/30/15,Warplane shelling,0,0,5,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,12/8/15,Kidnapping - Execution,0,0,5,0
Not identified,Daraa,1/2/15,Shooting,0,0,4,6
Armed opposition groups,Idlib,5/7/15,Shooting,0,0,4,3
Armed opposition groups,Tartous,1/4/15,Shooting,0,0,4,3
International coalition forces,Idlib,7/8/15,Warplane shelling,0,0,4,2
Russian troops,Hama,12/20/15,Warplane shelling,0,0,4,2
Armed opposition groups,Aleppo,1/5/15,Shooting,0,0,4,0
Armed opposition groups,Aleppo,1/28/15,Shelling,2,0,4,0
Armed opposition groups,Aleppo,2/22/15,Shelling,0,0,4,0
Armed opposition groups,Aleppo,3/12/15,Shelling,0,0,4,0
Armed opposition groups,Aleppo,5/15/15,Shelling,0,0,4,0
Armed opposition groups,Aleppo,5/23/15,Explosion,0,4,4,0
Armed opposition groups,Aleppo,5/27/15,Shelling,0,4,4,0
Armed opposition groups,Aleppo,5/30/15,Shelling,0,0,4,0
Armed opposition groups,Aleppo,6/10/15,Shelling,0,0,4,0
Armed opposition groups,Aleppo,6/17/15,Shooting,0,0,4,0
Armed opposition groups,Aleppo,7/7/15,Shelling,2,0,4,0
Armed opposition groups,Aleppo,7/28/15,Shooting,0,0,4,0
Armed opposition groups,Aleppo,12/11/15,Shelling,4,0,4,0
Armed opposition groups,Damascus,1/28/15,Shelling,2,2,4,0
Armed opposition groups,Damascus,3/31/15,Shelling,0,0,4,0
Armed opposition groups,Damascus,4/14/15,Shelling,0,0,4,0
Armed opposition groups,Damascus,4/23/15,Shelling,2,2,4,0
Armed opposition groups,Damascus,4/24/15,Shooting,0,0,4,0
Armed opposition groups,Damascus,5/5/15,Shooting,0,0,4,0
Armed opposition groups,Damascus,6/30/15,Shelling,2,0,4,0
Armed opposition groups,Damascus,7/1/15,Shelling,2,0,4,0
Armed opposition groups,Damascus,7/7/15,Shelling,0,0,4,0
Armed opposition groups,Damascus,7/22/15,Shooting,2,0,4,0
Armed opposition groups,Damascus,8/2/15,Shooting,0,0,4,0
Armed opposition groups,Damascus,8/8/15,Shelling,0,0,4,0
Armed opposition groups,Damascus,9/9/15,Shelling,0,0,4,0
Armed opposition groups,Damascus,9/29/15,Shelling,0,0,4,0
Armed opposition groups,Damascus,12/14/15,Shelling,0,2,4,0
Armed opposition groups,Damascus Suburbs,2/20/15,Shooting,0,0,4,0
Armed opposition groups,Damascus Suburbs,7/19/15,Shelling,2,0,4,0
Armed opposition groups,Damascus Suburbs,7/28/15,Shooting,0,0,4,0
Armed opposition groups,Damascus Suburbs,11/3/15,Shooting,0,0,4,0
Armed opposition groups,Damascus Suburbs,11/12/15,Shooting,0,2,4,0
Armed opposition groups,Damascus Suburbs,11/24/15,Explosion,0,0,4,0
Armed opposition groups,Daraa,1/27/15,Shelling,0,4,4,0
Armed opposition groups,Daraa,7/5/15,Shelling,2,2,4,0
Armed opposition groups,Daraa,7/7/15,Shelling,2,0,4,0
Armed opposition groups,Daraa,7/15/15,Shelling,4,0,4,0
Armed opposition groups,Daraa,7/22/15,Shelling,4,0,4,0
Armed opposition groups,Daraa,8/23/15,Shelling,0,0,4,0
Armed opposition groups,Daraa,10/21/15,Shelling,0,4,4,0
Armed opposition groups,Daraa,11/7/15,Shelling,2,0,4,0
Armed opposition groups,Daraa,11/21/15,Shooting,0,0,4,0
Armed opposition groups,Deir Ezzor,6/20/15,Shelling,0,0,4,0
Armed opposition groups,Deir Ezzor,6/23/15,Shelling,2,0,4,0
Armed opposition groups,Deir Ezzor,7/3/15,Shelling,2,0,4,0
Armed opposition groups,Deir Ezzor,8/7/15,Other,0,0,4,0
Armed opposition groups,Hama,7/25/15,Shooting,0,0,4,0
Armed opposition groups,Hama,8/2/15,Shooting,0,0,4,0
Armed opposition groups,Hama,8/23/15,Shooting,0,0,4,0
Armed opposition groups,Hama,10/28/15,Explosion,0,0,4,0
Armed opposition groups,Hasakeh,1/7/15,Field Execution,0,0,4,0
Armed opposition groups,Hasakeh,2/23/15,Shooting,0,0,4,0
Armed opposition groups,Hasakeh,3/2/15,Shooting,0,0,4,0
Armed opposition groups,Hasakeh,3/12/15,Shooting,2,0,4,0
Armed opposition groups,Homs,3/5/15,Shooting,0,0,4,0
Armed opposition groups,Homs,4/24/15,Explosion,0,0,4,0
Armed opposition groups,Homs,5/5/15,Shooting,0,0,4,0
Armed opposition groups,Homs,5/20/15,Shooting,2,0,4,0
Armed opposition groups,Homs,5/25/15,Shooting,0,0,4,0
Armed opposition groups,Homs,7/3/15,Shooting,0,0,4,0
Armed opposition groups,Homs,8/22/15,Shooting,0,0,4,0
Armed opposition groups,Homs,10/4/15,Explosion,0,0,4,0
Armed opposition groups,Homs,10/18/15,Shooting,0,0,4,0
Armed opposition groups,Idlib,10/14/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,1/18/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,1/22/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,1/25/15,Shelling,0,0,4,0
Armed opposition groups,Lattakia,3/5/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,3/12/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,3/30/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,4/26/15,Shooting,2,0,4,0
Armed opposition groups,Lattakia,4/28/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,5/13/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,5/18/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,6/30/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,7/27/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,8/22/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,8/26/15,Shooting,0,2,4,0
Armed opposition groups,Lattakia,9/15/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,10/6/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,10/22/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,11/5/15,Shooting,0,0,4,0
Armed opposition groups,Lattakia,11/11/15,Shelling,0,0,4,0
Armed opposition groups,Lattakia,12/27/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,2/7/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,3/6/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,3/23/15,Explosion,0,0,4,0
Armed opposition groups,Other Nationalities,3/28/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,4/20/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,4/24/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,4/26/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,6/17/15,Shooting,0,2,4,0
Armed opposition groups,Other Nationalities,7/8/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,7/15/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,7/17/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,7/18/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,7/25/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,7/26/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,8/11/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,8/13/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,8/24/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,9/15/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,9/20/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,10/14/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,10/18/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,10/22/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,10/27/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,11/3/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,11/4/15,Explosion,0,0,4,0
Armed opposition groups,Other Nationalities,11/12/15,Shooting,0,0,4,0
Armed opposition groups,Other Nationalities,11/20/15,Shooting,0,0,4,0
Armed opposition groups,Quneitra,9/26/15,Shooting,0,0,4,0
Armed opposition groups,Quneitra,10/6/15,Shelling,0,0,4,0
Armed opposition groups,Raqqa,6/19/15,Explosion,0,2,4,0
Armed opposition groups,Sweida,1/25/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,3/2/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,3/27/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,4/9/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,4/10/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,4/25/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,4/27/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,5/14/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,5/22/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,5/24/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,5/28/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,6/16/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,6/28/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,6/29/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,7/8/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,7/17/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,7/22/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,9/17/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,10/11/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,10/12/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,10/21/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,11/5/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,11/15/15,Shooting,0,0,4,0
Armed opposition groups,Sweida,11/23/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,1/5/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,1/10/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,1/20/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,1/24/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,1/25/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,2/1/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,2/9/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,2/20/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,2/28/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,3/14/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,3/21/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,4/3/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,4/4/15,Shooting,0,2,4,0
Armed opposition groups,Tartous,4/5/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,4/14/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,4/29/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,5/13/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,5/21/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,5/23/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,5/29/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,5/31/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,6/1/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,6/2/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,6/8/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,6/14/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,6/22/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,7/3/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,7/8/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,7/9/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,7/20/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,7/22/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,8/2/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,8/13/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,8/18/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,8/19/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,8/21/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,8/22/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,8/26/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/1/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/4/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/7/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/13/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/14/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/21/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/22/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,9/25/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/5/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/6/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/8/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/9/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/10/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/14/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/16/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/23/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/29/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,10/31/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,11/2/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,11/14/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,11/17/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,11/22/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,11/23/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,11/28/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,12/12/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,12/18/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,12/23/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,12/28/15,Shooting,0,0,4,0
Armed opposition groups,Tartous,12/31/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,1/18/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,1/26/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,2/14/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,2/22/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,4/9/15,Other,0,0,4,0
Armed opposition groups,Unknown,4/28/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,5/1/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,5/13/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,7/4/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,7/17/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,8/27/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,9/16/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,9/19/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,10/22/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,10/26/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,10/29/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,11/3/15,Shooting,2,0,4,0
Armed opposition groups,Unknown,11/4/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,11/5/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,11/6/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,11/23/15,Shooting,0,0,4,0
Armed opposition groups,Unknown,12/30/15,Shooting,2,0,4,0
International coalition forces,Aleppo,7/23/15,Warplane shelling,0,4,4,0
International coalition forces,Aleppo,10/6/15,Warplane shelling,0,4,4,0
International coalition forces,Daraa,10/8/15,Warplane shelling,0,0,4,0
International coalition forces,Hasakeh,7/5/15,Warplane shelling,0,0,4,0
International coalition forces,Raqqa,7/7/15,Warplane shelling,0,0,4,0
Russian troops,Aleppo,10/24/15,Warplane shelling,0,0,4,0
Russian troops,Aleppo,11/30/15,Warplane shelling,2,0,4,0
Russian troops,Aleppo,12/4/15,Warplane shelling,0,0,4,0
Russian troops,Aleppo,12/11/15,Warplane shelling,0,0,4,0
Russian troops,Aleppo,12/23/15,Warplane shelling,2,2,4,0
Russian troops,Damascus Suburbs,11/1/15,Warplane shelling,0,2,4,0
Russian troops,Damascus Suburbs,12/4/15,Warplane shelling,2,2,4,0
Russian troops,Damascus Suburbs,12/24/15,Warplane shelling,0,2,4,0
Russian troops,Deir Ezzor,11/16/15,Warplane shelling,0,4,4,0
Russian troops,Deir Ezzor,11/19/15,Warplane shelling,0,0,4,0
Russian troops,Deir Ezzor,12/23/15,Warplane shelling,2,0,4,0
Russian troops,Hama,11/20/15,Warplane shelling,0,0,4,0
Russian troops,Hama,12/14/15,Warplane shelling,0,4,4,0
Russian troops,Homs,11/3/15,Warplane shelling,2,0,4,0
Russian troops,Homs,11/6/15,Warplane shelling,0,0,4,0
Russian troops,Homs,12/3/15,Warplane shelling,0,2,4,0
Russian troops,Homs,12/5/15,Warplane shelling,0,0,4,0
Russian troops,Homs,12/6/15,Warplane shelling,0,0,4,0
Russian troops,Homs,12/15/15,Warplane shelling,0,0,4,0
Russian troops,Homs,12/27/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,10/3/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,10/14/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,10/25/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,10/26/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,11/12/15,Warplane shelling,0,2,4,0
Russian troops,Idlib,11/13/15,Warplane shelling,0,2,4,0
Russian troops,Idlib,11/27/15,Warplane shelling,4,0,4,0
Russian troops,Idlib,12/4/15,Warplane shelling,0,2,4,0
Russian troops,Idlib,12/15/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,12/22/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,12/24/15,Warplane shelling,0,0,4,0
Russian troops,Idlib,12/30/15,Warplane shelling,0,0,4,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,4/8/15,Explosion,0,0,3,42
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,4/7/15,Explosion,0,0,3,39
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,5/31/15,Explosion,0,0,3,18
Not identified,Aleppo,10/14/15,Field Execution,0,0,3,12
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,11/23/15,Kidnapping - Execution,0,0,3,11
Armed opposition groups,Damascus Suburbs,11/29/15,Shooting,0,0,3,9
Not identified,Daraa,10/8/15,Shooting,0,0,3,9
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,4/4/15,Explosion,3,0,3,9
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,12/10/15,Explosion,0,0,3,9
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,4/29/15,Shooting,0,3,3,9
Not identified,Aleppo,5/17/15,Shooting,0,0,3,6
Not identified,Damascus Suburbs,1/2/15,Shooting,0,0,3,6
Syrian government and affiliated militias,Damascus Suburbs,8/21/15,Shooting,0,0,3,6
Syrian government and affiliated militias,Damascus Suburbs,10/8/15,Shooting,0,0,3,6
Syrian government and affiliated militias,Daraa,7/25/15,Shooting,0,3,3,6
Syrian government and affiliated militias,Hama,11/9/15,Shooting,0,0,3,6
Syrian government and affiliated militias,Homs,8/15/15,Shooting,0,3,3,6
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,6/14/15,Detention - Torture - Execution,0,3,3,6
The organization of the Islamic State in Iraq and the Levant - ISIS,Damascus Suburbs,11/29/15,Shooting,0,0,3,6
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,5/17/15,Kidnapping - Execution,0,0,3,6
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,6/18/15,Kidnapping - Execution,0,0,3,6
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,11/22/15,Kidnapping - Execution,0,0,3,6
The organization of the Islamic State in Iraq and the Levant - ISIS,Homs,4/22/15,Shooting,0,0,3,6
Not identified,Daraa,10/11/15,Shooting,3,0,3,3
Not identified,Idlib,1/2/15,Shooting,0,0,3,3
Syrian government and affiliated militias,Damascus Suburbs,4/10/15,Shooting,0,0,3,3
Syrian government and affiliated militias,Damascus Suburbs,5/5/15,Other,0,3,3,3
Syrian government and affiliated militias,Damascus Suburbs,6/13/15,Shooting,0,3,3,3
Syrian government and affiliated militias,Daraa,6/11/15,Shooting,0,0,3,3
Syrian government and affiliated militias,Hama,5/7/15,Warplane shelling,0,0,3,3
Syrian government and affiliated militias,Hama,7/18/15,Shelling,0,0,3,3
Syrian government and affiliated militias,Hama,10/27/15,Shooting,0,0,3,3
Syrian government and affiliated militias,Homs,5/5/15,Shooting,0,3,3,3
Syrian government and affiliated militias,Homs,5/31/15,Shooting,0,0,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,3/24/15,Shelling,0,3,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,8/23/15,Shooting,0,0,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Damascus Suburbs,9/5/15,Shooting,0,0,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,1/27/15,Shooting,0,0,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/5/15,Kidnapping - Execution,0,3,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,7/12/15,Kidnapping - Execution,0,0,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,8/20/15,Kidnapping - Execution,0,3,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,11/14/15,Shooting,0,0,3,3
The organization of the Islamic State in Iraq and the Levant - ISIS,Deir Ezzor,12/7/15,Kidnapping - Execution,0,0,3,3
Al-Nusra Front,Aleppo,1/28/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Aleppo,5/16/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Aleppo,8/5/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Damascus,1/24/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Damascus Suburbs,3/6/15,Shooting,0,0,3,0
Al-Nusra Front,Damascus Suburbs,9/12/15,Shooting,0,0,3,0
Al-Nusra Front,Hama,7/8/15,Kidnapping - Torture,0,0,3,0
Al-Nusra Front,Homs,8/2/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Idlib,1/21/15,Kidnapping - Execution,3,0,3,0
Al-Nusra Front,Idlib,1/29/15,Kidnapping - Torture,0,0,3,0
Al-Nusra Front,Idlib,2/15/15,Kidnapping - Torture,0,0,3,0
Al-Nusra Front,Idlib,3/14/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Idlib,3/20/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Idlib,3/27/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Idlib,8/4/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Idlib,10/20/15,Kidnapping - Execution,0,0,3,0
Al-Nusra Front,Idlib,10/22/15,Shooting,3,0,3,0
Al-Nusra Front,Idlib,11/28/15,Kidnapping - Execution,0,0,3,0
Armed opposition groups,Aleppo,4/20/15,Kidnapping - Execution,0,0,3,0
Armed opposition groups,Damascus,10/30/15,Kidnapping - Torture,0,0,3,0
Armed opposition groups,Damascus Suburbs,4/16/15,Kidnapping - Execution,0,0,3,0
Armed opposition groups,Damascus Suburbs,5/6/15,Kidnapping - Torture,0,0,3,0
Armed opposition groups,Damascus Suburbs,7/12/15,Kidnapping - Torture,0,0,3,0
Armed opposition groups,Damascus Suburbs,10/15/15,Kidnapping - Torture,0,0,3,0
Armed opposition groups,Damascus Suburbs,11/28/15,Shooting,0,0,3,0
Armed opposition groups,Daraa,5/7/15,Shelling,0,0,3,0
