actor,place_of_death,date_of_death,cause_of_death,nb_women,nb_children,nb_civilians,nb_noncivilians
International coalition forces,Aleppo,7/19/16,Warplane shelling,24,60,271,0
Russian troops,Aleppo,9/23/16,Warplane shelling,21,48,270,0
Not identified,Aleppo,12/22/16,Warplane shelling,21,51,213,0
Russian troops,Aleppo,9/24/16,Warplane shelling,9,42,198,0
Syrian government and affiliated militias,Aleppo,12/12/16,Shooting,24,12,196,6
Syrian government and affiliated militias,Idlib,12/4/16,Shooting,18,49,165,6
Russian troops,Aleppo,10/11/16,Explosion,25,27,162,0
Syrian government and affiliated militias,Idlib,4/19/16,Warplane shelling,12,21,161,15
Russian troops,Idlib,9/10/16,Warplane shelling,39,40,159,0
Not identified,Aleppo,7/8/16,Shelling,40,50,138,0
Russian troops,Aleppo,9/25/16,Warplane shelling,3,18,132,0
Syrian government and affiliated militias,Aleppo,11/28/16,Shelling,9,39,129,9
Russian troops,Aleppo,7/19/16,Shelling,3,38,128,0
Syrian government and affiliated militias,Idlib,10/26/16,Warplane shelling,24,63,120,9
Syrian government and affiliated militias,Hama,9/1/16,Warplane shelling,27,30,118,12
Syrian government and affiliated militias,Aleppo,11/24/16,Warplane shelling,3,9,117,3
Syrian government and affiliated militias,Damascus Suburbs,7/2/16,Warplane shelling,12,9,117,0
Russian troops,Idlib,1/12/16,Warplane shelling,14,18,108,0
Syrian government and affiliated militias,Idlib,6/12/16,Warplane shelling,9,27,107,0
Russian troops,Hama,12/12/16,Chemical and toxic gases,15,21,99,0
Russian troops,Aleppo,10/17/16,Warplane shelling,12,33,96,6
Russian troops,Idlib,1/9/16,Warplane shelling,0,6,96,2
Syrian government and affiliated militias,Aleppo,9/22/16,Explosion,18,39,93,3
Syrian government and affiliated militias,Aleppo,6/2/16,Warplane shelling,12,18,93,0
Syrian government and affiliated militias,Aleppo,7/29/16,Warplane shelling,15,24,90,3
Russian troops,Aleppo,9/27/16,Warplane shelling,9,18,90,0
Syrian government and affiliated militias,Damascus Suburbs,11/20/16,Shooting,9,36,88,12
Syrian government and affiliated militias,Idlib,11/8/16,Warplane shelling,12,57,84,24
Russian troops,Aleppo,7/29/16,Warplane shelling,15,54,84,0
Russian troops,Aleppo,10/16/16,Warplane shelling,18,30,84,0
Syrian government and affiliated militias,Aleppo,11/27/16,Shooting,3,9,81,15
International coalition forces,Aleppo,6/3/16,Warplane shelling,24,42,81,0
Russian troops,Deir Ezzor,6/25/16,Warplane shelling,3,12,81,0
Armed opposition groups,Aleppo,4/30/16,Shelling,18,14,80,9
Syrian government and affiliated militias,Aleppo,6/8/16,Explosion,6,9,79,6
Syrian government and affiliated militias,Aleppo,6/3/16,Shooting,21,30,78,3
Not identified,Aleppo,8/28/16,Warplane shelling,21,18,78,0
Syrian government and affiliated militias,Aleppo,9/25/16,Warplane shelling,3,24,75,3
Russian troops,Aleppo,11/16/16,Explosion,20,21,75,0
The organization of the Islamic State in Iraq and the Levant - ISIS,Aleppo,7/27/16,Shooting,3,3,75,0
