demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
39,1,162.7586994435919,14.928571428571427,8.507142857142858,7.1,40.0,51.0,44.0,18.0,40.68838699932357,6.470906476914758
48,2,186.43526517277485,13.885714285714286,8.850000000000003,0.0,39.0,40.0,51.0,44.0,40.77459586324203,0.3940932658650181
46,3,181.55742689909763,16.214285714285715,10.114285714285714,26.2,48.0,39.0,40.0,51.0,40.86080472716049,-7.208360970825755
45,1,263.392347974706,17.228571428571428,12.750000000000002,7.1,46.0,48.0,39.0,40.0,40.94701359107896,-13.131328028029346
31,2,277.10359385370367,17.085714285714285,15.857142857142856,7.1,45.0,46.0,48.0,39.0,41.03322245499741,-10.384423290361136
33,3,248.01479352285432,19.285714285714285,17.585714285714285,19.1,31.0,45.0,46.0,48.0,41.119431318915865,-15.682390347564732
51,2,157.92623268711583,15.957142857142856,16.657142857142855,22.200000000000006,33.0,31.0,45.0,46.0,41.20564018283433,-21.179075353486272
47,4,257.817279482238,17.942857142857143,10.564285714285717,0.6,51.0,33.0,31.0,45.0,41.291849046752795,3.4844960508486063
58,2,329.26301704747834,16.585714285714285,14.578571428571431,0.0,47.0,51.0,33.0,31.0,41.378057910671245,5.817939250055269
44,4,285.5165397063073,19.04285714285714,13.785714285714285,0.3,58.0,47.0,51.0,33.0,41.46426677458971,-0.9415662686867764
52,4,156.34774483563137,18.585714285714285,14.014285714285714,17.3,44.0,58.0,47.0,51.0,41.550475638508175,5.7957230843660446
60,2,211.09091637462063,21.185714285714287,12.871428571428574,0.3,52.0,44.0,58.0,47.0,41.63668450242663,16.186858591265022
61,3,144.512714366764,22.142857142857146,12.978571428571426,0.3,60.0,52.0,44.0,58.0,41.7228933663451,8.347224867394766
42,3,180.22726773569332,23.728571428571428,14.592857142857143,0.0,61.0,60.0,52.0,44.0,41.80910223026355,7.475539861473226
48,3,230.27464388098664,20.785714285714285,14.242857142857144,26.9,42.0,61.0,60.0,52.0,41.89531109418201,12.693598445295276
60,3,169.8745938593517,21.6,14.714285714285715,0.3,48.0,42.0,61.0,60.0,41.98151995810046,3.655246772707067
51,1,176.8631885734666,22.685714285714287,11.95,0.8,60.0,48.0,42.0,61.0,42.06772882201893,12.011125869349634
61,2,232.11952042456716,24.128571428571433,15.857142857142858,0.3,51.0,60.0,48.0,42.0,42.15393768593738,12.735594709581942
56,2,398.12420355153574,25.385714285714286,17.45,0.0,61.0,51.0,60.0,48.0,42.24014654985585,12.690832780583474
62,3,208.4436685556848,24.82857142857143,13.092857142857143,0.0,56.0,61.0,51.0,60.0,42.326355413774316,16.597993928508107
61,1,151.89446655709568,25.985714285714284,16.885714285714286,0.0,62.0,56.0,61.0,51.0,42.41256427769277,3.8833602046378415
36,2,162.8816983486657,26.91428571428571,15.285714285714285,0.0,61.0,62.0,56.0,61.0,42.49877314161123,2.800136737177845
50,1,141.9443609098556,27.314285714285717,16.428571428571427,0.0,36.0,61.0,62.0,56.0,42.58498200552969,-4.651676473871898
26,2,140.420895478268,27.87142857142857,16.885714285714286,0.0,50.0,36.0,61.0,62.0,42.67119086944815,-13.010966885358586
