demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
4,3,204.7022408968745,16.214285714285715,10.114285714285714,26.2,11.0,3.0,1.0,4.0,1.0,-14.138155172753489,3.2301370231301236
3,1,286.27106063670925,17.228571428571428,12.750000000000002,7.1,4.0,11.0,3.0,1.0,4.0,-13.567145151015641,-1.8800714456542866
7,2,294.488256667718,17.085714285714285,15.857142857142856,7.1,3.0,4.0,11.0,3.0,1.0,-12.996135129277794,-0.695408119566902
7,3,265.3044797036781,19.285714285714285,17.585714285714285,19.1,7.0,3.0,4.0,11.0,3.0,-12.425125107539953,-0.8248473575820812
2,2,174.03377815168446,15.957142857142856,16.657142857142855,22.200000000000006,7.0,7.0,3.0,4.0,11.0,-11.854115085802105,-4.521594287904951
3,4,272.1721601004583,17.942857142857143,10.564285714285717,0.6,2.0,7.0,7.0,3.0,4.0,-11.283105064064259,-11.074110448997054
2,2,343.74132623942324,16.585714285714285,14.578571428571431,0.0,3.0,2.0,7.0,7.0,3.0,-10.712095042326414,-9.742011225473773
8,4,291.0480789590852,19.04285714285714,13.785714285714285,0.3,2.0,3.0,2.0,7.0,7.0,-10.141085020588571,-10.24965559169408
12,4,159.08227711159182,18.585714285714285,14.014285714285714,17.3,8.0,2.0,3.0,2.0,7.0,-9.570074998850725,-0.17396662458105538
7,2,216.76438695832738,21.185714285714287,12.871428571428574,0.3,12.0,8.0,2.0,3.0,2.0,-8.999064977112877,-5.123918683109051
7,3,155.21691544524538,22.142857142857146,12.978571428571426,0.3,7.0,12.0,8.0,2.0,3.0,-8.428054955375032,-5.843101510867823
4,3,187.4942119712016,23.728571428571428,14.592857142857143,0.0,7.0,7.0,12.0,8.0,2.0,-7.857044933637186,-3.886002287344534
3,3,233.25704472194283,20.785714285714285,14.242857142857144,26.9,4.0,7.0,7.0,12.0,8.0,-7.286034911899342,-10.098774858693051
4,3,187.29112172943826,21.6,14.714285714285715,0.3,3.0,4.0,7.0,7.0,12.0,-6.715024890161495,-11.910906404400539
7,1,196.81623481867055,22.685714285714287,11.95,0.8,4.0,3.0,4.0,7.0,7.0,-6.144014868423651,-9.033935386005462
4,2,243.04062536849202,24.128571428571433,15.857142857142858,0.3,7.0,4.0,3.0,4.0,7.0,-5.573004846685803,-5.557605393251411
5,2,404.91886144196786,25.385714285714286,17.45,0.0,4.0,7.0,4.0,3.0,4.0,-5.0019948249479596,-5.32166001588197
6,3,209.32060217530037,24.82857142857143,13.092857142857143,0.0,5.0,4.0,7.0,4.0,3.0,-4.430984803210113,-0.6369966897945922
6,1,147.42485303268788,25.985714285714284,16.885714285714286,0.0,6.0,5.0,4.0,7.0,4.0,-3.859974781472268,0.3297179183440768
11,2,166.79307191144673,26.91428571428571,15.285714285714285,0.0,6.0,6.0,5.0,4.0,7.0,-3.288964759734421,5.940663295713512
2,1,137.37682519833885,27.314285714285717,16.428571428571427,0.0,11.0,6.0,6.0,5.0,4.0,-2.7179547379965765,4.96827533974962
6,2,140.48754077511217,27.87142857142857,16.885714285714286,0.0,2.0,11.0,6.0,6.0,5.0,-2.1469447162587323,-5.420824433239863
1,3,155.94506986717172,28.02857142857143,19.65714285714285,0.0,6.0,2.0,11.0,6.0,6.0,-1.5759346945208854,-13.884338291390026
1,2,298.2069429921869,27.942857142857147,18.15,0.0,1.0,6.0,2.0,11.0,6.0,-1.004924672783039,-5.738877790565822
9,3,139.67325438478147,28.02857142857143,19.06428571428572,0.0,1.0,1.0,6.0,2.0,11.0,-0.4339146510451943,9.762351941027609
6,1,160.70036123242247,28.40000000000001,16.55,0.0,9.0,1.0,1.0,6.0,2.0,0.13709537069265032,2.3629406469800123
