date,demand,civilians_rank,distance
2014-02-11,62,2,159.98611276654668
2014-02-18,106,3,163.489738777563
2014-02-25,60,1,246.2899429166637
2014-03-04,49,2,264.1132733307715
2014-03-11,82,3,231.33095211468566
2014-03-18,106,2,144.40668466006133
2014-03-25,61,4,244.8754863754608
2014-04-01,89,2,316.91085895810045
2014-04-08,80,4,278.3157747216301
2014-04-15,68,4,150.5467487191338
2014-04-22,70,2,203.5695670556664
2014-04-29,58,3,134.50350458080393
2014-05-06,65,3,171.14750310169006
2014-05-13,114,3,224.5389332868084
2014-05-20,94,3,155.38830661683824
2014-05-27,103,1,158.32790812801647
2014-06-03,95,2,221.72564598648083
2014-06-10,114,2,388.9571769963118
2014-06-17,67,3,203.91777922854146
2014-06-24,51,1,151.38852626192013
2014-07-01,58,2,156.57328905189775
2014-07-08,86,1,142.20932151761502
2014-07-15,50,2,138.5196039382167
2014-07-22,44,3,139.80512555796142
2014-07-29,38,2,287.70612039690474
2014-08-05,39,3,138.60799647929295
2014-08-12,39,1,138.72947912932148
2014-08-19,60,4,152.1570146606666
2014-08-26,68,2,140.35075927291882
2014-09-02,78,1,140.51583307609846
2014-09-09,61,2,210.15648967129678
2014-09-16,62,2,127.68577111437149
2014-09-23,51,1,158.59826831992697
2014-09-30,52,1,251.96159610520385
2014-10-07,16,3,120.26244551510351
2014-10-14,63,1,141.70898315820412
2014-10-21,64,2,241.269479438795
2014-10-28,75,1,121.2296599827298
2014-11-04,50,1,234.01050395106338
2014-11-11,73,2,237.09754485573674
2014-11-18,88,3,176.18147371500538
2014-11-25,51,1,261.9147598367712
2014-12-02,67,3,134.393734517519
2014-12-09,68,1,167.50560593542014
2014-12-16,74,2,261.457238154341
2014-12-23,56,2,491.394636770253
2014-12-30,64,4,319.498671941728
2015-01-06,64,2,236.8490643520759
2015-01-13,64,1,511.7760807547797
2015-01-20,85,1,378.4098319062547
2015-01-27,95,1,342.04500762797335
2015-02-03,102,2,238.2593286643031
2015-02-10,63,3,328.21376989662764
2015-02-17,88,1,137.89196640059237
2015-02-24,73,2,434.52163652403084
2015-03-03,107,2,529.2205090613355
2015-03-10,93,1,668.8810772298386
2015-03-17,73,1,278.0753279508005
2015-03-24,72,3,287.2448691716446
2015-03-31,66,2,392.8115727000725
2015-04-07,57,1,249.79011004945184
2015-04-14,71,1,333.07868317493063
2015-04-21,77,2,235.0583756769028
2015-04-28,56,3,332.6924391872425
2015-05-05,60,3,144.99572085524701
2015-05-12,60,3,251.63810573525055
2015-05-19,60,1,155.02993560344143
2015-05-26,77,3,406.1898188511355
2015-06-02,71,1,488.3615268611296
2015-06-09,94,2,141.39110247532528
2015-06-16,80,3,239.46691351095112
2015-06-23,78,1,273.94801411654163
2015-06-30,56,4,360.10442926713137
2015-07-07,55,1,396.4088883050607
2015-07-14,30,1,252.19411319528686
2015-07-21,38,1,158.61879215769974
2015-07-28,34,2,160.09739658610275
2015-08-04,44,3,214.85438926836213
2015-08-11,46,2,328.4506766388863
2015-08-18,65,3,234.23798697906426
2015-08-25,39,2,152.15397252145584
2015-09-01,46,1,152.9202433964371
2015-09-08,73,1,143.30540338989647
2015-09-15,60,1,124.90719360421714
2015-09-22,70,2,120.11121493277264
2015-09-29,47,1,123.60917788305954
2015-10-06,64,2,153.85731434366443
2015-10-13,68,2,145.04687997590838
2015-10-20,66,3,135.54905812514548
2015-10-27,64,2,145.46682493624232
2015-11-03,82,3,271.438602510306
2015-11-10,88,4,263.05949130140715
2015-11-17,64,3,310.1821045170236
2015-11-24,69,3,223.79669465417254
2015-12-01,63,3,162.39738766956145
2015-12-08,89,2,245.7364223706256
2015-12-15,71,4,217.24995999179643
2015-12-22,66,3,265.00806860189056
2015-12-29,60,2,228.00801663131847
2016-01-05,46,1,187.5912648184849
2016-01-12,58,3,247.59080064555252
2016-01-19,82,1,261.14588935713857
2016-01-26,73,2,207.6128084931577
2016-02-02,97,3,529.1215034424091
2016-02-09,110,3,316.8258414835159
2016-02-16,125,2,233.04738922160604
2016-02-23,98,2,325.65167307528577
2016-03-01,115,3,316.06531566758287
2016-03-08,77,1,297.8261133900001
2016-03-15,90,1,176.8307052438284
2016-03-22,86,1,389.19186137525804
2016-03-29,81,1,345.5434381918775
2016-04-05,67,1,426.50300918267294
2016-04-12,91,1,185.67930082261287
2016-04-19,95,4,278.72289816077785
2016-04-26,78,4,264.64129452282185
2016-05-03,93,4,248.08211729070683
2016-05-10,85,3,321.68791847972136
2016-05-17,84,3,225.23396782581676
2016-05-24,86,4,284.4278330801852
2016-05-31,59,4,172.84445377371605
2016-06-07,64,4,270.53253819311095
2016-06-14,70,4,283.7387196792672
2016-06-21,74,4,222.5065362892579
2016-06-28,62,4,167.81574636460223
2016-07-05,42,4,229.90341897508011
2016-07-12,33,4,181.68071007556847
2016-07-19,53,4,182.74981586967687
2016-07-26,42,4,166.5802264329663
2016-08-02,64,4,177.75829421796763
2016-08-09,45,4,172.12768811348565
2016-08-16,52,4,179.0198613680544
2016-08-23,37,4,344.72824105169923
2016-08-30,46,4,158.85920697142106
2016-09-06,56,4,153.64198921366315
2016-09-13,22,4,164.34521740351278
2016-09-20,57,4,265.8666190081093
2016-09-27,57,4,282.94747548703083
2016-10-04,87,4,162.7416312101989
2016-10-11,89,4,167.57959067602346
2016-10-18,95,4,159.2683967975012
2016-10-25,92,3,160.4930369064086
2016-11-01,74,3,156.08491401674925
2016-11-08,91,4,217.84603761884497
2016-11-15,75,4,150.28471606655762
2016-11-22,87,4,151.13176240892216
2016-11-29,96,4,151.99436438464355
2016-12-06,88,4,168.5609965208124
2016-12-13,128,4,172.0474593165351
2016-12-20,81,1,185.44505788373817
2016-12-27,58,3,155.4705921828375
2017-01-03,31,2,182.7531487800263
