date,demand,civilians_rank,distance,AverageTemp,AverageWindSpeed,Precipitation,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-04,200,1,142.5365490045076,14.928571428571427,8.507142857142858,7.1,149.0,235.0,151.0,151.0,202.50022657271006,-8.911383903650774
2014-02-11,194,2,159.98611276654668,13.885714285714286,8.850000000000003,0.0,200.0,149.0,235.0,151.0,202.24213275518974,41.69708326629189
2014-02-18,200,3,163.489738777563,16.214285714285715,10.114285714285714,26.2,194.0,200.0,149.0,235.0,201.98403893766948,20.722217102901226
2014-02-25,197,1,246.2899429166637,17.228571428571428,12.750000000000002,7.1,200.0,194.0,200.0,149.0,201.7259451201492,16.785812477972087
2014-03-04,204,2,264.1132733307715,17.085714285714285,15.857142857142856,7.1,197.0,200.0,194.0,200.0,201.46785130262887,12.003254006889136
2014-03-11,195,3,231.33095211468566,19.285714285714285,17.585714285714285,19.1,204.0,197.0,200.0,194.0,201.20975748510853,7.111721176831773
2014-03-18,187,2,144.40668466006133,15.957142857142856,16.657142857142855,22.200000000000006,195.0,204.0,197.0,200.0,200.95166366758824,20.31313706472318
2014-03-25,193,4,244.8754863754608,17.942857142857143,10.564285714285717,0.6,187.0,195.0,204.0,197.0,200.6935698500679,3.838270901332532
2014-04-01,242,2,316.91085895810045,16.585714285714285,14.578571428571431,0.0,193.0,187.0,195.0,204.0,200.4354760325476,1.2864816610187697
2014-04-08,154,4,278.3157747216301,19.04285714285714,13.785714285714285,0.3,242.0,193.0,187.0,195.0,200.1773822150273,1.718666779679392
2014-04-15,237,4,150.5467487191338,18.585714285714285,14.014285714285714,17.3,154.0,242.0,193.0,187.0,199.91928839750702,-30.916455793967685
2014-04-22,235,2,203.5695670556664,21.185714285714287,12.871428571428574,0.3,237.0,154.0,242.0,193.0,199.6611945799867,4.256113940077541
2014-04-29,175,3,134.50350458080393,22.142857142857146,12.978571428571426,0.3,235.0,237.0,154.0,242.0,199.40310076246638,11.72996572540482
2014-05-06,243,3,171.14750310169006,23.728571428571428,14.592857142857143,0.0,175.0,235.0,237.0,154.0,199.1450069449461,-24.70964402772941
2014-05-13,237,3,224.5389332868084,20.785714285714285,14.242857142857144,26.9,243.0,175.0,235.0,237.0,198.88691312742577,1.9725410909311933
2014-05-20,208,3,155.38830661683824,21.6,14.714285714285715,0.3,237.0,243.0,175.0,235.0,198.62881930990542,12.302162107027721
2014-05-27,273,1,158.32790812801647,22.685714285714287,11.95,0.8,208.0,237.0,243.0,175.0,198.37072549238513,-3.650268158927057
2014-06-03,183,2,221.72564598648083,24.128571428571433,15.857142857142858,0.3,273.0,208.0,237.0,243.0,198.11263167486484,21.38448106229765
2014-06-10,207,2,388.9571769963118,25.385714285714286,17.45,0.0,183.0,273.0,208.0,237.0,197.85453785734447,-24.47179535750327
2014-06-17,221,3,203.91777922854146,24.82857142857143,13.092857142857143,0.0,207.0,183.0,273.0,208.0,197.59644403982418,-9.888969213201626
2014-06-24,219,1,151.38852626192013,25.985714285714284,16.885714285714286,0.0,221.0,207.0,183.0,273.0,197.33835022230392,-7.453578966335896
2014-07-01,193,2,156.57328905189775,26.91428571428571,15.285714285714285,0.0,219.0,221.0,207.0,183.0,197.0802564047836,-17.540624616906037
2014-07-08,224,1,142.20932151761502,27.314285714285717,16.428571428571427,0.0,193.0,219.0,221.0,207.0,196.8221625872633,-21.948183087988987
2014-07-15,194,2,138.5196039382167,27.87142857142857,16.885714285714286,0.0,224.0,193.0,219.0,221.0,196.56406876974296,-33.99797531424648
2014-07-22,178,3,139.80512555796142,28.02857142857143,19.65714285714285,0.0,194.0,224.0,193.0,219.0,196.30597495222267,-43.783424229214944
2014-07-29,103,2,287.70612039690474,27.942857142857147,18.15,0.0,178.0,194.0,224.0,193.0,196.04788113470238,-26.392591092901373
2014-08-05,174,3,138.60799647929295,28.02857142857143,19.06428571428572,0.0,103.0,178.0,194.0,224.0,192.00961538461542,-29.187213466245066
2014-08-12,166,1,138.72947912932148,28.40000000000001,16.55,0.0,174.0,103.0,178.0,194.0,192.8173076923077,-3.9048474998741365
2014-08-19,191,4,152.1570146606666,28.657142857142862,16.435714285714287,0.0,166.0,174.0,103.0,178.0,193.42307692307702,-4.5487635847852905
2014-08-26,170,2,140.35075927291882,28.500000000000004,11.714285714285712,0.0,191.0,166.0,174.0,103.0,194.0192307692308,12.038089561072832
2014-09-02,177,1,140.51583307609846,29.442857142857147,14.014285714285714,0.0,170.0,191.0,166.0,174.0,194.25000000000003,-14.054544472556262
2014-09-09,214,2,210.15648967129678,28.571428571428577,11.6,0.0,177.0,170.0,191.0,166.0,194.34615384615384,18.936154827148
2014-09-16,173,2,127.68577111437149,28.1,15.164285714285715,0.0,214.0,177.0,170.0,191.0,194.8365384615384,1.9557002806984196
2014-09-23,169,1,158.59826831992697,27.7,14.235714285714286,0.0,173.0,214.0,177.0,170.0,195.70192307692304,-21.03116452216144
2014-09-30,165,1,251.96159610520385,26.6,22.300000000000004,16.0,169.0,173.0,214.0,177.0,196.31730769230762,-14.601362658354617
2014-10-07,98,3,120.26244551510351,25.342857142857138,13.192857142857141,8.9,165.0,169.0,173.0,214.0,196.11538461538458,-24.229253102240094
2014-10-14,212,1,141.70898315820412,25.17142857142857,10.678571428571429,5.8,98.0,165.0,169.0,173.0,195.9326923076923,-22.257784571766628
2014-10-21,173,2,241.269479438795,22.7,15.971428571428573,29.800000000000004,212.0,98.0,165.0,169.0,195.72115384615387,25.95406857409147
