date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-04,200,1,149.0,235.0,151.0,151.0,202.50022657271006,-8.911383903650774
2014-02-11,194,2,200.0,149.0,235.0,151.0,202.24213275518974,41.69708326629189
2014-02-18,200,3,194.0,200.0,149.0,235.0,201.98403893766948,20.722217102901226
2014-02-25,197,1,200.0,194.0,200.0,149.0,201.7259451201492,16.785812477972087
2014-03-04,204,2,197.0,200.0,194.0,200.0,201.46785130262887,12.003254006889136
2014-03-11,195,3,204.0,197.0,200.0,194.0,201.20975748510853,7.111721176831773
2014-03-18,187,2,195.0,204.0,197.0,200.0,200.95166366758824,20.31313706472318
2014-03-25,193,4,187.0,195.0,204.0,197.0,200.6935698500679,3.838270901332532
2014-04-01,242,2,193.0,187.0,195.0,204.0,200.4354760325476,1.2864816610187697
2014-04-08,154,4,242.0,193.0,187.0,195.0,200.1773822150273,1.718666779679392
2014-04-15,237,4,154.0,242.0,193.0,187.0,199.91928839750702,-30.916455793967685
2014-04-22,235,2,237.0,154.0,242.0,193.0,199.6611945799867,4.256113940077541
2014-04-29,175,3,235.0,237.0,154.0,242.0,199.40310076246638,11.72996572540482
2014-05-06,243,3,175.0,235.0,237.0,154.0,199.1450069449461,-24.70964402772941
2014-05-13,237,3,243.0,175.0,235.0,237.0,198.88691312742577,1.9725410909311933
2014-05-20,208,3,237.0,243.0,175.0,235.0,198.62881930990542,12.302162107027721
2014-05-27,273,1,208.0,237.0,243.0,175.0,198.37072549238513,-3.650268158927057
2014-06-03,183,2,273.0,208.0,237.0,243.0,198.11263167486484,21.38448106229765
2014-06-10,207,2,183.0,273.0,208.0,237.0,197.85453785734447,-24.47179535750327
2014-06-17,221,3,207.0,183.0,273.0,208.0,197.59644403982418,-9.888969213201626
2014-06-24,219,1,221.0,207.0,183.0,273.0,197.33835022230392,-7.453578966335896
2014-07-01,193,2,219.0,221.0,207.0,183.0,197.0802564047836,-17.540624616906037
2014-07-08,224,1,193.0,219.0,221.0,207.0,196.8221625872633,-21.948183087988987
2014-07-15,194,2,224.0,193.0,219.0,221.0,196.56406876974296,-33.99797531424648
2014-07-22,178,3,194.0,224.0,193.0,219.0,196.30597495222267,-43.783424229214944
2014-07-29,103,2,178.0,194.0,224.0,193.0,196.04788113470238,-26.392591092901373
2014-08-05,174,3,103.0,178.0,194.0,224.0,192.00961538461542,-29.187213466245066
2014-08-12,166,1,174.0,103.0,178.0,194.0,192.8173076923077,-3.9048474998741365
2014-08-19,191,4,166.0,174.0,103.0,178.0,193.42307692307702,-4.5487635847852905
2014-08-26,170,2,191.0,166.0,174.0,103.0,194.0192307692308,12.038089561072832
2014-09-02,177,1,170.0,191.0,166.0,174.0,194.25000000000003,-14.054544472556262
2014-09-09,214,2,177.0,170.0,191.0,166.0,194.34615384615384,18.936154827148
2014-09-16,173,2,214.0,177.0,170.0,191.0,194.8365384615384,1.9557002806984196
2014-09-23,169,1,173.0,214.0,177.0,170.0,195.70192307692304,-21.03116452216144
2014-09-30,165,1,169.0,173.0,214.0,177.0,196.31730769230762,-14.601362658354617
2014-10-07,98,3,165.0,169.0,173.0,214.0,196.11538461538458,-24.229253102240094
2014-10-14,212,1,98.0,165.0,169.0,173.0,195.9326923076923,-22.257784571766628
2014-10-21,173,2,212.0,98.0,165.0,169.0,195.72115384615387,25.95406857409147
2014-10-28,193,1,173.0,212.0,98.0,165.0,194.9423076923077,-2.9943346903068564
2014-11-04,167,1,193.0,173.0,212.0,98.0,194.73076923076923,4.925851788884587
2014-11-11,205,2,167.0,193.0,173.0,212.0,194.28846153846158,-23.727679680641927
2014-11-18,212,3,205.0,167.0,193.0,173.0,193.3076923076923,17.013019619062305
2014-11-25,190,1,212.0,205.0,167.0,193.0,192.9134615384616,4.333847123894762
2014-12-02,184,3,190.0,212.0,205.0,167.0,192.25000000000003,-1.175453576400987
2014-12-09,172,1,184.0,190.0,212.0,205.0,191.60576923076928,17.279989313046848
2014-12-16,169,2,172.0,184.0,190.0,212.0,191.49038461538458,16.57197066403316
2014-12-23,222,2,169.0,172.0,184.0,190.0,191.0480769230769,29.613952015019454
2014-12-30,195,4,222.0,169.0,172.0,184.0,190.4230769230769,51.77452310959553
2015-01-06,168,2,195.0,222.0,169.0,172.0,189.72115384615384,59.43829933237669
2015-01-13,157,1,168.0,195.0,222.0,169.0,188.72115384615387,-4.161308379414094
2015-01-20,190,1,157.0,168.0,195.0,222.0,187.61538461538458,-9.094000687106387
2015-01-27,216,1,190.0,157.0,168.0,195.0,186.4615384615385,-8.324769917875656
2015-02-03,217,2,216.0,190.0,157.0,168.0,186.59615384615387,-8.911383903650774
2015-02-10,240,3,217.0,216.0,190.0,157.0,187.2019230769231,41.69708326629189
2015-02-17,216,1,240.0,217.0,216.0,190.0,186.97115384615387,20.722217102901226
2015-02-24,205,2,216.0,240.0,217.0,216.0,186.83653846153848,16.785812477972087
2015-03-03,206,2,205.0,216.0,240.0,217.0,186.77884615384616,12.003254006889136
2015-03-10,244,1,206.0,205.0,216.0,240.0,187.00000000000009,7.111721176831773
2015-03-17,228,1,244.0,206.0,205.0,216.0,186.6923076923077,20.31313706472318
2015-03-24,216,3,228.0,244.0,206.0,205.0,186.3173076923077,3.838270901332532
2015-03-31,198,2,216.0,228.0,244.0,206.0,186.52884615384616,1.2864816610187697
2015-04-07,179,1,198.0,216.0,228.0,244.0,185.8173076923077,1.718666779679392
2015-04-14,190,1,179.0,198.0,216.0,228.0,185.71153846153848,-30.916455793967685
2015-04-21,201,2,190.0,179.0,198.0,216.0,186.10576923076923,4.256113940077541
2015-04-28,187,3,201.0,190.0,179.0,198.0,185.77884615384616,11.72996572540482
2015-05-05,185,3,187.0,201.0,190.0,179.0,185.63461538461536,-24.70964402772941
2015-05-12,193,3,185.0,187.0,201.0,190.0,185.41346153846158,1.9725410909311933
2015-05-19,211,1,193.0,185.0,187.0,201.0,185.11538461538458,12.302162107027721
2015-05-26,201,3,211.0,193.0,185.0,187.0,184.46153846153842,-3.650268158927057
2015-06-02,188,1,201.0,211.0,193.0,185.0,183.65384615384613,21.38448106229765
2015-06-09,190,2,188.0,201.0,211.0,193.0,183.3269230769231,-24.47179535750327
2015-06-16,192,3,190.0,188.0,201.0,211.0,183.3269230769231,-9.888969213201626
2015-06-23,183,1,192.0,190.0,188.0,201.0,183.65384615384616,-7.453578966335896
2015-06-30,156,4,183.0,192.0,190.0,188.0,183.96153846153848,-17.540624616906037
2015-07-07,157,1,156.0,183.0,192.0,190.0,184.3942307692308,-21.948183087988987
2015-07-14,146,1,157.0,156.0,183.0,192.0,185.13461538461542,-33.99797531424648
2015-07-21,106,1,146.0,157.0,156.0,183.0,185.6923076923077,-43.783424229214944
2015-07-28,189,2,106.0,146.0,157.0,156.0,185.72115384615387,-26.392591092901373
2015-08-04,151,3,189.0,106.0,146.0,157.0,185.0865384615385,-29.187213466245066
2015-08-11,165,2,151.0,189.0,106.0,146.0,185.37500000000003,-3.9048474998741365
2015-08-18,178,3,165.0,151.0,189.0,106.0,185.6442307692308,-4.5487635847852905
2015-08-25,177,2,178.0,165.0,151.0,189.0,185.23076923076923,12.038089561072832
2015-09-01,193,1,177.0,178.0,165.0,151.0,185.22115384615387,-14.054544472556262
2015-09-08,166,1,193.0,177.0,178.0,165.0,185.0961538461539,18.936154827148
2015-09-15,182,1,166.0,193.0,177.0,178.0,184.49038461538464,1.9557002806984196
2015-09-22,182,2,182.0,166.0,193.0,177.0,183.52884615384616,-21.03116452216144
2015-09-29,78,1,182.0,182.0,166.0,193.0,182.5673076923077,-14.601362658354617
2015-10-06,174,2,78.0,182.0,182.0,166.0,181.59615384615384,-24.229253102240094
2015-10-13,177,2,174.0,78.0,182.0,182.0,180.8076923076923,-22.257784571766628
2015-10-20,174,3,177.0,174.0,78.0,182.0,180.32692307692304,25.95406857409147
2015-10-27,177,2,174.0,177.0,174.0,78.0,179.89423076923077,-2.9943346903068564
2015-11-03,160,3,177.0,174.0,177.0,174.0,179.28846153846152,4.925851788884587
2015-11-10,181,4,160.0,177.0,174.0,177.0,178.63461538461536,-23.727679680641927
2015-11-17,168,3,181.0,160.0,177.0,174.0,178.33653846153848,17.013019619062305
2015-11-24,150,3,168.0,181.0,160.0,177.0,177.71153846153842,4.333847123894762
2015-12-01,190,3,150.0,168.0,181.0,160.0,176.84615384615387,-1.175453576400987
2015-12-08,166,2,190.0,150.0,168.0,181.0,176.0673076923077,17.279989313046848
2015-12-15,209,4,166.0,190.0,150.0,168.0,175.25000000000003,16.57197066403316
2015-12-22,214,3,209.0,166.0,190.0,150.0,174.50961538461542,29.613952015019454
2015-12-29,248,2,214.0,209.0,166.0,190.0,173.59615384615387,51.77452310959553
2016-01-05,192,1,248.0,214.0,209.0,166.0,173.25,59.43829933237669
2016-01-12,191,3,192.0,248.0,214.0,209.0,172.77884615384616,-4.161308379414094
