date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2016-05-17,119,3,92.0,127.0,139.0,127.0,114.0,102.32692307692308,-12.556647414504207
2016-05-24,131,4,119.0,92.0,127.0,139.0,127.0,101.69230769230768,0.6283648322489341
2016-05-31,145,4,131.0,119.0,92.0,127.0,139.0,101.28846153846152,8.197992463617453
2016-06-07,161,4,145.0,131.0,119.0,92.0,127.0,100.69230769230766,11.863773941139831
2016-06-14,113,4,161.0,145.0,131.0,119.0,92.0,99.84615384615385,21.654555418662184
2016-06-21,85,4,113.0,161.0,145.0,131.0,119.0,98.98076923076924,4.954952280799943
2016-06-28,78,4,85.0,113.0,161.0,145.0,131.0,99.04807692307692,-5.210997010908457
2016-07-05,72,4,78.0,85.0,113.0,161.0,145.0,100.25,-10.944253994924553
2016-07-12,47,4,72.0,78.0,85.0,113.0,161.0,111.984842012676,-15.443970446817115
2016-07-19,91,4,47.0,72.0,78.0,85.0,113.0,113.24943290378513,-33.70856133792623
2016-07-26,77,4,91.0,47.0,72.0,78.0,85.0,114.51402379489424,-19.47315222903533
2016-08-02,63,4,77.0,91.0,47.0,72.0,78.0,115.77861468600334,-15.737743120144438
2016-08-09,96,4,63.0,77.0,91.0,47.0,72.0,117.04320557711245,-26.002334011253552
2016-08-16,78,4,96.0,63.0,77.0,91.0,47.0,118.30779646822157,-14.266924902362653
2016-08-23,207,4,78.0,96.0,63.0,77.0,91.0,119.57238735933065,-20.03151579347177
2016-08-30,135,4,207.0,78.0,96.0,63.0,77.0,120.83697825043976,38.703893315419116
2016-09-06,120,4,135.0,207.0,78.0,96.0,63.0,122.10156914154888,6.939302424310014
2016-09-13,70,4,120.0,135.0,207.0,78.0,96.0,123.366160032658,-6.325288466799093
2016-09-20,129,4,70.0,120.0,135.0,207.0,78.0,124.63075092376712,-33.58987935790821
2016-09-27,123,4,129.0,70.0,120.0,135.0,207.0,125.89534181487622,-0.8544702490173179
2016-10-04,136,4,123.0,129.0,70.0,120.0,135.0,127.15993270598531,-17.619061140126426
2016-10-11,116,4,136.0,123.0,129.0,70.0,120.0,128.42452359709443,13.199246598474845
2016-10-18,136,4,116.0,136.0,123.0,129.0,70.0,129.6891144882035,1.538104999074143
2016-10-25,145,3,136.0,116.0,136.0,123.0,129.0,130.95370537931265,26.295232630442648
2016-11-01,113,3,145.0,136.0,116.0,136.0,123.0,132.21829627042177,53.917744877195794
2016-11-08,84,4,113.0,145.0,136.0,116.0,136.0,133.48288716153087,34.53544943164125
2016-11-15,104,4,84.0,113.0,145.0,136.0,116.0,134.74747805263996,15.379115524548233
2016-11-22,83,4,104.0,84.0,113.0,145.0,136.0,136.01206894374909,20.761243155916745
2016-11-29,63,4,83.0,104.0,84.0,113.0,145.0,137.27665983485818,-1.0248984434839556
2016-12-06,68,4,63.0,83.0,104.0,84.0,113.0,138.5412507259673,-13.945655427500055
2016-12-13,67,4,68.0,63.0,83.0,104.0,84.0,139.8058416170764,-7.02025856536229
2016-12-20,138,1,67.0,68.0,63.0,83.0,104.0,141.07043250818555,-12.84966939553224
2016-12-27,161,3,138.0,67.0,68.0,63.0,83.0,142.33502339929458,11.30168900506707
2017-01-03,48,2,161.0,138.0,67.0,68.0,63.0,143.59961429040374,19.654970482589434
