date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,62,2,67.0,51.0,69.0,21.0,45.0,70.65280441192887,19.41111720868989
2014-02-18,106,3,62.0,67.0,51.0,69.0,21.0,70.58741273666995,9.000222126083893
2014-02-25,60,1,106.0,62.0,67.0,51.0,69.0,70.52202106141105,37.02842960758045
2014-03-04,49,2,60.0,106.0,62.0,67.0,51.0,70.45662938615213,7.841893499333433
2014-03-11,82,3,49.0,60.0,106.0,62.0,67.0,70.39123771089322,21.398947134676146
2014-03-18,106,2,82.0,49.0,60.0,106.0,62.0,70.3258460356343,15.206000770018857
2014-03-25,61,4,106.0,82.0,49.0,60.0,106.0,70.26045436037539,21.038695431002594
2014-04-01,89,2,61.0,106.0,82.0,49.0,60.0,70.19506268511647,4.502800348396595
2014-04-08,80,4,89.0,61.0,106.0,82.0,49.0,70.12967100985755,10.15600782989316
2014-04-15,68,4,80.0,89.0,61.0,106.0,82.0,70.06427933459864,-0.7324513552769455
2014-04-22,70,2,68.0,80.0,89.0,61.0,106.0,69.99888765933972,7.645115100578597
2014-04-29,58,3,70.0,68.0,80.0,89.0,61.0,69.93349598408079,11.484220017972598
2014-05-06,65,3,58.0,70.0,68.0,80.0,89.0,69.86810430882188,-5.31449557745393
2014-05-13,114,3,65.0,58.0,70.0,68.0,80.0,69.80271263356296,3.242558057888786
2014-05-20,94,3,114.0,65.0,58.0,70.0,68.0,69.73732095830404,16.796406565026373
2014-05-27,103,1,94.0,114.0,65.0,58.0,70.0,69.67192928304513,9.802178149087046
2014-06-03,95,2,103.0,94.0,114.0,65.0,58.0,69.60653760778622,19.08359075878873
2014-06-10,114,2,95.0,103.0,94.0,114.0,65.0,69.5411459325273,5.230387983875043
2014-06-17,67,3,114.0,95.0,103.0,94.0,114.0,69.47575425726838,20.761800593576734
2014-06-24,51,1,67.0,114.0,95.0,103.0,94.0,69.41036258200947,2.2130849981502174
2014-07-01,58,2,51.0,67.0,114.0,95.0,103.0,69.34497090675055,-2.6849895716352754
2014-07-08,86,1,58.0,51.0,67.0,114.0,95.0,69.27957923149164,-11.724089782446407
2014-07-15,50,2,86.0,58.0,51.0,67.0,114.0,69.21418755623272,-8.9531651906604
2014-07-22,44,3,50.0,86.0,58.0,51.0,67.0,69.1487958809738,-32.22793905577192
2014-07-29,38,2,44.0,50.0,86.0,58.0,51.0,69.08340420571488,-24.884123177293702
2014-08-05,39,3,38.0,44.0,50.0,86.0,58.0,69.01801253045596,-31.82235858086677
2014-08-12,39,1,39.0,38.0,44.0,50.0,86.0,68.87500000000001,-20.72831010963056
2014-08-19,60,4,39.0,39.0,38.0,44.0,50.0,69.22115384615385,-26.685137610084794
2014-08-26,68,2,60.0,39.0,39.0,38.0,44.0,69.05769230769232,-11.273375366949296
2014-09-02,78,1,68.0,60.0,39.0,39.0,38.0,69.00961538461542,-22.496228508429184
2014-09-09,61,2,78.0,68.0,60.0,39.0,39.0,69.69230769230772,-14.203056008883415
2014-09-16,62,2,61.0,78.0,68.0,60.0,39.0,70.35576923076924,-7.77206299651714
2014-09-23,51,1,62.0,61.0,78.0,68.0,60.0,70.14423076923077,-23.078249471330352
2014-09-30,52,1,51.0,62.0,61.0,78.0,68.0,69.93269230769232,-11.813923125630744
2014-10-07,16,3,52.0,51.0,62.0,61.0,78.0,69.81730769230771,-19.24190447223884
2014-10-14,63,1,16.0,52.0,51.0,62.0,61.0,69.37500000000001,-15.548090947052055
2014-10-21,64,2,63.0,16.0,52.0,51.0,62.0,69.18269230769232,2.0463636037757595
2014-10-28,75,1,64.0,63.0,16.0,52.0,51.0,69.27884615384616,3.519023282808708
2014-11-04,50,1,75.0,64.0,63.0,16.0,52.0,69.32692307692308,5.3346316797903635
2014-11-11,73,2,50.0,75.0,64.0,63.0,16.0,69.25961538461536,-3.1927086411766936
2014-11-18,88,3,73.0,50.0,75.0,64.0,63.0,68.69230769230771,12.103668986574194
2014-11-25,51,1,88.0,73.0,50.0,75.0,64.0,67.84615384615387,3.855174819453277
2014-12-02,67,3,51.0,88.0,73.0,50.0,75.0,67.26923076923079,-2.765114219462504
2014-12-09,68,1,67.0,51.0,88.0,73.0,50.0,66.78846153846153,3.697930074955063
2014-12-16,74,2,68.0,67.0,51.0,88.0,73.0,66.36538461538461,10.266743600141842
2014-12-23,56,2,74.0,68.0,67.0,51.0,88.0,66.29807692307692,19.710557125328624
2014-12-30,64,4,56.0,74.0,68.0,67.0,51.0,66.68269230769229,-3.746270375125609
2015-01-06,64,2,64.0,56.0,74.0,68.0,67.0,66.92307692307689,-10.872969670451631
2015-01-13,64,1,64.0,64.0,56.0,74.0,68.0,66.60576923076924,-13.752691577077401
2015-01-20,85,1,64.0,64.0,64.0,56.0,74.0,66.11538461538461,-7.459422346308159
2015-01-27,95,1,85.0,64.0,64.0,64.0,56.0,65.86538461538464,15.079039192153369
2015-02-03,102,2,95.0,85.0,64.0,64.0,64.0,65.76923076923077,15.516539192153358
2015-02-10,63,3,102.0,95.0,85.0,64.0,64.0,65.77884615384616,19.41111720868989
2015-02-17,88,1,63.0,102.0,95.0,85.0,64.0,65.89423076923077,9.000222126083893
2015-02-24,73,2,88.0,63.0,102.0,95.0,85.0,66.00961538461539,37.02842960758045
2015-03-03,107,2,73.0,88.0,63.0,102.0,95.0,65.77884615384616,7.841893499333433
2015-03-10,93,1,107.0,73.0,88.0,63.0,102.0,65.19230769230771,21.398947134676146
2015-03-17,73,1,93.0,107.0,73.0,88.0,63.0,65.00000000000001,15.206000770018857
2015-03-24,72,3,73.0,93.0,107.0,73.0,88.0,65.09615384615385,21.038695431002594
2015-03-31,66,2,72.0,73.0,93.0,107.0,73.0,65.25961538461539,4.502800348396595
2015-04-07,57,1,66.0,72.0,73.0,93.0,107.0,65.39423076923077,10.15600782989316
2015-04-14,71,1,57.0,66.0,72.0,73.0,93.0,65.80769230769229,-0.7324513552769455
2015-04-21,77,2,71.0,57.0,66.0,72.0,73.0,66.31730769230771,7.645115100578597
2015-04-28,56,3,77.0,71.0,57.0,66.0,72.0,66.38461538461539,11.484220017972598
2015-05-05,60,3,56.0,77.0,71.0,57.0,66.0,66.29807692307692,-5.31449557745393
2015-05-12,60,3,60.0,56.0,77.0,71.0,57.0,66.5,3.242558057888786
2015-05-19,60,1,60.0,60.0,56.0,77.0,71.0,66.95192307692308,16.796406565026373
2015-05-26,77,3,60.0,60.0,60.0,56.0,77.0,66.86538461538461,9.802178149087046
2015-06-02,71,1,77.0,60.0,60.0,60.0,56.0,66.80769230769229,19.08359075878873
2015-06-09,94,2,71.0,77.0,60.0,60.0,60.0,66.94230769230771,5.230387983875043
2015-06-16,80,3,94.0,71.0,77.0,60.0,60.0,67.10576923076924,20.761800593576734
2015-06-23,78,1,80.0,94.0,71.0,77.0,60.0,67.27884615384616,2.2130849981502174
2015-06-30,56,4,78.0,80.0,94.0,71.0,77.0,67.34615384615385,-2.6849895716352754
2015-07-07,55,1,56.0,78.0,80.0,94.0,71.0,67.40384615384616,-11.724089782446407
2015-07-14,30,1,55.0,56.0,78.0,80.0,94.0,67.19230769230771,-8.9531651906604
2015-07-21,38,1,30.0,55.0,56.0,78.0,80.0,66.96153846153847,-32.22793905577192
2015-07-28,34,2,38.0,30.0,55.0,56.0,78.0,66.875,-24.884123177293702
2015-08-04,44,3,34.0,38.0,30.0,55.0,56.0,66.6346153846154,-31.82235858086677
2015-08-11,46,2,44.0,34.0,38.0,30.0,55.0,66.37500000000001,-20.72831010963056
2015-08-18,65,3,46.0,44.0,34.0,38.0,30.0,66.77884615384616,-26.685137610084794
2015-08-25,39,2,65.0,46.0,44.0,34.0,38.0,67.58653846153847,-11.273375366949296
2015-09-01,46,1,39.0,65.0,46.0,44.0,34.0,68.18269230769232,-22.496228508429184
2015-09-08,73,1,46.0,39.0,65.0,46.0,44.0,68.5,-14.203056008883415
2015-09-15,60,1,73.0,46.0,39.0,65.0,46.0,68.42307692307692,-7.77206299651714
2015-09-22,70,2,60.0,73.0,46.0,39.0,65.0,68.43269230769229,-23.078249471330352
2015-09-29,47,1,70.0,60.0,73.0,46.0,39.0,68.73076923076923,-11.813923125630744
2015-10-06,64,2,47.0,70.0,60.0,73.0,46.0,69.0096153846154,-19.24190447223884
2015-10-13,68,2,64.0,47.0,70.0,60.0,73.0,69.25000000000001,-15.548090947052055
2015-10-20,66,3,68.0,64.0,47.0,70.0,60.0,69.53846153846155,2.0463636037757595
2015-10-27,64,2,66.0,68.0,64.0,47.0,70.0,69.90384615384615,3.519023282808708
2015-11-03,82,3,64.0,66.0,68.0,64.0,47.0,70.28846153846155,5.3346316797903635
2015-11-10,88,4,82.0,64.0,66.0,68.0,64.0,70.81730769230771,-3.1927086411766936
2015-11-17,64,3,88.0,82.0,64.0,66.0,68.0,71.375,12.103668986574194
2015-11-24,69,3,64.0,88.0,82.0,64.0,66.0,71.84615384615384,3.855174819453277
2015-12-01,63,3,69.0,64.0,88.0,82.0,64.0,72.16346153846155,-2.765114219462504
2015-12-08,89,2,63.0,69.0,64.0,88.0,82.0,72.13461538461539,3.697930074955063
2015-12-15,71,4,89.0,63.0,69.0,64.0,88.0,71.73076923076924,10.266743600141842
2015-12-22,66,3,71.0,89.0,63.0,69.0,64.0,71.34615384615384,19.710557125328624
2015-12-29,60,2,66.0,71.0,89.0,63.0,69.0,71.21153846153847,-3.746270375125609
2016-01-05,46,1,60.0,66.0,71.0,89.0,63.0,71.23076923076921,-10.872969670451631
2016-01-12,58,3,46.0,60.0,66.0,71.0,89.0,71.16346153846153,-13.752691577077401
2016-01-19,82,1,58.0,46.0,60.0,66.0,71.0,71.0673076923077,-7.459422346308159
2016-01-26,73,2,82.0,58.0,46.0,60.0,66.0,71.24038461538461,15.079039192153369
2016-02-02,97,3,73.0,82.0,58.0,46.0,60.0,71.46153846153848,15.516539192153358
2016-02-09,110,3,97.0,73.0,82.0,58.0,46.0,71.73076923076924,19.41111720868989
2016-02-16,125,2,110.0,97.0,73.0,82.0,58.0,71.91346153846155,9.000222126083893
2016-02-23,98,2,125.0,110.0,97.0,73.0,82.0,71.77884615384616,37.02842960758045
2016-03-01,115,3,98.0,125.0,110.0,97.0,73.0,71.63461538461537,7.841893499333433
2016-03-08,77,1,115.0,98.0,125.0,110.0,97.0,71.61538461538461,21.398947134676146
2016-03-15,90,1,77.0,115.0,98.0,125.0,110.0,71.45192307692308,15.206000770018857
2016-03-22,86,1,90.0,77.0,115.0,98.0,125.0,70.92307692307695,21.038695431002594
2016-03-29,81,1,86.0,90.0,77.0,115.0,98.0,70.4326923076923,4.502800348396595
2016-04-05,67,1,81.0,86.0,90.0,77.0,115.0,70.40384615384616,10.15600782989316
2016-04-12,91,1,67.0,81.0,86.0,90.0,77.0,70.72115384615384,-0.7324513552769455
2016-04-19,95,4,91.0,67.0,81.0,86.0,90.0,71.14423076923075,7.645115100578597
2016-04-26,78,4,95.0,91.0,67.0,81.0,86.0,71.62499999999999,11.484220017972598
2016-05-03,93,4,78.0,95.0,91.0,67.0,81.0,72.17307692307693,-5.31449557745393
2016-05-10,85,3,93.0,78.0,95.0,91.0,67.0,72.36538461538464,3.242558057888786
2016-05-17,84,3,85.0,93.0,78.0,95.0,91.0,72.31730769230771,16.796406565026373
2016-05-24,86,4,84.0,85.0,93.0,78.0,95.0,72.45192307692308,9.802178149087046
2016-05-31,59,4,86.0,84.0,85.0,93.0,78.0,72.73076923076924,19.08359075878873
2016-06-07,64,4,59.0,86.0,84.0,85.0,93.0,73.22115384615384,5.230387983875043
