date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-03-17,49,1,89.0,32.0,53.0,69.0,55.0,54.480769230769226,12.61013236306581
2015-03-24,72,3,49.0,89.0,32.0,53.0,69.0,54.5,4.477210527367145
2015-03-31,44,2,72.0,49.0,89.0,32.0,53.0,54.67307692307693,-5.479429257049474
2015-04-07,81,1,44.0,72.0,49.0,89.0,32.0,54.65384615384616,-1.0995305799276305
2015-04-14,35,1,81.0,44.0,72.0,49.0,89.0,55.11538461538462,21.719470661296786
2015-04-21,73,2,35.0,81.0,44.0,72.0,49.0,55.91346153846154,-5.54806655901726
2015-04-28,49,3,73.0,35.0,81.0,44.0,72.0,56.144230769230774,8.585037246309723
2015-05-05,55,3,49.0,73.0,35.0,81.0,44.0,56.365384615384606,-9.73057689708125
2015-05-12,54,3,55.0,49.0,73.0,35.0,81.0,56.509615384615394,-3.9372166814978655
2015-05-19,49,1,54.0,55.0,49.0,73.0,35.0,56.78846153846154,0.14781020075219273
2015-05-26,42,3,49.0,54.0,55.0,49.0,73.0,57.17307692307693,20.960401185566344
2015-06-02,61,1,42.0,49.0,54.0,55.0,49.0,57.52884615384616,-12.807136034747709
2015-06-09,70,2,61.0,42.0,49.0,54.0,55.0,57.93269230769232,10.082378026989524
2015-06-16,68,3,70.0,61.0,42.0,49.0,54.0,58.07692307692307,13.824456191290858
2015-06-23,61,1,68.0,70.0,61.0,42.0,49.0,57.97115384615384,3.2908933299511767
2015-06-30,58,4,61.0,68.0,70.0,61.0,42.0,58.20192307692307,-1.2843361980551828
2015-07-07,77,1,58.0,61.0,68.0,70.0,61.0,58.62500000000001,-11.221745213241036
2015-07-14,59,1,77.0,58.0,61.0,68.0,70.0,58.79807692307693,-3.418666177674597
2015-07-21,23,1,59.0,77.0,58.0,61.0,68.0,59.03846153846154,-29.811484287948737
2015-07-28,68,2,23.0,59.0,77.0,58.0,61.0,59.375,2.0969796530591704
2015-08-04,79,3,68.0,23.0,59.0,77.0,58.0,59.644230769230774,-3.972120508497023
2015-08-11,60,2,79.0,68.0,23.0,59.0,77.0,59.721153846153854,11.575682776041074
2015-08-18,66,3,60.0,79.0,68.0,23.0,59.0,60.19230769230769,4.979248039927139
2015-08-25,50,2,66.0,60.0,79.0,68.0,23.0,60.71153846153847,-4.613981567981674
2015-09-01,49,1,50.0,66.0,60.0,79.0,68.0,61.02884615384616,-3.7328522015315087
2015-09-08,49,1,49.0,50.0,66.0,60.0,79.0,61.865384615384635,-0.2876202709787794
2015-09-15,45,1,49.0,49.0,50.0,66.0,60.0,62.16346153846154,6.930047557009847
2015-09-22,72,2,45.0,49.0,49.0,50.0,66.0,62.41346153846154,-12.518951281668196
2015-09-29,8,1,72.0,45.0,49.0,49.0,50.0,62.8173076923077,-0.07371935111546847
2015-10-06,92,2,8.0,72.0,45.0,49.0,49.0,63.0673076923077,-2.8560515231268413
