date,demand,civilians_rank,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2015-03-17,3,1,13.0,3.0,5.0,3.0,6.0,15.740384615384615,-4.521594287904951
2015-03-24,5,3,3.0,13.0,3.0,5.0,3.0,16.64423076923077,-11.074110448997054
2015-03-31,4,2,5.0,3.0,13.0,3.0,5.0,17.317307692307693,-9.742011225473773
2015-04-07,7,1,4.0,5.0,3.0,13.0,3.0,17.5,-10.24965559169408
2015-04-14,3,1,7.0,4.0,5.0,3.0,13.0,17.894230769230774,-0.17396662458105538
2015-04-21,2,2,3.0,7.0,4.0,5.0,3.0,18.836538461538463,-5.123918683109051
2015-04-28,6,3,2.0,3.0,7.0,4.0,5.0,19.875,-5.843101510867823
2015-05-05,4,3,6.0,2.0,3.0,7.0,4.0,20.89423076923077,-3.886002287344534
2015-05-12,3,3,4.0,6.0,2.0,3.0,7.0,21.788461538461537,-10.098774858693051
2015-05-19,4,1,3.0,4.0,6.0,2.0,3.0,22.76923076923077,-11.910906404400539
2015-05-26,5,3,4.0,3.0,4.0,6.0,2.0,23.80769230769231,-9.033935386005462
2015-06-02,4,1,5.0,4.0,3.0,4.0,6.0,24.64423076923077,-5.557605393251411
2015-06-09,21,2,4.0,5.0,4.0,3.0,4.0,25.538461538461547,-5.32166001588197
2015-06-16,36,3,21.0,4.0,5.0,4.0,3.0,26.442307692307697,-0.6369966897945922
2015-06-23,64,1,36.0,21.0,4.0,5.0,4.0,27.298076923076927,0.3297179183440768
2015-06-30,40,4,64.0,36.0,21.0,4.0,5.0,28.432692307692303,5.940663295713512
2015-07-07,31,1,40.0,64.0,36.0,21.0,4.0,29.84615384615385,4.96827533974962
2015-07-14,30,1,31.0,40.0,64.0,36.0,21.0,31.086538461538463,-5.420824433239863
2015-07-21,20,1,30.0,31.0,40.0,64.0,36.0,32.019230769230774,-13.884338291390026
2015-07-28,44,2,20.0,30.0,31.0,40.0,64.0,33.125,-5.738877790565822
2015-08-04,44,3,44.0,20.0,30.0,31.0,40.0,34.16346153846154,9.762351941027609
2015-08-11,45,2,44.0,44.0,20.0,30.0,31.0,34.903846153846146,2.3629406469800123
2015-08-18,45,3,45.0,44.0,44.0,20.0,30.0,35.75,5.872641406819504
2015-08-25,46,2,45.0,45.0,44.0,44.0,20.0,36.71153846153847,7.6090796071973426
