date,demand,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5}
2015-01-20,5,1,6,10,10,4
2015-01-27,11,5,1,6,10,10
2015-02-03,11,11,5,1,6,10
2015-02-10,6,11,11,5,1,6
2015-02-17,3,6,11,11,5,1
2015-02-24,5,3,6,11,11,5
2015-03-03,3,5,3,6,11,11
2015-03-10,13,3,5,3,6,11
2015-03-17,3,13,3,5,3,6
2015-03-24,5,3,13,3,5,3
2015-03-31,4,5,3,13,3,5
2015-04-07,7,4,5,3,13,3
2015-04-14,3,7,4,5,3,13
2015-04-21,2,3,7,4,5,3
2015-04-28,6,2,3,7,4,5
2015-05-05,4,6,2,3,7,4
2015-05-12,3,4,6,2,3,7
2015-05-19,4,3,4,6,2,3
2015-05-26,5,4,3,4,6,2
2015-06-02,4,5,4,3,4,6
2015-06-09,21,4,5,4,3,4
2015-06-16,36,21,4,5,4,3
2015-06-23,64,36,21,4,5,4
2015-06-30,40,64,36,21,4,5
2015-07-07,31,40,64,36,21,4
2015-07-14,30,31,40,64,36,21
2015-07-21,20,30,31,40,64,36
2015-07-28,44,20,30,31,40,64
2015-08-04,44,44,20,30,31,40
2015-08-11,45,44,44,20,30,31
2015-08-18,45,45,44,44,20,30
2015-08-25,46,45,45,44,44,20
2015-09-01,55,46,45,45,44,44
2015-09-08,59,55,46,45,45,44
2015-09-15,52,59,55,46,45,45
2015-09-22,35,52,59,55,46,45
2015-09-29,9,35,52,59,55,46
2015-10-06,52,9,35,52,59,55
2015-10-13,55,52,9,35,52,59
2015-10-20,73,55,52,9,35,52
2015-10-27,62,73,55,52,9,35
2015-11-03,52,62,73,55,52,9
2015-11-10,67,52,62,73,55,52
2015-11-17,58,67,52,62,73,55
2015-11-24,51,58,67,52,62,73
2015-12-01,62,51,58,67,52,62
2015-12-08,50,62,51,58,67,52
2015-12-15,53,50,62,51,58,67
2015-12-22,79,53,50,62,51,58
2015-12-29,88,79,53,50,62,51
2016-01-05,57,88,79,53,50,62
2016-01-12,46,57,88,79,53,50
2016-01-19,74,46,57,88,79,53
2016-01-26,50,74,46,57,88,79
2016-02-02,49,50,74,46,57,88
2016-02-09,56,49,50,74,46,57
2016-02-16,53,56,49,50,74,46
2016-02-23,58,53,56,49,50,74
2016-03-01,58,58,53,56,49,50
2016-03-08,39,58,58,53,56,49
2016-03-15,36,39,58,58,53,56
2016-03-22,39,36,39,58,58,53
2016-03-29,42,39,36,39,58,58
2016-04-05,66,42,39,36,39,58
2016-04-12,54,66,42,39,36,39
2016-04-19,60,54,66,42,39,36
2016-04-26,64,60,54,66,42,39
2016-05-03,53,64,60,54,66,42
2016-05-10,52,53,64,60,54,66
2016-05-17,61,52,53,64,60,54
2016-05-24,70,61,52,53,64,60
2016-05-31,77,70,61,52,53,64
2016-06-07,75,77,70,61,52,53
2014-02-11,22,39,34,48,28,21
2014-02-18,15,22,39,34,48,28
2014-02-25,27,15,22,39,34,48
2014-03-04,30,27,15,22,39,34
2014-03-11,83,30,27,15,22,39
2014-03-18,44,83,30,27,15,22
2014-03-25,29,44,83,30,27,15
2014-04-01,56,29,44,83,30,27
2014-04-08,14,56,29,44,83,30
2014-04-15,29,14,56,29,44,83
2014-04-22,46,29,14,56,29,44
2014-04-29,18,46,29,14,56,29
2014-05-06,20,18,46,29,14,56
2014-05-13,24,20,18,46,29,14
2014-05-20,48,24,20,18,46,29
2014-05-27,33,48,24,20,18,46
2014-06-03,41,33,48,24,20,18
2014-06-10,34,41,33,48,24,20
2014-06-17,16,34,41,33,48,24
2014-06-24,22,16,34,41,33,48
2014-07-01,34,22,16,34,41,33
2014-07-08,29,34,22,16,34,41
2014-07-15,20,29,34,22,16,34
2014-07-22,25,20,29,34,22,16
2014-07-29,6,25,20,29,34,22
2014-08-05,17,6,25,20,29,34
2014-08-12,31,17,6,25,20,29
2014-08-19,20,31,17,6,25,20
2014-08-26,25,20,31,17,6,25
2014-09-02,31,25,20,31,17,6
2014-09-09,57,31,25,20,31,17
2014-09-16,32,57,31,25,20,31
2014-09-23,44,32,57,31,25,20
2014-09-30,45,44,32,57,31,25
2014-10-07,6,45,44,32,57,31
2014-10-14,45,6,45,44,32,57
2014-10-21,52,45,6,45,44,32
2014-10-28,34,52,45,6,45,44
2014-11-04,59,34,52,45,6,45
2014-11-11,59,59,34,52,45,6
2014-11-18,49,59,59,34,52,45
2014-11-25,44,49,59,59,34,52
2014-12-02,42,44,49,59,59,34
2014-12-09,58,42,44,49,59,59
2014-12-16,56,58,42,44,49,59
2014-12-23,61,56,58,42,44,49
2014-12-30,59,61,56,58,42,44
2015-01-06,32,59,61,56,58,42
2015-01-13,44,32,59,61,56,58
2015-01-20,51,44,32,59,61,56
2015-01-27,66,51,44,32,59,61
2015-02-03,66,66,51,44,32,59
2015-02-10,49,66,66,51,44,32
2015-02-17,48,49,66,66,51,44
2015-02-24,58,48,49,66,66,51
