date,demand,distance,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2015-01-06,6,248,0,1,0,0,1,0,0
2015-01-13,1,561,0,1,0,0,1,0,0
2015-01-20,7,420,0,1,0,0,1,0,0
2015-01-27,20,374,0,1,0,0,1,0,0
2015-02-03,11,258,0,1,0,0,1,0,0
2015-02-10,21,327,0,1,0,0,1,0,0
2015-02-17,1,150,0,1,0,0,1,0,0
2015-02-24,9,440,0,1,0,0,1,0,0
2015-03-03,15,554,0,1,0,0,1,0,0
2015-03-10,12,682,0,1,0,0,1,0,0
2015-03-17,12,304,0,1,0,0,1,0,0
2015-03-24,3,298,0,1,0,0,1,0,0
2015-03-31,17,423,0,1,0,0,1,0,0
