date,demand,civilians_rank,service_General Medicine,service_Gynaecology,service_Pediatrics,service_Pharmacy,mohafaza_B,mohafaza_N,mohafaza_NE
2014-04-08,8,4,1,0,0,0,1,0,0
2014-04-15,12,4,1,0,0,0,1,0,0
2014-04-22,7,2,1,0,0,0,1,0,0
2014-04-29,7,3,1,0,0,0,1,0,0
2014-05-06,4,3,1,0,0,0,1,0,0
2014-05-13,3,3,1,0,0,0,1,0,0
2014-05-20,4,3,1,0,0,0,1,0,0
2014-05-27,7,1,1,0,0,0,1,0,0
2014-06-03,4,2,1,0,0,0,1,0,0
2014-06-10,5,2,1,0,0,0,1,0,0
2014-06-17,6,3,1,0,0,0,1,0,0
2014-06-24,6,1,1,0,0,0,1,0,0
2014-07-01,11,2,1,0,0,0,1,0,0
2014-07-08,2,1,1,0,0,0,1,0,0
2014-07-15,6,2,1,0,0,0,1,0,0
2014-07-22,1,3,1,0,0,0,1,0,0
2014-07-29,1,2,1,0,0,0,1,0,0
2014-08-05,9,3,1,0,0,0,1,0,0
2014-08-12,6,1,1,0,0,0,1,0,0
2014-08-19,10,4,1,0,0,0,1,0,0
2014-08-26,4,2,1,0,0,0,1,0,0
2014-09-02,4,1,1,0,0,0,1,0,0
2014-09-09,12,2,1,0,0,0,1,0,0
2014-09-16,5,2,1,0,0,0,1,0,0
2014-09-23,12,1,1,0,0,0,1,0,0
2014-09-30,13,1,1,0,0,0,1,0,0
2014-10-07,7,3,1,0,0,0,1,0,0
2014-10-14,2,1,1,0,0,0,1,0,0
2014-10-21,18,2,1,0,0,0,1,0,0
2014-10-28,11,1,1,0,0,0,1,0,0
2014-11-04,10,1,1,0,0,0,1,0,0
2014-11-11,7,2,1,0,0,0,1,0,0
2014-11-18,10,3,1,0,0,0,1,0,0
2014-11-25,12,1,1,0,0,0,1,0,0
2014-12-02,8,3,1,0,0,0,1,0,0
2014-12-09,10,1,1,0,0,0,1,0,0
2014-12-16,4,2,1,0,0,0,1,0,0
2014-12-23,10,2,1,0,0,0,1,0,0
2014-12-30,10,4,1,0,0,0,1,0,0
2015-01-06,6,2,1,0,0,0,1,0,0
2015-01-13,1,1,1,0,0,0,1,0,0
2015-01-20,5,1,1,0,0,0,1,0,0
2015-01-27,11,1,1,0,0,0,1,0,0
2015-02-03,11,2,1,0,0,0,1,0,0
2015-02-10,6,3,1,0,0,0,1,0,0
2015-02-17,3,1,1,0,0,0,1,0,0
2015-02-24,5,2,1,0,0,0,1,0,0
2015-03-03,3,2,1,0,0,0,1,0,0
2015-03-10,13,1,1,0,0,0,1,0,0
2015-03-17,3,1,1,0,0,0,1,0,0
2015-03-24,5,3,1,0,0,0,1,0,0
2015-03-31,4,2,1,0,0,0,1,0,0
2015-04-07,7,1,1,0,0,0,1,0,0
2015-04-14,3,1,1,0,0,0,1,0,0
2015-04-21,2,2,1,0,0,0,1,0,0
2015-04-28,6,3,1,0,0,0,1,0,0
2015-05-05,4,3,1,0,0,0,1,0,0
2015-05-12,3,3,1,0,0,0,1,0,0
2015-05-19,4,1,1,0,0,0,1,0,0
2015-05-26,5,3,1,0,0,0,1,0,0
2015-06-02,4,1,1,0,0,0,1,0,0
2015-06-09,21,2,1,0,0,0,1,0,0
2015-06-16,36,3,1,0,0,0,1,0,0
2015-06-23,64,1,1,0,0,0,1,0,0
2015-06-30,40,4,1,0,0,0,1,0,0
2015-07-07,31,1,1,0,0,0,1,0,0
2015-07-14,30,1,1,0,0,0,1,0,0
2015-07-21,20,1,1,0,0,0,1,0,0
2015-07-28,44,2,1,0,0,0,1,0,0
2015-08-04,44,3,1,0,0,0,1,0,0
2015-08-11,45,2,1,0,0,0,1,0,0
2015-08-18,45,3,1,0,0,0,1,0,0
2015-08-25,46,2,1,0,0,0,1,0,0
2015-09-01,55,1,1,0,0,0,1,0,0
2015-09-08,59,1,1,0,0,0,1,0,0
2015-09-15,52,1,1,0,0,0,1,0,0
2015-09-22,35,2,1,0,0,0,1,0,0
2015-09-29,9,1,1,0,0,0,1,0,0
2015-10-06,52,2,1,0,0,0,1,0,0
2015-10-13,55,2,1,0,0,0,1,0,0
2015-10-20,73,3,1,0,0,0,1,0,0
2015-10-27,62,2,1,0,0,0,1,0,0
2015-11-03,52,3,1,0,0,0,1,0,0
2015-11-10,67,4,1,0,0,0,1,0,0
2015-11-17,58,3,1,0,0,0,1,0,0
2015-11-24,51,3,1,0,0,0,1,0,0
2015-12-01,62,3,1,0,0,0,1,0,0
2015-12-08,50,2,1,0,0,0,1,0,0
2015-12-15,53,4,1,0,0,0,1,0,0
2015-12-22,79,3,1,0,0,0,1,0,0
2015-12-29,88,2,1,0,0,0,1,0,0
2016-01-05,57,1,1,0,0,0,1,0,0
2016-01-12,46,3,1,0,0,0,1,0,0
2016-01-19,74,1,1,0,0,0,1,0,0
2016-01-26,50,2,1,0,0,0,1,0,0
2016-02-02,49,3,1,0,0,0,1,0,0
2016-02-09,56,3,1,0,0,0,1,0,0
2016-02-16,53,2,1,0,0,0,1,0,0
2016-02-23,58,2,1,0,0,0,1,0,0
2016-03-01,58,3,1,0,0,0,1,0,0
2016-03-08,39,1,1,0,0,0,1,0,0
2016-03-15,36,1,1,0,0,0,1,0,0
2016-03-22,39,1,1,0,0,0,1,0,0
2016-03-29,42,1,1,0,0,0,1,0,0
2016-04-05,66,1,1,0,0,0,1,0,0
