date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-04,200,1,142.5365490045076,149.0,235.0,151.0,151.0,202.50022657271006,-8.911383903650774
2014-02-11,194,2,159.98611276654668,200.0,149.0,235.0,151.0,202.24213275518974,41.69708326629189
2014-02-18,200,3,163.489738777563,194.0,200.0,149.0,235.0,201.98403893766948,20.722217102901226
2014-02-25,197,1,246.2899429166637,200.0,194.0,200.0,149.0,201.7259451201492,16.785812477972087
2014-03-04,204,2,264.1132733307715,197.0,200.0,194.0,200.0,201.46785130262887,12.003254006889136
2014-03-11,195,3,231.33095211468566,204.0,197.0,200.0,194.0,201.20975748510853,7.111721176831773
2014-03-18,187,2,144.40668466006133,195.0,204.0,197.0,200.0,200.95166366758824,20.31313706472318
2014-03-25,193,4,244.8754863754608,187.0,195.0,204.0,197.0,200.6935698500679,3.838270901332532
2014-04-01,242,2,316.91085895810045,193.0,187.0,195.0,204.0,200.4354760325476,1.2864816610187697
2014-04-08,154,4,278.3157747216301,242.0,193.0,187.0,195.0,200.1773822150273,1.718666779679392
2014-04-15,237,4,150.5467487191338,154.0,242.0,193.0,187.0,199.91928839750702,-30.916455793967685
2014-04-22,235,2,203.5695670556664,237.0,154.0,242.0,193.0,199.6611945799867,4.256113940077541
2014-04-29,175,3,134.50350458080393,235.0,237.0,154.0,242.0,199.40310076246638,11.72996572540482
2014-05-06,243,3,171.14750310169006,175.0,235.0,237.0,154.0,199.1450069449461,-24.70964402772941
2014-05-13,237,3,224.5389332868084,243.0,175.0,235.0,237.0,198.88691312742577,1.9725410909311933
2014-05-20,208,3,155.38830661683824,237.0,243.0,175.0,235.0,198.62881930990542,12.302162107027721
2014-05-27,273,1,158.32790812801647,208.0,237.0,243.0,175.0,198.37072549238513,-3.650268158927057
2014-06-03,183,2,221.72564598648083,273.0,208.0,237.0,243.0,198.11263167486484,21.38448106229765
2014-06-10,207,2,388.9571769963118,183.0,273.0,208.0,237.0,197.85453785734447,-24.47179535750327
2014-06-17,221,3,203.91777922854146,207.0,183.0,273.0,208.0,197.59644403982418,-9.888969213201626
2014-06-24,219,1,151.38852626192013,221.0,207.0,183.0,273.0,197.33835022230392,-7.453578966335896
2014-07-01,193,2,156.57328905189775,219.0,221.0,207.0,183.0,197.0802564047836,-17.540624616906037
2014-07-08,224,1,142.20932151761502,193.0,219.0,221.0,207.0,196.8221625872633,-21.948183087988987
2014-07-15,194,2,138.5196039382167,224.0,193.0,219.0,221.0,196.56406876974296,-33.99797531424648
2014-07-22,178,3,139.80512555796142,194.0,224.0,193.0,219.0,196.30597495222267,-43.783424229214944
2014-07-29,103,2,287.70612039690474,178.0,194.0,224.0,193.0,196.04788113470238,-26.392591092901373
2014-08-05,174,3,138.60799647929295,103.0,178.0,194.0,224.0,192.00961538461542,-29.187213466245066
2014-08-12,166,1,138.72947912932148,174.0,103.0,178.0,194.0,192.8173076923077,-3.9048474998741365
2014-08-19,191,4,152.1570146606666,166.0,174.0,103.0,178.0,193.42307692307702,-4.5487635847852905
