date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,11,2,159.98611276654668,0.0,18.0,9.0,7.0,11.0,-111.94037936152466,31.29308664545423
2014-02-18,8,3,163.489738777563,11.0,0.0,18.0,9.0,7.0,-107.22329151041906,36.810467618162654
2014-02-25,15,1,246.2899429166637,8.0,11.0,0.0,18.0,9.0,-102.50620365931343,34.616310129332554
2014-03-04,18,2,264.1132733307715,15.0,8.0,11.0,0.0,18.0,-97.78911580820784,34.6529218712717
2014-03-11,24,3,231.33095211468566,18.0,15.0,8.0,11.0,0.0,-93.07202795710222,20.01966181833909
2014-03-18,15,2,144.40668466006133,24.0,18.0,15.0,8.0,11.0,-88.35494010599663,28.162042791047448
2014-03-25,19,4,244.8754863754608,15.0,24.0,18.0,15.0,8.0,-83.63785225489102,25.83006478939688
2014-04-01,7,2,316.91085895810045,19.0,15.0,24.0,18.0,15.0,-78.92076440378541,37.53334319800271
2014-04-08,19,4,278.3157747216301,7.0,19.0,15.0,24.0,18.0,-74.2036765526798,22.05713442712134
2014-04-15,14,4,150.5467487191338,19.0,7.0,19.0,15.0,24.0,-69.48658870157419,7.276438476752826
2014-04-22,6,2,203.5695670556664,14.0,19.0,7.0,19.0,15.0,-64.76950085046857,23.998947654589397
2014-04-29,4,3,134.50350458080393,6.0,14.0,19.0,7.0,19.0,-60.052412999362964,55.53555939652857
2014-05-06,15,3,171.14750310169006,4.0,6.0,14.0,19.0,7.0,-55.33532514825736,74.6170429333395
2014-05-13,13,3,224.5389332868084,15.0,4.0,6.0,14.0,19.0,-50.618237297151744,29.153654675278663
2014-05-20,48,3,155.38830661683824,13.0,15.0,4.0,6.0,14.0,-45.901149446046155,41.5973176992691
2014-05-27,34,1,158.32790812801647,48.0,13.0,15.0,4.0,6.0,-41.18406159494053,68.02495508223389
2014-06-03,7,2,221.72564598648083,34.0,48.0,13.0,15.0,4.0,-36.46697374383493,51.85002836263456
2014-06-10,33,2,388.9571769963118,7.0,34.0,48.0,13.0,15.0,-31.749885892729324,13.553306771240432
2014-06-17,33,3,203.91777922854146,33.0,7.0,34.0,48.0,13.0,-27.03279804162371,32.371969795230854
2014-06-24,28,1,151.38852626192013,33.0,33.0,7.0,34.0,48.0,-22.315710190518107,50.07204307563154
2014-07-01,17,2,156.57328905189775,28.0,33.0,33.0,7.0,34.0,-17.598622339412483,13.717629176545046
2014-07-08,34,1,142.20932151761502,17.0,28.0,33.0,33.0,7.0,-12.881534488306885,2.959369123612433
2014-07-15,49,2,138.5196039382167,34.0,17.0,28.0,33.0,33.0,-8.16444663720128,-18.285689101195945
2014-07-22,19,3,139.80512555796142,49.0,34.0,17.0,28.0,33.0,-3.4473587860956627,-45.13950414234025
2014-07-29,18,2,287.70612039690474,19.0,49.0,34.0,17.0,28.0,1.2697290650099404,-1.9676781578434983
2014-08-05,14,3,138.60799647929295,18.0,19.0,49.0,34.0,17.0,5.986816916115544,27.50222474973017
2014-08-12,45,1,138.72947912932148,14.0,18.0,19.0,49.0,34.0,25.20192307692308,8.931121554069833
2014-08-19,33,4,152.1570146606666,45.0,14.0,18.0,19.0,49.0,27.69230769230769,15.797105027396645
2014-08-26,26,2,140.35075927291882,33.0,45.0,14.0,18.0,19.0,30.35576923076923,11.695139782774742
2014-09-02,22,1,140.51583307609846,26.0,33.0,45.0,14.0,18.0,32.93269230769231,-42.108748538770215
2014-09-09,34,2,210.15648967129678,22.0,26.0,33.0,45.0,14.0,35.403846153846146,38.22197852430017
2014-09-16,50,2,127.68577111437149,34.0,22.0,26.0,33.0,45.0,37.63461538461538,-28.11716620750125
2014-09-23,66,1,158.59826831992697,50.0,34.0,22.0,26.0,33.0,39.86538461538462,-19.94349042648211
2014-09-30,8,1,251.96159610520385,66.0,50.0,34.0,22.0,26.0,42.56730769230771,16.188518687870346
2014-10-07,20,3,120.26244551510351,8.0,66.0,50.0,34.0,22.0,45.53846153846154,-41.69229271059774
2014-10-14,43,1,141.70898315820412,20.0,8.0,66.0,50.0,34.0,48.53846153846154,1.3211266601649552
2014-10-21,43,2,241.269479438795,43.0,20.0,8.0,66.0,50.0,51.64423076923079,2.3409562873379244
2014-10-28,13,1,121.2296599827298,43.0,43.0,20.0,8.0,66.0,55.3173076923077,-7.113573059848077
2014-11-04,11,1,234.01050395106338,13.0,43.0,43.0,20.0,8.0,60.778846153846146,-10.295666509598195
2014-11-11,17,2,237.09754485573674,11.0,13.0,43.0,43.0,20.0,66.24038461538461,-50.21173431832267
2014-11-18,44,3,176.18147371500538,17.0,11.0,13.0,43.0,43.0,70.76923076923076,-32.438699562944564
2014-11-25,39,1,261.9147598367712,44.0,17.0,11.0,13.0,43.0,75.67307692307692,-79.32912634602799
2014-12-02,9,3,134.393734517519,39.0,44.0,17.0,11.0,13.0,80.6826923076923,-38.809296718855045
2014-12-09,17,1,167.50560593542014,9.0,39.0,44.0,17.0,11.0,86.04807692307693,-53.440108117323106
2014-12-16,47,2,261.457238154341,17.0,9.0,39.0,44.0,17.0,92.05769230769234,-50.750406695278365
2014-12-23,17,2,491.394636770253,47.0,17.0,9.0,39.0,44.0,97.94230769230772,5.054679342150999
2014-12-30,33,4,319.498671941728,17.0,47.0,17.0,9.0,39.0,103.3846153846154,-21.23318333836833
2015-01-06,10,2,236.8490643520759,33.0,17.0,47.0,17.0,9.0,108.25,-58.8223280701697
2015-01-13,36,1,511.7760807547797,10.0,33.0,17.0,47.0,17.0,112.72115384615385,-119.44345006479756
2015-01-20,26,1,378.4098319062547,36.0,10.0,33.0,17.0,47.0,116.7596153846154,-37.05402698787451
2015-01-27,26,1,342.04500762797335,26.0,36.0,10.0,33.0,17.0,120.35576923076924,-59.44345006479757
2015-02-03,107,2,238.2593286643031,26.0,26.0,36.0,10.0,33.0,125.59615384615385,-47.11652698787449
2015-02-10,163,3,328.21376989662764,107.0,26.0,26.0,36.0,10.0,131.33653846153848,31.29308664545423
2015-02-17,133,1,137.89196640059237,163.0,107.0,26.0,26.0,36.0,136.21153846153842,36.810467618162654
2015-02-24,158,2,434.52163652403084,133.0,163.0,107.0,26.0,26.0,141.62500000000003,34.616310129332554
2015-03-03,132,2,529.2205090613355,158.0,133.0,163.0,107.0,26.0,146.75000000000003,34.6529218712717
2015-03-10,142,1,668.8810772298386,132.0,158.0,133.0,163.0,107.0,152.08653846153848,20.01966181833909
2015-03-17,129,1,278.0753279508005,142.0,132.0,158.0,133.0,163.0,157.05769230769232,28.162042791047448
2015-03-24,186,3,287.2448691716446,129.0,142.0,132.0,158.0,133.0,161.25961538461542,25.83006478939688
2015-03-31,149,2,392.8115727000725,186.0,129.0,142.0,132.0,158.0,167.06730769230768,37.53334319800271
2015-04-07,189,1,249.79011004945184,149.0,186.0,129.0,142.0,132.0,172.0673076923077,22.05713442712134
2015-04-14,167,1,333.07868317493063,189.0,149.0,186.0,129.0,142.0,176.19230769230762,7.276438476752826
2015-04-21,235,2,235.0583756769028,167.0,189.0,149.0,186.0,129.0,181.22115384615384,23.998947654589397
2015-04-28,343,3,332.6924391872425,235.0,167.0,189.0,149.0,186.0,185.9326923076923,55.53555939652857
2015-05-05,244,3,144.99572085524701,343.0,235.0,167.0,189.0,149.0,190.9423076923077,74.6170429333395
2015-05-12,255,3,251.63810573525055,244.0,343.0,235.0,167.0,189.0,196.15384615384613,29.153654675278663
2015-05-19,316,1,155.02993560344143,255.0,244.0,343.0,235.0,167.0,201.4807692307692,41.5973176992691
2015-05-26,287,3,406.1898188511355,316.0,255.0,244.0,343.0,235.0,206.11538461538464,68.02495508223389
2015-06-02,312,1,488.3615268611296,287.0,316.0,255.0,244.0,343.0,210.2692307692308,51.85002836263456
2015-06-09,353,2,141.39110247532528,312.0,287.0,316.0,255.0,244.0,214.9519230769231,13.553306771240432
2015-06-16,325,3,239.46691351095112,353.0,312.0,287.0,316.0,255.0,219.3942307692308,32.371969795230854
2015-06-23,302,1,273.94801411654163,325.0,353.0,312.0,287.0,316.0,224.1923076923077,50.07204307563154
2015-06-30,249,4,360.10442926713137,302.0,325.0,353.0,312.0,287.0,229.8076923076923,13.717629176545046
2015-07-07,267,1,396.4088883050607,249.0,302.0,325.0,353.0,312.0,234.90384615384616,2.959369123612433
2015-07-14,236,1,252.19411319528686,267.0,249.0,302.0,325.0,353.0,238.7692307692308,-18.285689101195945
2015-07-21,206,1,158.61879215769974,236.0,267.0,249.0,302.0,325.0,243.1923076923077,-45.13950414234025
2015-07-28,376,2,160.09739658610275,206.0,236.0,267.0,249.0,302.0,248.53846153846158,-1.9676781578434983
2015-08-04,253,3,214.85438926836213,376.0,206.0,236.0,267.0,249.0,253.99038461538458,27.50222474973017
2015-08-11,313,2,328.4506766388863,253.0,376.0,206.0,236.0,267.0,259.0673076923077,8.931121554069833
2015-08-18,328,3,234.23798697906426,313.0,253.0,376.0,206.0,236.0,262.5576923076923,15.797105027396645
2015-08-25,264,2,152.15397252145584,328.0,313.0,253.0,376.0,206.0,265.7788461538462,11.695139782774742
2015-09-01,339,1,152.9202433964371,264.0,328.0,313.0,253.0,376.0,269.1923076923077,-42.108748538770215
2015-09-08,234,1,143.30540338989647,339.0,264.0,328.0,313.0,253.0,272.30769230769226,38.22197852430017
2015-09-15,287,1,124.90719360421714,234.0,339.0,264.0,328.0,313.0,275.67307692307696,-28.11716620750125
2015-09-22,433,2,120.11121493277264,287.0,234.0,339.0,264.0,328.0,279.5,-19.94349042648211
2015-09-29,161,1,123.60917788305954,433.0,287.0,234.0,339.0,264.0,282.98076923076917,16.188518687870346
2015-10-06,296,2,153.85731434366443,161.0,433.0,287.0,234.0,339.0,286.23076923076917,-41.69229271059774
2015-10-13,290,2,145.04687997590838,296.0,161.0,433.0,287.0,234.0,288.76923076923083,1.3211266601649552
2015-10-20,286,3,135.54905812514548,290.0,296.0,161.0,433.0,287.0,291.1826923076924,2.3409562873379244
2015-10-27,291,2,145.46682493624232,286.0,290.0,296.0,161.0,433.0,294.45192307692315,-7.113573059848077
2015-11-03,275,3,271.438602510306,291.0,286.0,290.0,296.0,161.0,296.11538461538464,-10.295666509598195
2015-11-10,307,4,263.05949130140715,275.0,291.0,286.0,290.0,296.0,296.9807692307693,-50.21173431832267
2015-11-17,236,3,310.1821045170236,307.0,275.0,291.0,286.0,290.0,298.7115384615385,-32.438699562944564
2015-11-24,279,3,223.79669465417254,236.0,307.0,275.0,291.0,286.0,300.05769230769226,-79.32912634602799
2015-12-01,256,3,162.39738766956145,279.0,236.0,307.0,275.0,291.0,301.0673076923077,-38.809296718855045
