date,demand,civilians_rank,distance,w_{t-1},w_{t-2},w_{t-3},w_{t-4},w_{t-5},w_{t-1}_trend,w_{t-1}_seasonality
2014-02-11,45,2,186.43526517277485,37.0,52.0,54.0,62.0,61.0,47.4730538553481,8.322591105215118
2014-02-18,59,3,181.55742689909763,45.0,37.0,52.0,54.0,62.0,47.19804137743074,5.202723469649115
2014-02-25,54,1,263.392347974706,59.0,45.0,37.0,52.0,54.0,46.92302889951336,-8.27611852489125
2014-03-04,34,2,277.10359385370367,54.0,59.0,45.0,37.0,52.0,46.648016421596004,1.793116403645309
2014-03-11,54,3,248.01479352285432,34.0,54.0,59.0,45.0,37.0,46.37300394367864,-7.410084565254032
2014-03-18,48,2,157.92623268711583,54.0,34.0,54.0,59.0,45.0,46.097991465761254,-0.6036701495379853
2014-03-25,76,4,257.817279482238,48.0,54.0,34.0,54.0,59.0,45.82297898784388,-2.476742913309121
2014-04-01,45,2,329.26301704747834,76.0,48.0,54.0,34.0,54.0,45.54796650992652,11.291209963945384
2014-04-08,59,4,285.5165397063073,45.0,76.0,48.0,54.0,34.0,45.272954032009146,3.3091628411998952
2014-04-15,46,4,156.34774483563137,59.0,45.0,76.0,48.0,54.0,44.99794155409178,3.5835259748646613
2014-04-22,66,2,211.09091637462063,46.0,59.0,45.0,76.0,48.0,44.7229290761744,8.200837826478145
2014-04-29,45,3,144.512714366764,66.0,46.0,59.0,45.0,76.0,44.44791659825704,10.151483011424963
2014-05-06,35,3,180.22726773569332,45.0,66.0,46.0,59.0,45.0,44.17290412033967,-0.21838462414104487
2014-05-13,42,3,230.27464388098664,35.0,45.0,66.0,46.0,59.0,43.89789164242229,-3.171585593040384
2014-05-20,62,3,169.8745938593517,42.0,35.0,45.0,66.0,46.0,43.622879164504916,-8.08953015168331
2014-05-27,42,1,176.8631885734666,62.0,42.0,35.0,45.0,66.0,43.347866686587544,10.71047400762248
2014-06-03,49,2,232.11952042456716,42.0,62.0,42.0,35.0,45.0,43.072854208670186,-4.470291063840962
2014-06-10,41,2,398.12420355153574,49.0,42.0,62.0,42.0,35.0,42.797841730752815,2.566892582644316
2014-06-17,37,3,208.4436685556848,41.0,49.0,42.0,62.0,42.0,42.522829252835436,0.8668967419501098
2014-06-24,44,1,151.89446655709568,37.0,41.0,49.0,42.0,62.0,42.24781677491807,-11.121560637205642
2014-07-01,48,2,162.8816983486657,44.0,37.0,41.0,49.0,42.0,41.97280429700071,-7.09719750354088
2014-07-08,40,1,141.9443609098556,48.0,44.0,37.0,41.0,49.0,41.697791819083335,-6.069629241670986
2014-07-15,39,2,140.420895478268,40.0,48.0,44.0,37.0,41.0,41.42277934116596,-10.446747340780682
2014-07-22,35,3,147.52670643127001,39.0,40.0,48.0,44.0,37.0,41.14776686324859,-15.594568247640689
2014-07-29,29,2,294.0767818932507,35.0,39.0,40.0,48.0,44.0,40.87275438533122,-10.380209667321214
2014-08-05,30,3,140.30938835006742,29.0,35.0,39.0,40.0,48.0,40.59774190741385,-2.7748254459760924
2014-08-12,66,1,147.72537301503448,30.0,29.0,35.0,39.0,40.0,41.18269230769232,-13.725326286593685
2014-08-19,48,4,164.92997875385663,66.0,30.0,29.0,35.0,39.0,41.355769230769226,3.5415922369841035
2014-08-26,44,2,151.93731121128332,48.0,66.0,30.0,29.0,35.0,40.92307692307693,1.9815876836388204
2014-09-02,45,1,149.16119185994813,44.0,48.0,66.0,30.0,29.0,40.25000000000001,1.7965831302935344
2014-09-09,31,2,216.67776898409556,45.0,44.0,48.0,66.0,30.0,40.125,-5.452523987154316
2014-09-16,41,2,135.32577063195959,31.0,45.0,44.0,48.0,66.0,40.0673076923077,-11.653554181525244
2014-09-23,29,1,169.62627738948876,41.0,31.0,45.0,44.0,48.0,39.85576923076925,-9.816122837434634
2014-09-30,48,1,263.89250020465084,29.0,41.0,31.0,45.0,44.0,39.394230769230774,-7.962665852318379
2014-10-07,21,3,128.52077614999587,48.0,29.0,41.0,31.0,45.0,38.99038461538462,2.8266885686953094
2014-10-14,45,1,147.3543433336823,21.0,48.0,29.0,41.0,31.0,38.66346153846154,-3.4480595743935667
2014-10-21,23,2,244.44156065939887,45.0,21.0,48.0,29.0,41.0,38.32692307692308,15.568858949184225
2014-10-28,39,1,127.80122864757334,23.0,45.0,21.0,48.0,29.0,38.11538461538462,-2.3693507323661898
2014-11-04,30,1,244.582438204952,39.0,23.0,45.0,21.0,48.0,37.817307692307686,4.067439586083396
2014-11-11,35,2,247.29137080029238,30.0,39.0,23.0,45.0,21.0,37.46153846153847,-8.351539326236251
2014-11-18,39,3,183.148415771314,35.0,30.0,39.0,23.0,45.0,37.03846153846154,1.5884561204184657
2014-11-25,46,1,269.54253763020483,39.0,35.0,30.0,39.0,23.0,36.61538461538462,1.9899900286116436
2014-12-02,30,3,137.09378685065437,46.0,39.0,35.0,30.0,39.0,36.221153846153854,7.70242137270225
2014-12-09,24,1,172.36733261652537,30.0,46.0,39.0,35.0,30.0,35.846153846153854,3.3763911783313225
2014-12-16,27,2,274.01678826786844,24.0,30.0,46.0,39.0,35.0,35.54807692307692,3.01510457370399
2014-12-23,32,2,495.8699226951202,27.0,24.0,30.0,46.0,39.0,35.259615384615394,-2.993617928359245
2014-12-30,37,4,327.19062223784437,32.0,27.0,24.0,30.0,46.0,34.86538461538462,7.734839056757005
2015-01-06,20,2,243.04366444330762,37.0,32.0,27.0,24.0,30.0,34.269230769230774,15.787013990591207
2015-01-13,13,1,532.5640666321978,20.0,37.0,32.0,27.0,24.0,33.653846153846146,4.215852646741412
2015-01-20,39,1,398.0549685709452,13.0,20.0,37.0,32.0,27.0,33.153846153846146,-8.582224276335516
2015-01-27,43,1,357.3140855152916,39.0,13.0,20.0,37.0,32.0,32.57692307692308,19.004314185202944
2015-02-03,48,2,248.08535369829758,43.0,39.0,13.0,20.0,37.0,32.20192307692307,12.36008341597218
2015-02-10,52,3,329.90649829564273,48.0,43.0,39.0,13.0,20.0,31.961538461538463,8.322591105215118
2015-02-17,7,1,143.27778209209572,52.0,48.0,43.0,39.0,13.0,31.42307692307692,5.202723469649115
2015-02-24,36,2,437.928780015276,7.0,52.0,48.0,43.0,39.0,30.740384615384613,-8.27611852489125
2015-03-03,39,2,543.890244487772,36.0,7.0,52.0,48.0,43.0,30.278846153846153,1.793116403645309
2015-03-10,43,1,676.429951648845,39.0,36.0,7.0,52.0,48.0,29.865384615384613,-7.410084565254032
2015-03-17,37,1,289.4455708326017,43.0,39.0,36.0,7.0,52.0,29.461538461538467,-0.6036701495379853
2015-03-24,39,3,293.8561287895166,37.0,43.0,39.0,36.0,7.0,29.000000000000004,-2.476742913309121
2015-03-31,40,2,406.24290334188566,39.0,37.0,43.0,39.0,36.0,28.615384615384606,11.291209963945384
2015-04-07,30,1,249.80694004045944,40.0,39.0,37.0,43.0,39.0,28.134615384615394,3.3091628411998952
2015-04-14,40,1,339.2408266600142,30.0,40.0,39.0,37.0,43.0,27.778846153846153,3.5835259748646613
2015-04-21,50,2,235.8041949035175,40.0,30.0,40.0,39.0,37.0,27.90384615384616,8.200837826478145
2015-04-28,30,3,334.6220287735815,50.0,40.0,30.0,40.0,39.0,28.0,10.151483011424963
2015-05-05,13,3,147.7523274445889,30.0,50.0,40.0,30.0,40.0,27.97115384615385,-0.21838462414104487
2015-05-12,20,3,260.7197065295859,13.0,30.0,50.0,40.0,30.0,27.81730769230769,-3.171585593040384
2015-05-19,40,1,160.72669000091332,20.0,13.0,30.0,50.0,40.0,27.81730769230769,-8.08953015168331
2015-05-26,23,3,416.49747286204354,40.0,20.0,13.0,30.0,50.0,28.009615384615394,10.71047400762248
2015-06-02,29,1,504.73709285072374,23.0,40.0,20.0,13.0,30.0,28.115384615384613,-4.470291063840962
2015-06-09,30,2,147.8564842497624,29.0,23.0,40.0,20.0,13.0,28.173076923076927,2.566892582644316
2015-06-16,18,3,248.16637839808118,30.0,29.0,23.0,40.0,20.0,28.51923076923077,0.8668967419501098
2015-06-23,22,1,284.6151630807675,18.0,30.0,29.0,23.0,40.0,28.903846153846153,-11.121560637205642
2015-06-30,8,4,366.3959753678413,22.0,18.0,30.0,29.0,23.0,29.230769230769234,-7.09719750354088
2015-07-07,16,1,398.784088038704,8.0,22.0,18.0,30.0,29.0,29.81730769230769,-6.069629241670986
2015-07-14,11,1,255.43835894038497,16.0,8.0,22.0,18.0,30.0,30.500000000000004,-10.446747340780682
2015-07-21,3,1,164.44523865453291,11.0,16.0,8.0,22.0,18.0,31.038461538461537,-15.594568247640689
2015-07-28,22,2,165.34012215829915,3.0,11.0,16.0,8.0,22.0,31.49038461538462,-10.380209667321214
